Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Battistolli A.,Rally2,1,Foligno,10/03/2024,Gravel,Italy,1,528.1
Heikkilä Mikko,Rally2,1,Foligno,10/03/2024,Gravel,Italy,2,528.5
Ciuffi Tommaso,Rally2,1,Foligno,10/03/2024,Gravel,Italy,3,537.4
Scandola Umber,Rally2,1,Foligno,10/03/2024,Gravel,Italy,4,547.6
Tali Nicola  -,Rally2,1,Foligno,10/03/2024,Gravel,Italy,5,558.9
Lavio Jaakko  ,Rally2,1,Foligno,10/03/2024,Gravel,Italy,6,558.9
Oldrati Enrico,Rally2,1,Foligno,10/03/2024,Gravel,Italy,7,562.6
Gamba Matteo  ,Rally2,1,Foligno,10/03/2024,Gravel,Italy,8,564.4
Hoelbling Luca,Rally2,1,Foligno,10/03/2024,Gravel,Italy,9,564.6
Dalmazzini And,Rally2,1,Foligno,10/03/2024,Gravel,Italy,10,566.5
Novak Aljoša  ,Rally2,1,Foligno,10/03/2024,Gravel,Italy,11,568.2
Quilichini J. ,Rally2,1,Foligno,10/03/2024,Gravel,Italy,12,568.6
Romagna Simone,Rally2,1,Foligno,10/03/2024,Gravel,Italy,13,571.0
Grossi A.  - C,der 25,1,Foligno,10/03/2024,Gravel,Italy,14,571.9
Tiramani Chris,der 25,1,Foligno,10/03/2024,Gravel,Italy,15,573.7
Gianesini Marc,ver 55,1,Foligno,10/03/2024,Gravel,Italy,16,575.8
Fontana Matteo,der 25,1,Foligno,10/03/2024,Gravel,Italy,17,576.5
Roncoroni Marc,Rally2,1,Foligno,10/03/2024,Gravel,Italy,18,586.8
Zorzi Alessand,Rally2,1,Foligno,10/03/2024,Gravel,Italy,19,587.7
Müller Liam  -,der 25,1,Foligno,10/03/2024,Gravel,Italy,20,588.0
Molinaro Tamar,Female,1,Foligno,10/03/2024,Gravel,Italy,21,588.4
Rizzo Marcello,Rally2,1,Foligno,10/03/2024,Gravel,Italy,22,589.7
Travaglia Aron,N5,1,Foligno,10/03/2024,Gravel,Italy,23,594.7
Vagnini Jader ,Rally2,1,Foligno,10/03/2024,Gravel,Italy,24,599.3
Negri Alessand,N5,1,Foligno,10/03/2024,Gravel,Italy,25,600.0
Prosenc Borut ,Rally4,1,Foligno,10/03/2024,Gravel,Italy,26,605.6
Epis Filippo  ,Rally2,1,Foligno,10/03/2024,Gravel,Italy,27,606.8
Nerobutto G.  ,der 25,1,Foligno,10/03/2024,Gravel,Italy,28,617.3
Farina Fabio  ,Rally4,1,Foligno,10/03/2024,Gravel,Italy,29,618.4
Tosetto P.  - ,der 25,1,Foligno,10/03/2024,Gravel,Italy,30,621.6
Marrone Stefan,Rally4,1,Foligno,10/03/2024,Gravel,Italy,31,626.3
Müller Jonas  ,der 25,1,Foligno,10/03/2024,Gravel,Italy,32,627.3
Bizzozero Davi,ver 55,1,Foligno,10/03/2024,Gravel,Italy,33,627.9
Marchioro Nico,Rally4,1,Foligno,10/03/2024,Gravel,Italy,34,628.2
