,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
0,Avgeropoulos C,C4 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,1,290.63,290.63,290.63,0.0,0.0,0.0,01
1,Vlachos Aposto,C2,1,Kentavros,31/03/2021,Tarmac,Greek Cup,2,291.37,291.37,290.63,0.7400000000000091,0.0,0.0,01
2,Nomikos Ioanni,C2,1,Kentavros,31/03/2021,Tarmac,Greek Cup,8,315.9,291.37,290.63,25.269999999999982,24.529999999999973,8.418848886295766,01
3,Titov Anton  -,C1,1,Kentavros,31/03/2021,Tarmac,Greek Cup,3,293.1,293.1,290.63,2.4700000000000273,0.0,0.0,01
4,Moschos A.  - ,C3 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,4,293.36,293.36,290.63,2.730000000000018,0.0,0.0,01
5,Baxevanakis P.,C3 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,10,320.83,293.36,290.63,30.19999999999999,27.46999999999997,9.363921461685292,01
6,Kapralos D.  -,C3 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,12,326.8,293.36,290.63,36.170000000000016,33.44,11.398963730569948,01
7,Plakoutsis D. ,C3 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,19,392.26,293.36,290.63,101.63,98.89999999999998,33.712844286883005,01
8,Karathanassis ,C5 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,5,299.47,299.47,290.63,8.840000000000032,0.0,0.0,01
9,Vergozissis Ap,C5 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,6,304.75,299.47,290.63,14.120000000000005,5.279999999999973,1.7631148362106295,01
10,Stratieva Ekat,C5 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,7,314.03,299.47,290.63,23.399999999999977,14.559999999999945,4.861922730156591,01
11,Tsitsigiannis ,C5 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,9,319.5,299.47,290.63,28.870000000000005,20.029999999999973,6.688482986609667,01
