,,,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4
Crew,Gr/Cl,Race,,,,
Avgeropoulos C,C4 ,Kentavros,4:50.63,8:09.89,4:46.34,8:07.42
Baxevanakis P.,C3 ,Kentavros,5:20.83,8:53.61,5:10.67,8:45.19
Benoukas Marin,C6 ,Kentavros,5:36.20,9:17.22,5:28.77,9:12.22
Damassiotis E.,C5 ,Kentavros,5:33.00,9:47.72,5:43.41,9:23.24
Gerodimos Gior,C6 ,Kentavros,5:24.33,8:57.76,5:20.83,8:56.33
Kapralos D.  -,C3 ,Kentavros,5:26.80,9:05.53,5:19.78,9:08.13
Karathanassis ,C5 ,Kentavros,4:59.47,8:26.43,5:00.82,8:31.04
Moschos A.  - ,C3 ,Kentavros,4:53.36,8:12.67,4:50.88,8:07.63
Mossios Ioanni,C6 ,Kentavros,5:33.00,9:39.94,5:35.02,9:18.61
Nomikos Ioanni,C2,Kentavros,5:15.90,8:44.74,5:16.13,8:51.07
Plakoutsis D. ,C3 ,Kentavros,6:32.26,-,-,-
Polichronopoul,C6 ,Kentavros,5:41.59,9:29.21,5:33.04,9:21.38
Rekkas Viktora,C6 ,Kentavros,5:27.19,9:04.07,5:12.59,8:49.04
Stratieva Ekat,C5 ,Kentavros,5:14.03,8:49.83,5:09.78,8:56.40
Titov Anton  -,C1,Kentavros,4:53.10,8:14.78,4:49.94,8:12.29
Tsitsigiannis ,C5 ,Kentavros,5:19.50,9:07.42,-,-
Tzigas-Zygas G,C6 ,Kentavros,5:33.00,9:30.56,5:24.35,9:15.90
Vergozissis Ap,C5 ,Kentavros,5:04.75,8:27.79,5:05.64,-
Vlachos Aposto,C2,Kentavros,4:51.37,8:04.99,4:45.76,8:04.71
