Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Avgeropoulos C,C4 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,1,290.63
Vlachos Aposto,C2,1,Kentavros,31/03/2021,Tarmac,Greek Cup,2,291.37
Titov Anton  -,C1,1,Kentavros,31/03/2021,Tarmac,Greek Cup,3,293.1
Moschos A.  - ,C3 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,4,293.36
Karathanassis ,C5 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,5,299.47
Vergozissis Ap,C5 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,6,304.75
Stratieva Ekat,C5 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,7,314.03
Nomikos Ioanni,C2,1,Kentavros,31/03/2021,Tarmac,Greek Cup,8,315.9
Tsitsigiannis ,C5 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,9,319.5
Baxevanakis P.,C3 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,10,320.83
Gerodimos Gior,C6 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,11,324.33
Kapralos D.  -,C3 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,12,326.8
Rekkas Viktora,C6 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,13,327.19
Mossios Ioanni,C6 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,14,333.0
Damassiotis E.,C5 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,15,333.0
Tzigas-Zygas G,C6 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,16,333.0
Benoukas Marin,C6 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,17,336.2
Polichronopoul,C6 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,18,341.59000000000003
Plakoutsis D. ,C3 ,1,Kentavros,31/03/2021,Tarmac,Greek Cup,19,392.26
Vlachos Aposto,C2,2,Kentavros,31/03/2021,Tarmac,Greek Cup,1,484.99
Avgeropoulos C,C4 ,2,Kentavros,31/03/2021,Tarmac,Greek Cup,2,489.89
Moschos A.  - ,C3 ,2,Kentavros,31/03/2021,Tarmac,Greek Cup,3,492.67
Titov Anton  -,C1,2,Kentavros,31/03/2021,Tarmac,Greek Cup,4,494.78
