,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
0,Amoutzas Giorg,C1,1,Korinthou,16-06-2024,Gravel,Greek Championship,1,824.45,824.45,824.45,0.0,0.0,0.0,01
1,Papadimitriou ,C1,1,Korinthou,16-06-2024,Gravel,Greek Championship,2,830.16,824.45,824.45,5.709999999999923,5.709999999999923,0.6925829340772541,01
2,Kechagias G.  ,C1,1,Korinthou,16-06-2024,Gravel,Greek Championship,3,831.95,824.45,824.45,7.5,7.5,0.9096973740069135,01
3,Serderidis Jou,C1,1,Korinthou,16-06-2024,Gravel,Greek Championship,4,849.82,824.45,824.45,25.370000000000005,25.370000000000005,3.077202983807387,01
4,Rendina Max  -,C1,1,Korinthou,16-06-2024,Gravel,Greek Championship,9,876.28,824.45,824.45,51.82999999999993,51.82999999999993,6.2866153193037695,01
5,Xanthakos Mari,C1,1,Korinthou,16-06-2024,Gravel,Greek Championship,10,883.35,824.45,824.45,58.89999999999998,58.89999999999998,7.1441567105342925,01
6,Karanikolas E.,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,5,851.49,851.49,824.45,27.039999999999964,0.0,0.0,01
7,Panteli Petros,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,6,851.52,851.49,824.45,27.069999999999936,0.029999999999972715,0.003523235739700139,01
8,Chatzimarkos P,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,7,855.76,851.49,824.45,31.309999999999945,4.269999999999982,0.5014738869511071,01
9,Halkias Efthim,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,8,858.06,851.49,824.45,33.6099999999999,6.569999999999936,0.7715886269950247,01
10,Delaportas Gio,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,11,887.25,851.49,824.45,62.799999999999955,35.75999999999999,4.199697001726385,01
11,J.J.  - Stefan,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,12,906.69,851.49,824.45,82.24000000000001,55.200000000000045,6.482753761054158,01
12,Ismailos Panos,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,13,911.46,851.49,824.45,87.00999999999999,59.97000000000003,7.042948243666987,01
13,Zygogiannis K.,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,15,920.93,851.49,824.45,96.4799999999999,69.43999999999994,8.155116325499998,01
14,Vasilakis Geor,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,20,939.95,851.49,824.45,115.5,88.46000000000004,10.38884778447193,01
15,Tsoulos Argiri,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,22,942.13,851.49,824.45,117.67999999999995,90.63999999999999,10.644869581557034,01
16,Davaris Nikos ,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,28,990.84,851.49,824.45,166.39,139.35000000000002,16.365430010922033,01
17,Yiangou Y.  - ,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,35,1058.33,851.49,824.45,233.87999999999988,206.83999999999992,24.291536013341307,01
18,Rinakis Manos ,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,36,1058.48,851.49,824.45,234.02999999999997,206.99,24.309152192039836,01
19,Moustakas Spir,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,39,1075.03,851.49,824.45,250.57999999999993,223.53999999999996,26.25280390844284,01
44,Amoutzas Giorg,C1,2,Korinthou,16-06-2024,Gravel,Greek Championship,1,382.8,382.8,382.8,0.0,0.0,0.0,02
45,Kechagias G.  ,C1,2,Korinthou,16-06-2024,Gravel,Greek Championship,2,387.76,382.8,382.8,4.9599999999999795,4.9599999999999795,1.2957157784743938,02
46,Papadimitriou ,C1,2,Korinthou,16-06-2024,Gravel,Greek Championship,3,389.14,382.8,382.8,6.339999999999975,6.339999999999975,1.6562173458725116,02
47,Serderidis Jou,C1,2,Korinthou,16-06-2024,Gravel,Greek Championship,6,393.13,382.8,382.8,10.329999999999984,10.329999999999984,2.698537095088815,02
48,Xanthakos Mari,C1,2,Korinthou,16-06-2024,Gravel,Greek Championship,11,413.06,382.8,382.8,30.25999999999999,30.25999999999999,7.904911180773247,02
49,Rendina Max  -,C1,2,Korinthou,16-06-2024,Gravel,Greek Championship,43,780.51,382.8,382.8,397.71,397.71,103.8949843260188,02
50,Karanikolas E.,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,4,391.36,391.36,382.8,8.560000000000002,0.0,0.0,02
51,Panteli Petros,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,5,391.49,391.36,382.8,8.689999999999998,0.12999999999999545,0.03321749795584512,02
52,Chatzimarkos P,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,7,393.26,391.36,382.8,10.45999999999998,1.8999999999999773,0.4854865085854398,02
53,Halkias Efthim,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,8,397.45,391.36,382.8,14.649999999999977,6.089999999999975,1.5561120196238694,02
54,Delaportas Gio,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,9,400.89,391.36,382.8,18.089999999999975,9.529999999999973,2.43509811937857,02
55,J.J.  - Stefan,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,14,421.17,391.36,382.8,38.370000000000005,29.810000000000002,7.617027800490598,02
56,Tsoulos Argiri,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,16,428.25,391.36,382.8,45.44999999999999,36.889999999999986,9.42610384300899,02
57,Zygogiannis K.,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,17,428.65,391.36,382.8,45.849999999999966,37.289999999999964,9.528311529026972,02
58,Vasilakis Geor,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,18,430.88,391.36,382.8,48.079999999999984,39.51999999999998,10.098119378577264,02
59,Ismailos Panos,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,22,442.02,391.36,382.8,59.21999999999997,50.65999999999997,12.944603434178243,02
60,Davaris Nikos ,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,27,455.40999999999997,391.36,382.8,72.60999999999996,64.04999999999995,16.366005723630405,02
61,Yiangou Y.  - ,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,33,481.21,391.36,382.8,98.40999999999997,89.84999999999997,22.95840147179067,02
62,Rinakis Manos ,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,34,484.78,391.36,382.8,101.97999999999996,93.41999999999996,23.870605069501217,02
63,Moustakas Spir,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,41,528.88,391.36,382.8,146.07999999999998,137.51999999999998,35.13900245298446,02
87,Papadimitriou ,C1,3,Korinthou,16-06-2024,Gravel,Greek Championship,1,809.81,809.81,809.81,0.0,0.0,0.0,03
88,Amoutzas Giorg,C1,3,Korinthou,16-06-2024,Gravel,Greek Championship,2,811.31,809.81,809.81,1.5,1.5,0.1852286338770823,03
89,Kechagias G.  ,C1,3,Korinthou,16-06-2024,Gravel,Greek Championship,3,818.22,809.81,809.81,8.410000000000082,8.410000000000082,1.0385152072708514,03
90,Serderidis Jou,C1,3,Korinthou,16-06-2024,Gravel,Greek Championship,6,833.01,809.81,809.81,23.200000000000045,23.200000000000045,2.8648695372988784,03
91,Rendina Max  -,C1,3,Korinthou,16-06-2024,Gravel,Greek Championship,9,856.06,809.81,809.81,46.25,46.25,5.711216211210037,03
92,Xanthakos Mari,C1,3,Korinthou,16-06-2024,Gravel,Greek Championship,11,858.41,809.81,809.81,48.60000000000002,48.60000000000002,6.001407737617469,03
93,Chatzimarkos P,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,4,827.07,827.07,809.81,17.260000000000105,0.0,0.0,03
94,Karanikolas E.,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,5,830.6,827.07,809.81,20.790000000000077,3.5299999999999727,0.4268078880868575,03
95,Halkias Efthim,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,7,834.32,827.07,809.81,24.510000000000105,7.25,0.8765884387053091,03
96,Panteli Petros,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,8,834.59,827.07,809.81,24.780000000000086,7.519999999999982,0.9092338012501943,03
97,Delaportas Gio,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,10,857.13,827.07,809.81,47.32000000000005,30.059999999999945,3.634517029997454,03
98,J.J.  - Stefan,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,14,886.73,827.07,809.81,76.92000000000007,59.65999999999997,7.213416034918444,03
99,Vasilakis Geor,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,15,897.1,827.07,809.81,87.29000000000008,70.02999999999997,8.46723977414245,03
100,Zygogiannis K.,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,17,902.68,827.07,809.81,92.87,75.6099999999999,9.141910600070116,03
101,Tsoulos Argiri,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,19,910.87,827.07,809.81,101.06000000000006,83.79999999999995,10.132153263931706,03
102,Davaris Nikos ,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,21,953.32,827.07,809.81,143.5100000000001,126.25,15.264729708489003,03
103,Rinakis Manos ,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,28,1014.11,827.07,809.81,204.30000000000007,187.03999999999996,22.614772631095306,03
104,Moustakas Spir,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,31,1029.49,827.07,809.81,219.68000000000006,202.41999999999996,24.474349208652225,03
105,Yiangou Y.  - ,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,32,1044.12,827.07,809.81,234.30999999999995,217.04999999999984,26.24324422358444,03
128,Kechagias G.  ,C1,4,Korinthou,16-06-2024,Gravel,Greek Championship,1,374.56,374.56,374.56,0.0,0.0,0.0,04
129,Amoutzas Giorg,C1,4,Korinthou,16-06-2024,Gravel,Greek Championship,2,375.42,374.56,374.56,0.8600000000000136,0.8600000000000136,0.2296027338744163,04
130,Papadimitriou ,C1,4,Korinthou,16-06-2024,Gravel,Greek Championship,3,377.41,374.56,374.56,2.8500000000000227,2.8500000000000227,0.7608927808628851,04
131,Serderidis Jou,C1,4,Korinthou,16-06-2024,Gravel,Greek Championship,5,381.2,374.56,374.56,6.639999999999986,6.639999999999986,1.7727466894489496,04
