,Pos.,No,Crew,Gr/Cl,total_time,Diff,Speed,ss,Race,date,surface,competition,cPos,Stages_time,Penalty,Stages_t_s,Stages_t_m,Stages_t_h,Penalty_m,Penalty_s,Diff_1st,Diff_Pre,time,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
0,1.0,#3,Amoutzas Giorg,C1,13:44.45,0,79.5,1,Korinthou,16-06-2024,Gravel,Greek Championship,1,13:44.45,0,44.45,13.0,0.0,0.0,0.0,0,0,824.45,824.45,824.45,0.0,0.0,0.0,01
1,2.0,#2,Papadimitriou ,C1,13:50.16,+5.71 +5.71,79.0 0.31,1,Korinthou,16-06-2024,Gravel,Greek Championship,2,13:50.16,0,50.16,13.0,0.0,0.0,0.0,5.71,+5.71,830.16,824.45,824.45,5.709999999999923,5.709999999999923,0.6925829340772541,01
2,3.0,#4,Kechagias G.  ,C1,13:51.95,+7.50 +1.79,78.8 0.41,1,Korinthou,16-06-2024,Gravel,Greek Championship,3,13:51.95,0,51.95,13.0,0.0,0.0,0.0,7.50,+1.79,831.95,824.45,824.45,7.5,7.5,0.9096973740069135,01
3,4.0,#1,Serderidis Jou,C1,14:09.82,+25.37 +17.87,77.1 1.39,1,Korinthou,16-06-2024,Gravel,Greek Championship,4,14:09.82,0,9.82,14.0,0.0,0.0,0.0,25.37,+17.87,849.82,824.45,824.45,25.370000000000005,25.370000000000005,3.077202983807387,01
4,9.0,#5,Rendina Max  -,C1,14:36.28,+51.83 +18.22,74.8 2.85,1,Korinthou,16-06-2024,Gravel,Greek Championship,9,14:36.28,0,36.28,14.0,0.0,0.0,0.0,51.83,+18.22,876.28,824.45,824.45,51.82999999999993,51.82999999999993,6.2866153193037695,01
5,10.0,#6,Xanthakos Mari,C1,14:43.35,+58.90 +7.07,74.2 3.23,1,Korinthou,16-06-2024,Gravel,Greek Championship,10,14:43.35,0,43.35,14.0,0.0,0.0,0.0,58.90,+7.07,883.35,824.45,824.45,58.89999999999998,58.89999999999998,7.1441567105342925,01
6,5.0,#8,Karanikolas E.,C2,14:11.49,+27.04 +1.67,77.0 1.48,1,Korinthou,16-06-2024,Gravel,Greek Championship,5,14:11.49,0,11.49,14.0,0.0,0.0,0.0,27.04,+1.67,851.49,851.49,824.45,27.039999999999964,0.0,0.0,01
7,6.0,#7,Panteli Petros,C2,14:11.52,+27.07 +0.03,77.0 1.49,1,Korinthou,16-06-2024,Gravel,Greek Championship,6,14:11.52,0,11.52,14.0,0.0,0.0,0.0,27.07,+0.03,851.52,851.49,824.45,27.069999999999936,0.029999999999972715,0.003523235739700139,01
8,7.0,#10,Chatzimarkos P,C2,14:15.76,+31.31 +4.24,76.6 1.72,1,Korinthou,16-06-2024,Gravel,Greek Championship,7,14:15.76,0,15.76,14.0,0.0,0.0,0.0,31.31,+4.24,855.76,851.49,824.45,31.309999999999945,4.269999999999982,0.5014738869511071,01
9,8.0,#9,Halkias Efthim,C2,14:18.06,+33.61 +2.30,76.4 1.85,1,Korinthou,16-06-2024,Gravel,Greek Championship,8,14:18.06,0,18.06,14.0,0.0,0.0,0.0,33.61,+2.30,858.06,851.49,824.45,33.6099999999999,6.569999999999936,0.7715886269950247,01
10,11.0,#14,Delaportas Gio,C2,14:47.25,+1:02.80 +3.90,73.9 3.45,1,Korinthou,16-06-2024,Gravel,Greek Championship,11,14:47.25,0,47.25,14.0,0.0,0.0,0.0,1:02.80,+3.90,887.25,851.49,824.45,62.799999999999955,35.75999999999999,4.199697001726385,01
11,12.0,#18,J.J.  - Stefan,C2,15:06.69,+1:22.24 +19.44,72.3 4.52,1,Korinthou,16-06-2024,Gravel,Greek Championship,12,15:06.69,0,6.69,15.0,0.0,0.0,0.0,1:22.24,+19.44,906.69,851.49,824.45,82.24000000000001,55.200000000000045,6.482753761054158,01
12,13.0,#12,Ismailos Panos,C2,15:11.46,+1:27.01 +4.77,71.9 4.78,1,Korinthou,16-06-2024,Gravel,Greek Championship,13,15:11.46,0,11.46,15.0,0.0,0.0,0.0,1:27.01,+4.77,911.46,851.49,824.45,87.00999999999999,59.97000000000003,7.042948243666987,01
13,15.0,#16,Zygogiannis K.,C2,15:20.93,+1:36.48 +2.07,71.2 5.30,1,Korinthou,16-06-2024,Gravel,Greek Championship,15,15:20.93,0,20.93,15.0,0.0,0.0,0.0,1:36.48,+2.07,920.93,851.49,824.45,96.4799999999999,69.43999999999994,8.155116325499998,01
14,20.0,#19,Vasilakis Geor,C2,15:39.95,+1:55.50 +7.02,69.7 6.34,1,Korinthou,16-06-2024,Gravel,Greek Championship,20,15:39.95,0,39.95,15.0,0.0,0.0,0.0,1:55.50,+7.02,939.95,851.49,824.45,115.5,88.46000000000004,10.38884778447193,01
15,22.0,#15,Tsoulos Argiri,C2,15:42.13,+1:57.68 +0.91,69.6 6.46,1,Korinthou,16-06-2024,Gravel,Greek Championship,22,15:42.13,0,42.13,15.0,0.0,0.0,0.0,1:57.68,+0.91,942.13,851.49,824.45,117.67999999999995,90.63999999999999,10.644869581557034,01
16,28.0,#17,Davaris Nikos ,C2,16:30.84,+2:46.39 +1.32,66.2 9.14,1,Korinthou,16-06-2024,Gravel,Greek Championship,28,16:30.84,0,30.84,16.0,0.0,0.0,0.0,2:46.39,+1.32,990.84,851.49,824.45,166.39,139.35000000000002,16.365430010922033,01
17,35.0,#30,Yiangou Y.  - ,C2,17:38.33,+3:53.88 +13.97,61.9 12.8,1,Korinthou,16-06-2024,Gravel,Greek Championship,35,17:38.33,0,38.33,17.0,0.0,0.0,0.0,3:53.88,+13.97,1058.33,851.49,824.45,233.87999999999988,206.83999999999992,24.291536013341307,01
18,36.0,#33,Rinakis Manos ,C2,17:38.48,+3:54.03 +0.15,61.9 12.9,1,Korinthou,16-06-2024,Gravel,Greek Championship,36,17:38.48,0,38.48,17.0,0.0,0.0,0.0,3:54.03,+0.15,1058.48,851.49,824.45,234.02999999999997,206.99,24.309152192039836,01
19,39.0,#38,Moustakas Spir,C2,17:55.03,+4:10.58 +3.14,61.0 13.8,1,Korinthou,16-06-2024,Gravel,Greek Championship,39,17:55.03,0,55.03,17.0,0.0,0.0,0.0,4:10.58,+3.14,1075.03,851.49,824.45,250.57999999999993,223.53999999999996,26.25280390844284,01
20,14.0,#21,Polykarpou Pan,C5,15:18.86,+1:34.41 +7.40,71.3 5.18,1,Korinthou,16-06-2024,Gravel,Greek Championship,14,15:18.86,0,18.86,15.0,0.0,0.0,0.0,1:34.41,+7.40,918.86,918.86,824.45,94.40999999999997,0.0,0.0,01
21,16.0,#24,Panteli Chryso,C5,15:23.50,+1:39.05 +2.57,71.0 5.44,1,Korinthou,16-06-2024,Gravel,Greek Championship,16,15:23.50,0,23.5,15.0,0.0,0.0,0.0,1:39.05,+2.57,923.5,918.86,824.45,99.04999999999995,4.639999999999986,0.5049735541867081,01
22,17.0,#20,Paleokostas Di,C5,15:26.86,+1:42.41 +3.36,70.7 5.62,1,Korinthou,16-06-2024,Gravel,Greek Championship,17,15:26.86,0,26.86,15.0,0.0,0.0,0.0,1:42.41,+3.36,926.86,918.86,824.45,102.40999999999997,8.0,0.8706440589426028,01
23,18.0,#22,Lefkaditis Sav,C5,15:29.60,+1:45.15 +2.74,70.5 5.77,1,Korinthou,16-06-2024,Gravel,Greek Championship,18,15:29.60,0,29.6,15.0,0.0,0.0,0.0,1:45.15,+2.74,929.6,918.86,824.45,105.14999999999998,10.740000000000009,1.1688396491304451,01
24,32.0,#25,Kalamaras Teo ,C5,16:52.79,+3:08.34 +2.35,64.7 10.3,1,Korinthou,16-06-2024,Gravel,Greek Championship,32,16:52.79,0,52.79,16.0,0.0,0.0,0.0,3:08.34,+2.35,1012.79,918.86,824.45,188.33999999999992,93.92999999999995,10.222449557059829,01
25,19.0,#23,Dimopoulos Ant,C4,15:32.93,+1:48.48 +3.33,70.3 5.96,1,Korinthou,16-06-2024,Gravel,Greek Championship,19,15:32.93,0,32.93,15.0,0.0,0.0,0.0,1:48.48,+3.33,932.93,932.93,824.45,108.4799999999999,0.0,0.0,01
26,25.0,#32,Milonas K.  - ,C4,16:14.52,+2:30.07 +1.54,67.3 8.24,1,Korinthou,16-06-2024,Gravel,Greek Championship,25,16:14.52,0,14.52,16.0,0.0,0.0,0.0,2:30.07,+1.54,974.52,932.93,824.45,150.06999999999994,41.59000000000003,4.457997920529947,01
27,34.0,#37,Mavraganis A. ,C4,17:24.36,+3:39.91 +2.90,62.8 12.1,1,Korinthou,16-06-2024,Gravel,Greek Championship,34,17:24.36,0,24.36,17.0,0.0,0.0,0.0,3:39.91,+2.90,1044.36,932.93,824.45,219.90999999999985,111.42999999999995,11.94409012466101,01
