Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Amoutzas Giorg,C1,1,Korinthou,16-06-2024,Gravel,Greek Championship,1,824.45
Papadimitriou ,C1,1,Korinthou,16-06-2024,Gravel,Greek Championship,2,830.16
Kechagias G.  ,C1,1,Korinthou,16-06-2024,Gravel,Greek Championship,3,831.95
Serderidis Jou,C1,1,Korinthou,16-06-2024,Gravel,Greek Championship,4,849.82
Karanikolas E.,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,5,851.49
Panteli Petros,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,6,851.52
Chatzimarkos P,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,7,855.76
Halkias Efthim,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,8,858.06
Rendina Max  -,C1,1,Korinthou,16-06-2024,Gravel,Greek Championship,9,876.28
Xanthakos Mari,C1,1,Korinthou,16-06-2024,Gravel,Greek Championship,10,883.35
Delaportas Gio,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,11,887.25
J.J.  - Stefan,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,12,906.69
Ismailos Panos,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,13,911.46
Polykarpou Pan,C5,1,Korinthou,16-06-2024,Gravel,Greek Championship,14,918.86
Zygogiannis K.,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,15,920.93
Panteli Chryso,C5,1,Korinthou,16-06-2024,Gravel,Greek Championship,16,923.5
Paleokostas Di,C5,1,Korinthou,16-06-2024,Gravel,Greek Championship,17,926.86
Lefkaditis Sav,C5,1,Korinthou,16-06-2024,Gravel,Greek Championship,18,929.6
Dimopoulos Ant,C4,1,Korinthou,16-06-2024,Gravel,Greek Championship,19,932.93
Vasilakis Geor,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,20,939.95
Antoniou K.  -,C3,1,Korinthou,16-06-2024,Gravel,Greek Championship,21,941.22
Tsoulos Argiri,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,22,942.13
Kassimis Ioann,C6,1,Korinthou,16-06-2024,Gravel,Greek Championship,23,972.95
Yfantis V.  - ,C3,1,Korinthou,16-06-2024,Gravel,Greek Championship,24,972.98
Milonas K.  - ,C4,1,Korinthou,16-06-2024,Gravel,Greek Championship,25,974.52
Giokaris S.  -,C6,1,Korinthou,16-06-2024,Gravel,Greek Championship,26,976.16
Rigas Giorgos ,C3,1,Korinthou,16-06-2024,Gravel,Greek Championship,27,989.52
Davaris Nikos ,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,28,990.84
Tsagarakis A. ,C3,1,Korinthou,16-06-2024,Gravel,Greek Championship,29,997.01
Sotiropoulos N,C6,1,Korinthou,16-06-2024,Gravel,Greek Championship,30,1008.41
Panagiotopoulo,C6,1,Korinthou,16-06-2024,Gravel,Greek Championship,31,1010.44
Kalamaras Teo ,C5,1,Korinthou,16-06-2024,Gravel,Greek Championship,32,1012.79
Basdelis Andre,C3,1,Korinthou,16-06-2024,Gravel,Greek Championship,33,1041.46
Mavraganis A. ,C4,1,Korinthou,16-06-2024,Gravel,Greek Championship,34,1044.36
Yiangou Y.  - ,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,35,1058.33
Rinakis Manos ,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,36,1058.48
Dakaris Ioanni,C4,1,Korinthou,16-06-2024,Gravel,Greek Championship,37,1064.54
Trikardos Dimi,2,1,Korinthou,16-06-2024,Gravel,Greek Championship,38,1071.89
Moustakas Spir,C2,1,Korinthou,16-06-2024,Gravel,Greek Championship,39,1075.03
Baxevanakis A.,C6,1,Korinthou,16-06-2024,Gravel,Greek Championship,40,1089.6
Dodos Giorgos ,4,1,Korinthou,16-06-2024,Gravel,Greek Championship,41,1089.72
Chatzidakis V.,C3,1,Korinthou,16-06-2024,Gravel,Greek Championship,42,1110.13
Vassilopoulos ,2,1,Korinthou,16-06-2024,Gravel,Greek Championship,43,1130.73
Pantelakis Gio,C3,1,Korinthou,16-06-2024,Gravel,Greek Championship,44,1698.36
Amoutzas Giorg,C1,2,Korinthou,16-06-2024,Gravel,Greek Championship,1,382.8
Kechagias G.  ,C1,2,Korinthou,16-06-2024,Gravel,Greek Championship,2,387.76
Papadimitriou ,C1,2,Korinthou,16-06-2024,Gravel,Greek Championship,3,389.14
Karanikolas E.,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,4,391.36
Panteli Petros,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,5,391.49
Serderidis Jou,C1,2,Korinthou,16-06-2024,Gravel,Greek Championship,6,393.13
Chatzimarkos P,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,7,393.26
Halkias Efthim,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,8,397.45
Delaportas Gio,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,9,400.89
Panteli Chryso,C5,2,Korinthou,16-06-2024,Gravel,Greek Championship,10,409.96
Xanthakos Mari,C1,2,Korinthou,16-06-2024,Gravel,Greek Championship,11,413.06
Paleokostas Di,C5,2,Korinthou,16-06-2024,Gravel,Greek Championship,12,416.53
Polykarpou Pan,C5,2,Korinthou,16-06-2024,Gravel,Greek Championship,13,417.71
J.J.  - Stefan,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,14,421.17
Lefkaditis Sav,C5,2,Korinthou,16-06-2024,Gravel,Greek Championship,15,422.91
Tsoulos Argiri,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,16,428.25
Zygogiannis K.,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,17,428.65
Vasilakis Geor,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,18,430.88
Antoniou K.  -,C3,2,Korinthou,16-06-2024,Gravel,Greek Championship,19,437.71
Rigas Giorgos ,C3,2,Korinthou,16-06-2024,Gravel,Greek Championship,20,440.61
Kassimis Ioann,C6,2,Korinthou,16-06-2024,Gravel,Greek Championship,21,441.21
Ismailos Panos,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,22,442.02
Giokaris S.  -,C6,2,Korinthou,16-06-2024,Gravel,Greek Championship,23,442.86
Milonas K.  - ,C4,2,Korinthou,16-06-2024,Gravel,Greek Championship,24,445.12
Kalamaras Teo ,C5,2,Korinthou,16-06-2024,Gravel,Greek Championship,25,446.32
Yfantis V.  - ,C3,2,Korinthou,16-06-2024,Gravel,Greek Championship,26,447.71
Davaris Nikos ,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,27,455.40999999999997
Tsagarakis A. ,C3,2,Korinthou,16-06-2024,Gravel,Greek Championship,28,463.13
Panagiotopoulo,C6,2,Korinthou,16-06-2024,Gravel,Greek Championship,29,463.26
Dimopoulos Ant,C4,2,Korinthou,16-06-2024,Gravel,Greek Championship,30,467.63
Mavraganis A. ,C4,2,Korinthou,16-06-2024,Gravel,Greek Championship,31,467.63
Basdelis Andre,C3,2,Korinthou,16-06-2024,Gravel,Greek Championship,32,471.99
Yiangou Y.  - ,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,33,481.21
Rinakis Manos ,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,34,484.78
Dodos Giorgos ,4,2,Korinthou,16-06-2024,Gravel,Greek Championship,35,485.18
Dakaris Ioanni,C4,2,Korinthou,16-06-2024,Gravel,Greek Championship,36,489.48
Trikardos Dimi,2,2,Korinthou,16-06-2024,Gravel,Greek Championship,37,496.81
Chatzidakis V.,C3,2,Korinthou,16-06-2024,Gravel,Greek Championship,38,504.99
Vassilopoulos ,2,2,Korinthou,16-06-2024,Gravel,Greek Championship,39,517.02
Pantelakis Gio,C3,2,Korinthou,16-06-2024,Gravel,Greek Championship,40,520.43
Moustakas Spir,C2,2,Korinthou,16-06-2024,Gravel,Greek Championship,41,528.88
Sotiropoulos N,C6,2,Korinthou,16-06-2024,Gravel,Greek Championship,42,566.94
Rendina Max  -,C1,2,Korinthou,16-06-2024,Gravel,Greek Championship,43,780.51
Papadimitriou ,C1,3,Korinthou,16-06-2024,Gravel,Greek Championship,1,809.81
Amoutzas Giorg,C1,3,Korinthou,16-06-2024,Gravel,Greek Championship,2,811.31
Kechagias G.  ,C1,3,Korinthou,16-06-2024,Gravel,Greek Championship,3,818.22
Chatzimarkos P,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,4,827.07
Karanikolas E.,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,5,830.6
Serderidis Jou,C1,3,Korinthou,16-06-2024,Gravel,Greek Championship,6,833.01
Halkias Efthim,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,7,834.32
Panteli Petros,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,8,834.59
Rendina Max  -,C1,3,Korinthou,16-06-2024,Gravel,Greek Championship,9,856.06
Delaportas Gio,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,10,857.13
Xanthakos Mari,C1,3,Korinthou,16-06-2024,Gravel,Greek Championship,11,858.41
Polykarpou Pan,C5,3,Korinthou,16-06-2024,Gravel,Greek Championship,12,882.49
Panteli Chryso,C5,3,Korinthou,16-06-2024,Gravel,Greek Championship,13,886.31
J.J.  - Stefan,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,14,886.73
Vasilakis Geor,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,15,897.1
Lefkaditis Sav,C5,3,Korinthou,16-06-2024,Gravel,Greek Championship,16,898.09
Zygogiannis K.,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,17,902.68
Dimopoulos Ant,C4,3,Korinthou,16-06-2024,Gravel,Greek Championship,18,908.05
Tsoulos Argiri,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,19,910.87
Paleokostas Di,C5,3,Korinthou,16-06-2024,Gravel,Greek Championship,20,915.41
Davaris Nikos ,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,21,953.32
Milonas K.  - ,C4,3,Korinthou,16-06-2024,Gravel,Greek Championship,22,953.55
Rigas Giorgos ,C3,3,Korinthou,16-06-2024,Gravel,Greek Championship,23,959.4
Yfantis V.  - ,C3,3,Korinthou,16-06-2024,Gravel,Greek Championship,24,962.16
Kassimis Ioann,C6,3,Korinthou,16-06-2024,Gravel,Greek Championship,25,967.98
Giokaris S.  -,C6,3,Korinthou,16-06-2024,Gravel,Greek Championship,26,974.26
Kalamaras Teo ,C5,3,Korinthou,16-06-2024,Gravel,Greek Championship,27,980.08
Rinakis Manos ,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,28,1014.11
Mavraganis A. ,C4,3,Korinthou,16-06-2024,Gravel,Greek Championship,29,1015.42
Panagiotopoulo,C6,3,Korinthou,16-06-2024,Gravel,Greek Championship,30,1015.65
Moustakas Spir,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,31,1029.49
Yiangou Y.  - ,C2,3,Korinthou,16-06-2024,Gravel,Greek Championship,32,1044.12
Dakaris Ioanni,C4,3,Korinthou,16-06-2024,Gravel,Greek Championship,33,1045.05
Basdelis Andre,C3,3,Korinthou,16-06-2024,Gravel,Greek Championship,34,1056.08
Pantelakis Gio,C3,3,Korinthou,16-06-2024,Gravel,Greek Championship,35,1065.69
Trikardos Dimi,2,3,Korinthou,16-06-2024,Gravel,Greek Championship,36,1066.77
Dodos Giorgos ,4,3,Korinthou,16-06-2024,Gravel,Greek Championship,37,1083.17
Chatzidakis V.,C3,3,Korinthou,16-06-2024,Gravel,Greek Championship,38,1104.39
Sotiropoulos N,C6,3,Korinthou,16-06-2024,Gravel,Greek Championship,39,1114.75
Vassilopoulos ,2,3,Korinthou,16-06-2024,Gravel,Greek Championship,40,1126.33
Tsagarakis A. ,C3,3,Korinthou,16-06-2024,Gravel,Greek Championship,41,1185.88
Kechagias G.  ,C1,4,Korinthou,16-06-2024,Gravel,Greek Championship,1,374.56
Amoutzas Giorg,C1,4,Korinthou,16-06-2024,Gravel,Greek Championship,2,375.42
Papadimitriou ,C1,4,Korinthou,16-06-2024,Gravel,Greek Championship,3,377.41
Chatzimarkos P,C2,4,Korinthou,16-06-2024,Gravel,Greek Championship,4,379.48
Serderidis Jou,C1,4,Korinthou,16-06-2024,Gravel,Greek Championship,5,381.2
Karanikolas E.,C2,4,Korinthou,16-06-2024,Gravel,Greek Championship,6,383.09
Panteli Petros,C2,4,Korinthou,16-06-2024,Gravel,Greek Championship,7,385.1
Halkias Efthim,C2,4,Korinthou,16-06-2024,Gravel,Greek Championship,8,387.13
Delaportas Gio,C2,4,Korinthou,16-06-2024,Gravel,Greek Championship,9,390.84
Rendina Max  -,C1,4,Korinthou,16-06-2024,Gravel,Greek Championship,10,395.13
Xanthakos Mari,C1,4,Korinthou,16-06-2024,Gravel,Greek Championship,11,396.02
Panteli Chryso,C5,4,Korinthou,16-06-2024,Gravel,Greek Championship,12,403.35
J.J.  - Stefan,C2,4,Korinthou,16-06-2024,Gravel,Greek Championship,13,405.28
Paleokostas Di,C5,4,Korinthou,16-06-2024,Gravel,Greek Championship,14,410.94
Dimopoulos Ant,C4,4,Korinthou,16-06-2024,Gravel,Greek Championship,15,412.02
Lefkaditis Sav,C5,4,Korinthou,16-06-2024,Gravel,Greek Championship,16,412.96
Vasilakis Geor,C2,4,Korinthou,16-06-2024,Gravel,Greek Championship,17,417.11
Tsoulos Argiri,C2,4,Korinthou,16-06-2024,Gravel,Greek Championship,18,418.37
Zygogiannis K.,C2,4,Korinthou,16-06-2024,Gravel,Greek Championship,19,421.3
Milonas K.  - ,C4,4,Korinthou,16-06-2024,Gravel,Greek Championship,20,437.24
Rigas Giorgos ,C3,4,Korinthou,16-06-2024,Gravel,Greek Championship,21,437.73
Yfantis V.  - ,C3,4,Korinthou,16-06-2024,Gravel,Greek Championship,22,440.48
Kalamaras Teo ,C5,4,Korinthou,16-06-2024,Gravel,Greek Championship,23,444.37
Kassimis Ioann,C6,4,Korinthou,16-06-2024,Gravel,Greek Championship,24,445.29
Giokaris S.  -,C6,4,Korinthou,16-06-2024,Gravel,Greek Championship,25,448.05
Davaris Nikos ,C2,4,Korinthou,16-06-2024,Gravel,Greek Championship,26,454.64
Mavraganis A. ,C4,4,Korinthou,16-06-2024,Gravel,Greek Championship,27,460.64
Rinakis Manos ,C2,4,Korinthou,16-06-2024,Gravel,Greek Championship,28,464.43
Panagiotopoulo,C6,4,Korinthou,16-06-2024,Gravel,Greek Championship,29,470.92
Moustakas Spir,C2,4,Korinthou,16-06-2024,Gravel,Greek Championship,30,481.22
Dakaris Ioanni,C4,4,Korinthou,16-06-2024,Gravel,Greek Championship,31,495.46
Trikardos Dimi,2,4,Korinthou,16-06-2024,Gravel,Greek Championship,32,499.38
Vassilopoulos ,2,4,Korinthou,16-06-2024,Gravel,Greek Championship,33,499.73
Pantelakis Gio,C3,4,Korinthou,16-06-2024,Gravel,Greek Championship,34,501.83
Basdelis Andre,C3,4,Korinthou,16-06-2024,Gravel,Greek Championship,35,506.93
Dodos Giorgos ,4,4,Korinthou,16-06-2024,Gravel,Greek Championship,36,509.68
Chatzidakis V.,C3,4,Korinthou,16-06-2024,Gravel,Greek Championship,37,524.98
Tsagarakis A. ,C3,4,Korinthou,16-06-2024,Gravel,Greek Championship,38,598.15
Papadimitriou ,C1,5,Korinthou,16-06-2024,Gravel,Greek Championship,1,799.84
Amoutzas Giorg,C1,5,Korinthou,16-06-2024,Gravel,Greek Championship,2,813.01
Kechagias G.  ,C1,5,Korinthou,16-06-2024,Gravel,Greek Championship,3,818.71
Serderidis Jou,C1,5,Korinthou,16-06-2024,Gravel,Greek Championship,4,822.6
Chatzimarkos P,C2,5,Korinthou,16-06-2024,Gravel,Greek Championship,5,827.07
Karanikolas E.,C2,5,Korinthou,16-06-2024,Gravel,Greek Championship,6,830.6
Halkias Efthim,C2,5,Korinthou,16-06-2024,Gravel,Greek Championship,7,834.32
Panteli Petros,C2,5,Korinthou,16-06-2024,Gravel,Greek Championship,8,835.1
Rendina Max  -,C1,5,Korinthou,16-06-2024,Gravel,Greek Championship,9,850.9
Delaportas Gio,C2,5,Korinthou,16-06-2024,Gravel,Greek Championship,10,857.13
J.J.  - Stefan,C2,5,Korinthou,16-06-2024,Gravel,Greek Championship,11,880.74
Vasilakis Geor,C2,5,Korinthou,16-06-2024,Gravel,Greek Championship,12,897.1
Zygogiannis K.,C2,5,Korinthou,16-06-2024,Gravel,Greek Championship,13,907.71
Tsoulos Argiri,C2,5,Korinthou,16-06-2024,Gravel,Greek Championship,14,910.87
Lefkaditis Sav,C5,5,Korinthou,16-06-2024,Gravel,Greek Championship,15,919.16
Panteli Chryso,C5,5,Korinthou,16-06-2024,Gravel,Greek Championship,16,949.1
Kassimis Ioann,C6,5,Korinthou,16-06-2024,Gravel,Greek Championship,17,982.74
Dimopoulos Ant,C4,5,Korinthou,16-06-2024,Gravel,Greek Championship,18,989.34
Milonas K.  - ,C4,5,Korinthou,16-06-2024,Gravel,Greek Championship,19,1000.04
Kalamaras Teo ,C5,5,Korinthou,16-06-2024,Gravel,Greek Championship,20,1011.93
Rigas Giorgos ,C3,5,Korinthou,16-06-2024,Gravel,Greek Championship,21,1022.79
Rinakis Manos ,C2,5,Korinthou,16-06-2024,Gravel,Greek Championship,22,1027.77
Davaris Nikos ,C2,5,Korinthou,16-06-2024,Gravel,Greek Championship,23,1037.96
Mavraganis A. ,C4,5,Korinthou,16-06-2024,Gravel,Greek Championship,24,1059.49
Dakaris Ioanni,C4,5,Korinthou,16-06-2024,Gravel,Greek Championship,25,1063.43
Panagiotopoulo,C6,5,Korinthou,16-06-2024,Gravel,Greek Championship,26,1067.73
Pantelakis Gio,C3,5,Korinthou,16-06-2024,Gravel,Greek Championship,27,1098.1
Dodos Giorgos ,4,5,Korinthou,16-06-2024,Gravel,Greek Championship,28,1109.04
Vassilopoulos ,2,5,Korinthou,16-06-2024,Gravel,Greek Championship,29,1114.32
Trikardos Dimi,2,5,Korinthou,16-06-2024,Gravel,Greek Championship,30,1116.07
Moustakas Spir,C2,5,Korinthou,16-06-2024,Gravel,Greek Championship,31,1127.17
Tsagarakis A. ,C3,5,Korinthou,16-06-2024,Gravel,Greek Championship,32,1818.18
Giokaris S.  -,C6,5,Korinthou,16-06-2024,Gravel,Greek Championship,33,2561.38
