Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Papadimitriou ,C1,1,Molon Labe,31/03/2024,Gravel,Cup,1,549.65
Paradissis P. ,C2,1,Molon Labe,31/03/2024,Gravel,Cup,2,570.66
Vigopoulos Nik,C2,1,Molon Labe,31/03/2024,Gravel,Cup,3,574.15
Tzemos K.  - A,C2,1,Molon Labe,31/03/2024,Gravel,Cup,4,588.64
Tsetsonis Elia,C2,1,Molon Labe,31/03/2024,Gravel,Cup,5,592.25
Ismailos Panos,C2,1,Molon Labe,31/03/2024,Gravel,Cup,6,595.42
Tsoulos Argiri,C2,1,Molon Labe,31/03/2024,Gravel,Cup,7,599.75
Stafilopatis M,3,1,Molon Labe,31/03/2024,Gravel,Cup,8,602.15
Flandy  - Gira,C2,1,Molon Labe,31/03/2024,Gravel,Cup,9,603.09
Stavropoulos D,C2,1,Molon Labe,31/03/2024,Gravel,Cup,10,611.81
Christodoulou ,RGT,1,Molon Labe,31/03/2024,Gravel,Cup,11,618.72
Pafitis George,C2,1,Molon Labe,31/03/2024,Gravel,Cup,12,619.16
Christodoulou ,4,1,Molon Labe,31/03/2024,Gravel,Cup,13,625.49
Vorrias Ioanni,T1,1,Molon Labe,31/03/2024,Gravel,Cup,14,638.82
Paradissis Gio,2,1,Molon Labe,31/03/2024,Gravel,Cup,15,641.86
Delaportas Gio,4,1,Molon Labe,31/03/2024,Gravel,Cup,16,644.93
Edipidis Ioann,C5 F2 E,1,Molon Labe,31/03/2024,Gravel,Cup,17,647.94
Davaris Nikos ,C2,1,Molon Labe,31/03/2024,Gravel,Cup,18,648.55
Palaiokostas D,C4 F2,1,Molon Labe,31/03/2024,Gravel,Cup,19,648.59
Manetas Giorgo,C4 F2 E,1,Molon Labe,31/03/2024,Gravel,Cup,20,649.62
Giannakopoulos,C5 F2,1,Molon Labe,31/03/2024,Gravel,Cup,21,649.75
Tsalamatas Ioa,3,1,Molon Labe,31/03/2024,Gravel,Cup,22,649.88
Rigas Giorgos ,C3 F2 E,1,Molon Labe,31/03/2024,Gravel,Cup,23,652.3
Melas D.  - Va,2,1,Molon Labe,31/03/2024,Gravel,Cup,24,654.95
Basdelis Andre,C3 F2 E,1,Molon Labe,31/03/2024,Gravel,Cup,25,655.28
Kokkinos Steli,C6 F2,1,Molon Labe,31/03/2024,Gravel,Cup,26,655.81
Anastassopoulo,C4 F2 E,1,Molon Labe,31/03/2024,Gravel,Cup,27,656.57
Sotiropoulos N,C6 F2 E,1,Molon Labe,31/03/2024,Gravel,Cup,28,657.42
Basdelis Giorg,C6 F2,1,Molon Labe,31/03/2024,Gravel,Cup,29,660.77
Pateas A.  - P,C6 F2,1,Molon Labe,31/03/2024,Gravel,Cup,30,662.58
Papadopoulos A,C3 F2,1,Molon Labe,31/03/2024,Gravel,Cup,31,666.37
Paravalos I.  ,4,1,Molon Labe,31/03/2024,Gravel,Cup,32,671.01
Yamalakis Stel,3,1,Molon Labe,31/03/2024,Gravel,Cup,33,679.75
Michalopoulos ,C6 F2,1,Molon Labe,31/03/2024,Gravel,Cup,34,681.38
Kofinas Konsta,4,1,Molon Labe,31/03/2024,Gravel,Cup,35,684.35
Vassilopoulos ,2,1,Molon Labe,31/03/2024,Gravel,Cup,36,684.74
Bris Panagioti,C3 F2 E,1,Molon Labe,31/03/2024,Gravel,Cup,37,687.37
Athanassopoulo,C6 F2,1,Molon Labe,31/03/2024,Gravel,Cup,38,695.52
Kassidopoulos ,4,1,Molon Labe,31/03/2024,Gravel,Cup,39,696.77
Votzakis Pavlo,2,1,Molon Labe,31/03/2024,Gravel,Cup,40,702.06
Mantas Panagio,C6 F2,1,Molon Labe,31/03/2024,Gravel,Cup,41,707.65
Papandreou A. ,3,1,Molon Labe,31/03/2024,Gravel,Cup,42,712.72
Pavli Marialen,C4 F2 E,1,Molon Labe,31/03/2024,Gravel,Cup,43,718.29
Zouras E.  - P,C4 F2 E,1,Molon Labe,31/03/2024,Gravel,Cup,44,725.69
Dodos Giorgos ,4,1,Molon Labe,31/03/2024,Gravel,Cup,45,726.7
Haidas Panagio,C6 F2,1,Molon Labe,31/03/2024,Gravel,Cup,46,740.92
Nomikos Ioanni,4,1,Molon Labe,31/03/2024,Gravel,Cup,47,741.11
Kalamaras Teo ,3,1,Molon Labe,31/03/2024,Gravel,Cup,48,747.22
Christou Dimit,2,1,Molon Labe,31/03/2024,Gravel,Cup,49,748.14
Palapanoglou I,2,1,Molon Labe,31/03/2024,Gravel,Cup,50,758.54
Kalaitzian Ioa,4,1,Molon Labe,31/03/2024,Gravel,Cup,51,761.95
Moustakas Spir,C2,1,Molon Labe,31/03/2024,Gravel,Cup,52,762.85
Tzilavis Savva,2,1,Molon Labe,31/03/2024,Gravel,Cup,53,770.54
Kansos Patrokl,4,1,Molon Labe,31/03/2024,Gravel,Cup,54,1324.95
Mastrogiannis ,4,1,Molon Labe,31/03/2024,Gravel,Cup,55,1560.48
Papadimitriou ,C1,2,Molon Labe,31/03/2024,Gravel,Cup,1,537.82
Vigopoulos Nik,C2,2,Molon Labe,31/03/2024,Gravel,Cup,2,569.58
Paradissis P. ,C2,2,Molon Labe,31/03/2024,Gravel,Cup,3,570.3
Ismailos Panos,C2,2,Molon Labe,31/03/2024,Gravel,Cup,4,576.04
Tsetsonis Elia,C2,2,Molon Labe,31/03/2024,Gravel,Cup,5,583.21
Tzemos K.  - A,C2,2,Molon Labe,31/03/2024,Gravel,Cup,6,586.16
Stavropoulos D,C2,2,Molon Labe,31/03/2024,Gravel,Cup,7,589.03
Tsoulos Argiri,C2,2,Molon Labe,31/03/2024,Gravel,Cup,8,594.28
Flandy  - Gira,C2,2,Molon Labe,31/03/2024,Gravel,Cup,9,596.41
Stafilopatis M,3,2,Molon Labe,31/03/2024,Gravel,Cup,10,605.54
Christodoulou ,RGT,2,Molon Labe,31/03/2024,Gravel,Cup,11,606.09
Christodoulou ,4,2,Molon Labe,31/03/2024,Gravel,Cup,12,619.53
Delaportas Gio,4,2,Molon Labe,31/03/2024,Gravel,Cup,13,631.03
Edipidis Ioann,C5 F2 E,2,Molon Labe,31/03/2024,Gravel,Cup,14,633.42
Vorrias Ioanni,T1,2,Molon Labe,31/03/2024,Gravel,Cup,15,636.42
Pafitis George,C2,2,Molon Labe,31/03/2024,Gravel,Cup,16,641.33
Davaris Nikos ,C2,2,Molon Labe,31/03/2024,Gravel,Cup,17,642.79
Rigas Giorgos ,C3 F2 E,2,Molon Labe,31/03/2024,Gravel,Cup,18,643.76
Sotiropoulos N,C6 F2 E,2,Molon Labe,31/03/2024,Gravel,Cup,19,644.17
Manetas Giorgo,C4 F2 E,2,Molon Labe,31/03/2024,Gravel,Cup,20,644.43
Paradissis Gio,2,2,Molon Labe,31/03/2024,Gravel,Cup,21,645.77
Palaiokostas D,C4 F2,2,Molon Labe,31/03/2024,Gravel,Cup,22,647.26
Melas D.  - Va,2,2,Molon Labe,31/03/2024,Gravel,Cup,23,648.84
Kokkinos Steli,C6 F2,2,Molon Labe,31/03/2024,Gravel,Cup,24,649.73
Papadopoulos A,C3 F2,2,Molon Labe,31/03/2024,Gravel,Cup,25,650.53
Basdelis Giorg,C6 F2,2,Molon Labe,31/03/2024,Gravel,Cup,26,651.37
Tsalamatas Ioa,3,2,Molon Labe,31/03/2024,Gravel,Cup,27,657.1
Pateas A.  - P,C6 F2,2,Molon Labe,31/03/2024,Gravel,Cup,28,662.95
Basdelis Andre,C3 F2 E,2,Molon Labe,31/03/2024,Gravel,Cup,29,664.22
Paravalos I.  ,4,2,Molon Labe,31/03/2024,Gravel,Cup,30,668.73
Kalaitzian Ioa,4,2,Molon Labe,31/03/2024,Gravel,Cup,31,672.84
Yamalakis Stel,3,2,Molon Labe,31/03/2024,Gravel,Cup,32,674.03
Moustakas Spir,C2,2,Molon Labe,31/03/2024,Gravel,Cup,33,676.06
Bris Panagioti,C3 F2 E,2,Molon Labe,31/03/2024,Gravel,Cup,34,676.21
Michalopoulos ,C6 F2,2,Molon Labe,31/03/2024,Gravel,Cup,35,677.3
Kofinas Konsta,4,2,Molon Labe,31/03/2024,Gravel,Cup,36,682.62
Athanassopoulo,C6 F2,2,Molon Labe,31/03/2024,Gravel,Cup,37,685.52
Kassidopoulos ,4,2,Molon Labe,31/03/2024,Gravel,Cup,38,687.84
Pavli Marialen,C4 F2 E,2,Molon Labe,31/03/2024,Gravel,Cup,39,688.92
Dodos Giorgos ,4,2,Molon Labe,31/03/2024,Gravel,Cup,40,698.13
Giannakopoulos,C5 F2,2,Molon Labe,31/03/2024,Gravel,Cup,41,699.6
Mantas Panagio,C6 F2,2,Molon Labe,31/03/2024,Gravel,Cup,42,702.68
Palapanoglou I,2,2,Molon Labe,31/03/2024,Gravel,Cup,43,707.33
Kalamaras Teo ,3,2,Molon Labe,31/03/2024,Gravel,Cup,44,713.6
Nomikos Ioanni,4,2,Molon Labe,31/03/2024,Gravel,Cup,45,714.08
Votzakis Pavlo,2,2,Molon Labe,31/03/2024,Gravel,Cup,46,714.7
Haidas Panagio,C6 F2,2,Molon Labe,31/03/2024,Gravel,Cup,47,724.42
Zouras E.  - P,C4 F2 E,2,Molon Labe,31/03/2024,Gravel,Cup,48,730.73
Papandreou A. ,3,2,Molon Labe,31/03/2024,Gravel,Cup,49,733.05
Christou Dimit,2,2,Molon Labe,31/03/2024,Gravel,Cup,50,737.03
Tzilavis Savva,2,2,Molon Labe,31/03/2024,Gravel,Cup,51,759.12
Kansos Patrokl,4,2,Molon Labe,31/03/2024,Gravel,Cup,52,780.44
Papadimitriou ,C1,3,Molon Labe,31/03/2024,Gravel,Cup,1,537.25
Paradissis P. ,C2,3,Molon Labe,31/03/2024,Gravel,Cup,2,563.8
Vigopoulos Nik,C2,3,Molon Labe,31/03/2024,Gravel,Cup,3,568.5
Ismailos Panos,C2,3,Molon Labe,31/03/2024,Gravel,Cup,4,577.69
Tzemos K.  - A,C2,3,Molon Labe,31/03/2024,Gravel,Cup,5,586.14
Stavropoulos D,C2,3,Molon Labe,31/03/2024,Gravel,Cup,6,598.24
Flandy  - Gira,C2,3,Molon Labe,31/03/2024,Gravel,Cup,7,599.22
Tsoulos Argiri,C2,3,Molon Labe,31/03/2024,Gravel,Cup,8,603.59
Tsetsonis Elia,C2,3,Molon Labe,31/03/2024,Gravel,Cup,9,605.38
Christodoulou ,RGT,3,Molon Labe,31/03/2024,Gravel,Cup,10,607.84
Stafilopatis M,3,3,Molon Labe,31/03/2024,Gravel,Cup,11,613.63
Christodoulou ,4,3,Molon Labe,31/03/2024,Gravel,Cup,12,625.34
Pafitis George,C2,3,Molon Labe,31/03/2024,Gravel,Cup,13,634.3
Palaiokostas D,C4 F2,3,Molon Labe,31/03/2024,Gravel,Cup,14,638.48
