,Pos.,No,Crew,Gr/Cl,total_time,Diff,Speed,ss,Race,date,surface,competition,cPos,Stages_time,Penalty,Stages_t_s,Stages_t_m,Stages_t_h,Penalty_m,Penalty_s,Diff_1st,Diff_Pre,time,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
0,1.0,#2,Papadimitriou ,C1,10:28.66,0,71.6,1,Olympiako,19-05-2024,Gravel,Greek Championship,1,10:28.66,0,28.66,10.0,0.0,0.0,0.0,0,0,628.66,628.66,628.66,0.0,0.0,0.0,01
1,3.0,#1,Tsolakidis Soc,C1,10:41.45,+12.79 +3.32,70.2 1.02,1,Olympiako,19-05-2024,Gravel,Greek Championship,3,10:41.45,0,41.45,10.0,0.0,0.0,0.0,12.79,+3.32,641.45,628.66,628.66,12.790000000000077,12.790000000000077,2.03448604969301,01
2,7.0,#8,Rendina Max  -,C1,10:52.29,+23.63 +5.40,69.0 1.89,1,Olympiako,19-05-2024,Gravel,Greek Championship,7,10:52.29,0,52.29,10.0,0.0,0.0,0.0,23.63,+5.40,652.29,628.66,628.66,23.629999999999995,23.629999999999995,3.7587885343428877,01
3,8.0,#4,Philippedes Yo,C1,10:54.50 0:05,+25.84 +2.21,69.3 2.07,1,Olympiako,19-05-2024,Gravel,Greek Championship,8,10:54.50,0:05,54.5,10.0,0.0,0.0,5.0,25.84,+2.21,654.5,628.66,628.66,25.840000000000032,25.840000000000032,4.110329908058415,01
4,2.0,#9,Amoutzas G.  -,C2,10:38.13,+9.47 +9.47,70.5 0.76,1,Olympiako,19-05-2024,Gravel,Greek Championship,2,10:38.13,0,38.13,10.0,0.0,0.0,0.0,9.47,+9.47,638.13,638.13,628.66,9.470000000000027,0.0,0.0,01
5,4.0,#5,Karanikolas E.,C2,10:43.02,+14.36 +1.57,70.0 1.15,1,Olympiako,19-05-2024,Gravel,Greek Championship,4,10:43.02,0,43.02,10.0,0.0,0.0,0.0,14.36,+1.57,643.02,638.13,628.66,14.360000000000014,4.889999999999986,0.7663015373043089,01
6,5.0,#6,Panteli Petros,C2,10:45.79,+17.13 +2.77,69.7 1.37,1,Olympiako,19-05-2024,Gravel,Greek Championship,5,10:45.79,0,45.79,10.0,0.0,0.0,0.0,17.13,+2.77,645.79,638.13,628.66,17.129999999999995,7.659999999999968,1.200382367229243,01
7,6.0,#7,Halkias Efthim,C2,10:46.89,+18.23 +1.10,69.6 1.46,1,Olympiako,19-05-2024,Gravel,Greek Championship,6,10:46.89,0,46.89,10.0,0.0,0.0,0.0,18.23,+1.10,646.89,638.13,628.66,18.230000000000018,8.759999999999991,1.3727610361525067,01
8,9.0,#15,Chatzimarkos P,C2,10:55.90,+27.24 +1.40,68.6 2.18,1,Olympiako,19-05-2024,Gravel,Greek Championship,9,10:55.90,0,55.9,10.0,0.0,0.0,0.0,27.24,+1.40,655.9,638.13,628.66,27.24000000000001,17.769999999999982,2.7846990425148452,01
9,10.0,#12,Ismailos Panos,C2,11:01.25,+32.59 +5.35,68.1 2.61,1,Olympiako,19-05-2024,Gravel,Greek Championship,10,11:01.25,0,1.25,11.0,0.0,0.0,0.0,32.59,+5.35,661.25,638.13,628.66,32.59000000000003,23.120000000000005,3.623086205005251,01
10,11.0,#16,Vigopoulos Nik,C2,11:11.69,+43.03 +10.44,67.0 3.44,1,Olympiako,19-05-2024,Gravel,Greek Championship,11,11:11.69,0,11.69,11.0,0.0,0.0,0.0,43.03,+10.44,671.69,638.13,628.66,43.030000000000086,33.56000000000006,5.259116480967837,01
11,12.0,#20,Tzemos K.  - P,C2,11:16.97,+48.31 +5.28,66.5 3.86,1,Olympiako,19-05-2024,Gravel,Greek Championship,12,11:16.97,0,16.97,11.0,0.0,0.0,0.0,48.31,+5.28,676.97,638.13,628.66,48.31000000000006,38.84000000000003,6.086534091799481,01
12,14.0,#11,Flandy  - Gira,C2,11:23.68,+55.02 +4.44,65.8 4.40,1,Olympiako,19-05-2024,Gravel,Greek Championship,14,11:23.68,0,23.68,11.0,0.0,0.0,0.0,55.02,+4.44,683.68,638.13,628.66,55.01999999999998,45.549999999999955,7.1380439722313564,01
13,15.0,#22,Delaportas Gio,C2,11:32.95 0:05,+1:04.29 +9.27,65.4 5.14,1,Olympiako,19-05-2024,Gravel,Greek Championship,15,11:32.95,0:05,32.95,11.0,0.0,0.0,5.0,1:04.29,+9.27,692.95,638.13,628.66,64.29000000000008,54.82000000000005,8.590726027611936,01
14,18.0,#25,Stavropoulos D,C2,11:36.27,+1:07.61 +0.63,64.6 5.41,1,Olympiako,19-05-2024,Gravel,Greek Championship,18,11:36.27,0,36.27,11.0,0.0,0.0,0.0,1:07.61,+0.63,696.27,638.13,628.66,67.61000000000001,58.139999999999986,9.110996191998494,01
15,20.0,#27,Tsetsonis Elia,C2,11:49.36,+1:20.70 +10.70,63.4 6.46,1,Olympiako,19-05-2024,Gravel,Greek Championship,20,11:49.36,0,49.36,11.0,0.0,0.0,0.0,1:20.70,+10.70,709.36,638.13,628.66,80.70000000000005,71.23000000000002,11.162302352185293,01
16,21.0,#28,J.J.  - Stefan,C2,11:52.53,+1:23.87 +3.17,63.2 6.71,1,Olympiako,19-05-2024,Gravel,Greek Championship,21,11:52.53,0,52.53,11.0,0.0,0.0,0.0,1:23.87,+3.17,712.53,638.13,628.66,83.87,74.39999999999998,11.659066334445956,01
17,24.0,#36,Tsoulos Argiri,C2,12:04.16,+1:35.50 +3.46,62.1 7.64,1,Olympiako,19-05-2024,Gravel,Greek Championship,24,12:04.16,0,4.16,12.0,0.0,0.0,0.0,1:35.50,+3.46,724.16,638.13,628.66,95.5,86.02999999999997,13.481578988607332,01
18,25.0,#23,Davaris Nikos ,C2,12:05.61,+1:36.95 +1.45,62.0 7.76,1,Olympiako,19-05-2024,Gravel,Greek Championship,25,12:05.61,0,5.61,12.0,0.0,0.0,0.0,1:36.95,+1.45,725.61,638.13,628.66,96.95000000000005,87.48000000000002,13.708805415824365,01
19,27.0,#30,Lymperis A.  -,C2,12:08.28,+1:39.62 +1.41,61.8 7.97,1,Olympiako,19-05-2024,Gravel,Greek Championship,27,12:08.28,0,8.28,12.0,0.0,0.0,0.0,1:39.62,+1.41,728.28,638.13,628.66,99.62,90.14999999999998,14.127215457665363,01
20,13.0,#10,Polykarpou Pan,C5,11:19.24,+50.58 +2.27,66.3 4.05,1,Olympiako,19-05-2024,Gravel,Greek Championship,13,11:19.24,0,19.24,11.0,0.0,0.0,0.0,50.58,+2.27,679.24,679.24,628.66,50.58000000000004,0.0,0.0,01
21,19.0,#17,Angelopoulos A,C5,11:38.66,+1:10.00 +2.39,64.4 5.60,1,Olympiako,19-05-2024,Gravel,Greek Championship,19,11:38.66,0,38.66,11.0,0.0,0.0,0.0,1:10.00,+2.39,698.66,679.24,628.66,70.0,19.41999999999996,2.8590777928272715,01
22,22.0,#18,Panteli Chryso,C5,11:53.57,+1:24.91 +1.04,63.1 6.79,1,Olympiako,19-05-2024,Gravel,Greek Championship,22,11:53.57,0,53.57,11.0,0.0,0.0,0.0,1:24.91,+1.04,713.57,679.24,628.66,84.91000000000008,34.33000000000004,5.054178199163777,01
23,23.0,#21,Paleokostas Di,C5,12:00.70,+1:32.04 +7.13,62.4 7.36,1,Olympiako,19-05-2024,Gravel,Greek Championship,23,12:00.70,0,0.7,12.0,0.0,0.0,0.0,1:32.04,+7.13,720.7,679.24,628.66,92.04000000000008,41.460000000000036,6.103880807961845,01
24,30.0,#26,Giannakopoulos,C5,12:15.80,+1:47.14 +1.28,61.2 8.57,1,Olympiako,19-05-2024,Gravel,Greek Championship,30,12:15.80,0,15.8,12.0,0.0,0.0,0.0,1:47.14,+1.28,735.8,679.24,628.66,107.13999999999999,56.559999999999945,8.326953654083969,01
25,33.0,#39,Kalamaras Teo ,C5,12:19.76,+1:51.10 +1.87,60.8 8.89,1,Olympiako,19-05-2024,Gravel,Greek Championship,33,12:19.76,0,19.76,12.0,0.0,0.0,0.0,1:51.10,+1.87,739.76,679.24,628.66,111.10000000000002,60.51999999999998,8.909958188563687,01
27,17.0,#24,Dimopoulos Ant,C4,11:35.64 0:05,+1:06.98 +0.28,65.2 5.36,1,Olympiako,19-05-2024,Gravel,Greek Championship,17,11:35.64,0:05,35.64,11.0,0.0,0.0,5.0,1:06.98,+0.28,695.64,695.64,628.66,66.98000000000002,0.0,0.0,01
28,26.0,#37,Manetas Giorgo,C4,12:06.87,+1:38.21 +1.26,61.9 7.86,1,Olympiako,19-05-2024,Gravel,Greek Championship,26,12:06.87,0,6.87,12.0,0.0,0.0,0.0,1:38.21,+1.26,726.87,695.64,628.66,98.21000000000004,31.230000000000018,4.489391064343629,01
29,28.0,#31,Anastassopoulo,C4,12:14.15 0:05,+1:45.49 +5.87,61.7 8.44,1,Olympiako,19-05-2024,Gravel,Greek Championship,28,12:14.15,0:05,14.15,12.0,0.0,0.0,5.0,1:45.49,+5.87,734.15,695.64,628.66,105.49000000000001,38.50999999999999,5.535909378414121,01
30,47.0,#50,Dimakopoulos K,C4,14:12.40,+3:43.74 +29.53,52.8 17.9,1,Olympiako,19-05-2024,Gravel,Greek Championship,47,14:12.40,0,12.4,14.0,0.0,0.0,0.0,3:43.74,+29.53,852.4,695.64,628.66,223.74,156.76,22.534644356276235,01
