Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Papadimitriou ,C1,1,Olympiako,19-05-2024,Gravel,Greek Championship,1,628.66
Amoutzas G.  -,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,2,638.13
Tsolakidis Soc,C1,1,Olympiako,19-05-2024,Gravel,Greek Championship,3,641.45
Karanikolas E.,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,4,643.02
Panteli Petros,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,5,645.79
Halkias Efthim,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,6,646.89
Rendina Max  -,C1,1,Olympiako,19-05-2024,Gravel,Greek Championship,7,649.5
Philippedes Yo,C1,1,Olympiako,19-05-2024,Gravel,Greek Championship,8,651.94
Chatzimarkos P,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,9,652.29
Ismailos Panos,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,10,655.9
Vigopoulos Nik,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,11,661.25
Tzemos K.  - P,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,12,671.69
Polykarpou Pan,C5,1,Olympiako,19-05-2024,Gravel,Greek Championship,13,676.97
Flandy  - Gira,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,14,679.24
Delaportas Gio,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,15,683.68
Christodoulou ,4,1,Olympiako,19-05-2024,Gravel,Greek Championship,16,687.95
Dimopoulos Ant,C4,1,Olympiako,19-05-2024,Gravel,Greek Championship,17,690.64
Stavropoulos D,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,18,695.36
Angelopoulos A,C5,1,Olympiako,19-05-2024,Gravel,Greek Championship,19,696.27
Tsetsonis Elia,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,20,698.66
J.J.  - Stefan,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,21,700.52
Panteli Chryso,C5,1,Olympiako,19-05-2024,Gravel,Greek Championship,22,709.36
Paleokostas Di,C5,1,Olympiako,19-05-2024,Gravel,Greek Championship,23,712.53
Tsoulos Argiri,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,24,713.57
Davaris Nikos ,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,25,720.7
Manetas Giorgo,C4,1,Olympiako,19-05-2024,Gravel,Greek Championship,26,724.16
Lymperis A.  -,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,27,725.61
Anastassopoulo,C4,1,Olympiako,19-05-2024,Gravel,Greek Championship,28,726.87
Papadopoulos A,C3,1,Olympiako,19-05-2024,Gravel,Greek Championship,29,728.28
Giannakopoulos,C5,1,Olympiako,19-05-2024,Gravel,Greek Championship,30,729.15
Michalopoulos ,C6,1,Olympiako,19-05-2024,Gravel,Greek Championship,31,733.06
Rigas Giorgos ,C3,1,Olympiako,19-05-2024,Gravel,Greek Championship,32,734.52
Kalamaras Teo ,C5,1,Olympiako,19-05-2024,Gravel,Greek Championship,33,735.8
Chatzigakis Gi,C3,1,Olympiako,19-05-2024,Gravel,Greek Championship,34,736.06
Kassimis Ioann,C6,1,Olympiako,19-05-2024,Gravel,Greek Championship,35,737.89
Giokaris S.  -,C6,1,Olympiako,19-05-2024,Gravel,Greek Championship,36,739.76
Athanassopoulo,C6,1,Olympiako,19-05-2024,Gravel,Greek Championship,37,741.54
Tsagarakis A. ,C3,1,Olympiako,19-05-2024,Gravel,Greek Championship,38,748.08
Pateas A.  - P,C6,1,Olympiako,19-05-2024,Gravel,Greek Championship,39,753.6
Panoutsos P.  ,C3,1,Olympiako,19-05-2024,Gravel,Greek Championship,40,759.6
Bris Panagioti,C3,1,Olympiako,19-05-2024,Gravel,Greek Championship,41,759.99
Vassilopoulos ,2,1,Olympiako,19-05-2024,Gravel,Greek Championship,42,777.35
Katevas D.  - ,C6,1,Olympiako,19-05-2024,Gravel,Greek Championship,43,777.68
Sotiropoulos N,C6,1,Olympiako,19-05-2024,Gravel,Greek Championship,44,778.35
Mourikis A.  -,C3,1,Olympiako,19-05-2024,Gravel,Greek Championship,45,778.74
Mantas Panagio,C6,1,Olympiako,19-05-2024,Gravel,Greek Championship,46,784.21
