,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
No,Crew,Gr/Cl,,,,,,,,,,,,,,,,,
#11,Neuville Thierry  - Wydaeghe M. Hyundai i20 N Rally1,RC1 M,12:21.2,14:06.8,9:18.3,10:03.2,10:27.7,9:09.0,9:49.6,10:29.2,12:12.5,11:29.3,12:40.0,11:28.5,11:35.4,12:47.8,10:31.8,11:10.2,9:50.4
#13,Munster Grégoire  - Louka Louis Ford Puma Rally1,RC1 M,12:43.3,14:35.6,10:19.9,10:08.0,10:39.2,9:28.9,10:10.4,10:50.7,12:26.7,11:33.4,12:49.8,-,-,-,11:01.0,11:31.0,10:09.8
#13,Munster Grégoire  - Louka Louis Ford Puma Rally1  [SR],RC1 M,-,-,-,-,-,-,-,-,-,-,-,21:23.0 [N],21:32.4 [N],22:47.8 [N],-,-,-
#16,Fourmaux Adrien  - Coria Alexandre Ford Puma Rally1,RC1 M,12:29.1,14:22.8,9:40.8,10:01.7,10:22.6,9:23.5,10:04.9,10:41.5,12:39.6,11:35.6,12:51.1,11:40.6,11:51.1,13:07.6,10:48.2,11:27.4,9:59.7
#17,Ogier Sébastien  - Landais V. Toyota GR Yaris Rally1,RC1 M,12:22.7,14:11.8,9:24.9,9:53.2,10:10.8,9:10.6,9:53.1,10:26.3,12:31.3,11:27.2,12:42.6,11:23.0,11:32.4,12:51.9,10:36.5,11:15.7,9:53.0
#18,Katsuta Takamoto  - Johnston Aaron Toyota GR Yaris Rally1,RC1 M,12:37.2,14:22.0,14:42.8,10:03.4,10:31.9,9:19.8,10:04.3,10:43.8,12:30.6,11:29.5,12:41.2,11:36.9,11:49.4,12:59.7,11:09.0,11:24.7,9:53.2
#20,Rossel Yohan  - Dunand Arnaud Citroën C3 Rally2,RC2,13:04.5,15:04.8,10:04.2,10:25.5,10:46.8,9:46.7,10:31.4,11:10.1,12:58.8,12:10.1,13:19.5,12:02.9,12:08.5,13:27.3,11:06.7,11:39.1,10:13.8
#21,Gryazin Nikolay  - Aleksandrov K. Citroën C3 Rally2,RC2,13:08.9,14:54.7,10:03.5,10:26.1,10:47.8,9:46.1,10:34.9,11:05.8,12:52.3,12:06.4,13:21.3,12:07.3,12:11.3,13:27.8,11:10.6,11:47.7,10:23.6
#22,Solberg Oliver  - Edmondson E. Škoda Fabia RS Rally2,RC2,13:12.5,15:19.7,9:59.5,10:25.6,11:03.3,9:45.9,10:27.4,11:02.6,12:53.6,12:37.2,-,-,-,-,11:23.2,11:55.2,10:20.7
