Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#33,Evans Elfyn  - Martin Scott Toyota GR Yaris Rally1,RC1 M,12:12.9,,103.2,1
2,#8,Tänak Ott  - Järveoja Martin Hyundai i20 N Rally1,RC1 M,12:18.1,+5.2 +  5.2,102.5 0.25,1
3,#11,Neuville Thierry  - Wydaeghe M. Hyundai i20 N Rally1,RC1 M,12:21.2,+8.3 +  3.1,102.0 0.40,1
4,#17,Ogier Sébastien  - Landais V. Toyota GR Yaris Rally1,RC1 M,12:22.7,+9.8 +  1.5,101.8 0.47,1
5,#16,Fourmaux Adrien  - Coria Alexandre Ford Puma Rally1,RC1 M,12:29.1,+16.2 +  6.4,101.0 0.77,1
6,#18,Katsuta Takamoto  - Johnston Aaron Toyota GR Yaris Rally1,RC1 M,12:37.2,+24.3 +  8.1,99.9 1.16,1
7,#13,Munster Grégoire  - Louka Louis Ford Puma Rally1,RC1 M,12:43.3,+30.4 +  6.1,99.1 1.45,1
8,#9,Mikkelsen Andreas  - Eriksen T. Hyundai i20 N Rally1,RC1 M,12:45.8,+32.9 +  2.5,98.8 1.57,1
9,#25,López Pepe  - Vázquez Liste D. Škoda Fabia RS Rally2,RC2,12:55.3,+42.4 +  9.5,97.6 2.02,1
10,#20,Rossel Yohan  - Dunand Arnaud Citroën C3 Rally2,RC2,13:04.5,+51.6 +  9.2,96.4 2.46,1
11,#23,Pajari Sami  - Mälkönen Enni Toyota GR Yaris Rally2,RC2,13:05.8,+52.9 +  1.3,96.3 2.52,1
12,#21,Gryazin Nikolay  - Aleksandrov K. Citroën C3 Rally2,RC2,13:08.9,+56.0 +  3.1,95.9 2.67,1
13,#22,Solberg Oliver  - Edmondson E. Škoda Fabia RS Rally2,RC2,13:12.5,+59.6 +  3.6,95.4 2.84,1
14,#26,Ingram Chris  - McKillop Hannah Škoda Fabia RS Rally2,RC2,13:13.4,+1:00.5 +  0.9,95.3 2.88,1
15,#27,Lefebvre Stéphane  - Malfoy Andy Toyota GR Yaris Rally2,RC2,13:17.9,+1:05.0 +  4.5,94.8 3.09,1
16,#24,Ciamin Nicolas  - Roche Yannick Hyundai i20 N Rally2,RC2,13:19.0,+1:06.1 +  1.1,94.7 3.15,1
17,#29,Solans J.  - Sanjuan de Eusebio R. Toyota GR Yaris Rally2,RC2,13:24.7,+1:11.8 +  5.7,94.0 3.42,1
