,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
24,Kassimis Ioann,C6 ,1,Stereas Elladas,14-04-2024,Gravel,Greek Championship,19,1206.13,1206.13,1020.0,186.1300000000001,0.0,0.0,01
25,Kotsadam Nikol,C6 ,1,Stereas Elladas,14-04-2024,Gravel,Greek Championship,20,1212.34,1206.13,1020.0,192.33999999999992,6.209999999999809,0.5148698730650766,01
26,Giokaris S.  -,C6 ,1,Stereas Elladas,14-04-2024,Gravel,Greek Championship,21,1218.19,1206.13,1020.0,198.19000000000005,12.059999999999945,0.9998922172568416,01
27,Panagiotopoulo,C6 ,1,Stereas Elladas,14-04-2024,Gravel,Greek Championship,24,1236.27,1206.13,1020.0,216.26999999999998,30.139999999999873,2.4989014451178457,01
28,Rahoutis Fanis,C6 ,1,Stereas Elladas,14-04-2024,Gravel,Greek Championship,30,1337.11,1206.13,1020.0,317.1099999999999,130.9799999999998,10.85952592174971,01
56,Giokaris S.  -,C6 ,2,Stereas Elladas,14-04-2024,Gravel,Greek Championship,16,606.69,606.69,524.16,82.53000000000009,0.0,0.0,02
57,Kotsadam Nikol,C6 ,2,Stereas Elladas,14-04-2024,Gravel,Greek Championship,21,623.48,606.69,524.16,99.32000000000005,16.789999999999964,2.7674759761987113,02
58,Kassimis Ioann,C6 ,2,Stereas Elladas,14-04-2024,Gravel,Greek Championship,22,624.45,606.69,524.16,100.29000000000008,17.75999999999999,2.927359936705729,02
59,Panagiotopoulo,C6 ,2,Stereas Elladas,14-04-2024,Gravel,Greek Championship,24,647.05,606.69,524.16,122.88999999999999,40.3599999999999,6.652491387693862,02
60,Rahoutis Fanis,C6 ,2,Stereas Elladas,14-04-2024,Gravel,Greek Championship,28,702.05,606.69,524.16,177.89,95.3599999999999,15.71807677726679,02
78,Kassimis Ioann,C6 ,3,Stereas Elladas,14-04-2024,Gravel,Greek Championship,14,1177.26,1177.26,992.52,184.74,0.0,0.0,03
79,Giokaris S.  -,C6 ,3,Stereas Elladas,14-04-2024,Gravel,Greek Championship,16,1186.97,1177.26,992.52,194.45000000000005,9.710000000000036,0.8247965615072317,03
80,Kotsadam Nikol,C6 ,3,Stereas Elladas,14-04-2024,Gravel,Greek Championship,18,1210.02,1177.26,992.52,217.5,32.75999999999999,2.7827327863003917,03
81,Panagiotopoulo,C6 ,3,Stereas Elladas,14-04-2024,Gravel,Greek Championship,19,1232.53,1177.26,992.52,240.01,55.26999999999998,4.69479978934135,03
82,Rahoutis Fanis,C6 ,3,Stereas Elladas,14-04-2024,Gravel,Greek Championship,22,1324.46,1177.26,992.52,331.94000000000005,147.20000000000005,12.503610077637909,03
104,Giokaris S.  -,C6 ,4,Stereas Elladas,14-04-2024,Gravel,Greek Championship,13,605.19,605.19,519.56,85.63000000000011,0.0,0.0,04
105,Kassimis Ioann,C6 ,4,Stereas Elladas,14-04-2024,Gravel,Greek Championship,16,621.05,605.19,519.56,101.49000000000001,15.8599999999999,2.62066458467587,04
106,Kotsadam Nikol,C6 ,4,Stereas Elladas,14-04-2024,Gravel,Greek Championship,18,630.38,605.19,519.56,110.82000000000005,25.18999999999994,4.1623291858755,04
107,Panagiotopoulo,C6 ,4,Stereas Elladas,14-04-2024,Gravel,Greek Championship,20,653.51,605.19,519.56,133.95000000000005,48.319999999999936,7.984269402997395,04
108,Rahoutis Fanis,C6 ,4,Stereas Elladas,14-04-2024,Gravel,Greek Championship,24,723.9,605.19,519.56,204.34000000000003,118.70999999999992,19.615327417835708,04
131,Giokaris S.  -,C6 ,5,Stereas Elladas,14-04-2024,Gravel,Greek Championship,13,785.72,785.72,663.31,122.41000000000008,0.0,0.0,05
132,Kassimis Ioann,C6 ,5,Stereas Elladas,14-04-2024,Gravel,Greek Championship,14,787.21,785.72,663.31,123.90000000000009,1.490000000000009,0.18963498447284133,05
133,Panagiotopoulo,C6 ,5,Stereas Elladas,14-04-2024,Gravel,Greek Championship,18,823.85,785.72,663.31,160.54000000000008,38.129999999999995,4.8528737972814735,05
134,Kotsadam Nikol,C6 ,5,Stereas Elladas,14-04-2024,Gravel,Greek Championship,19,825.07,785.72,663.31,161.7600000000001,39.35000000000002,5.008145395306219,05
135,Rahoutis Fanis,C6 ,5,Stereas Elladas,14-04-2024,Gravel,Greek Championship,22,877.21,785.72,663.31,213.9000000000001,91.49000000000001,11.644097133839027,05
