Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Heikkilä Mikko,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,1,555.0
Battistolli A.,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,2,558.2
Tempestini Sim,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,3,560.9
Zaldivar F.  -,der 25,1,dOrcia,6-7/04/2024,Gravel,Italy,4,561.2
Scandola Umber,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,5,561.9
Ciuffi Tommaso,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,6,562.4
Tali Nicola  -,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,7,572.0
Quilichini J. ,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,8,572.9
Hoelbling Luca,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,9,573.1
Oldrati Enrico,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,10,573.7
Nore Ola jnr. ,der 25,1,dOrcia,6-7/04/2024,Gravel,Italy,11,575.5
Costenaro Giac,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,12,588.3
Marrone Fabriz,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,13,591.8
Ciaramitaro S.,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,14,591.9
Grossi A.  - C,der 25,1,dOrcia,6-7/04/2024,Gravel,Italy,15,596.6
László Martin ,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,16,597.1
Venturini H.  ,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,17,597.4
Dati Emanuele ,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,18,597.8
Gianesini Marc,ver 55,1,dOrcia,6-7/04/2024,Gravel,Italy,19,598.0
Vagnini Jader ,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,20,599.5
Bizzarri Stefa,ver 55,1,dOrcia,6-7/04/2024,Gravel,Italy,21,600.4
Cazzaro Andrea,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,22,600.8
Taddei Alessan,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,23,602.5
Cobbe Luciano ,ver 55,1,dOrcia,6-7/04/2024,Gravel,Italy,24,603.1
Zorzi Alessand,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,25,604.4
Callegaro Fabi,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,26,605.2
Squarcialupi M,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,27,607.0
Epis Filippo  ,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,28,607.7
Tiramani Chris,der 25,1,dOrcia,6-7/04/2024,Gravel,Italy,29,610.8
Roncoroni Marc,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,30,612.9
Romagna Simone,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,31,613.2
Marchioro Nico,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,32,614.3
Negri Alessand,N5,1,dOrcia,6-7/04/2024,Gravel,Italy,33,615.6
Cuzma Bogdan  ,Rally2,1,dOrcia,6-7/04/2024,Gravel,Italy,34,624.1
Cazzaro Nicola,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,35,624.3
Farina Fabio  ,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,36,624.9
Prosenc Borut ,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,37,625.6
Bartolini Davi,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,38,627.9
Rigo Riccardo ,N5,1,dOrcia,6-7/04/2024,Gravel,Italy,39,628.8
Fontana Matteo,der 25,1,dOrcia,6-7/04/2024,Gravel,Italy,40,629.7
