Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:12:12.9,103.20 0.00,00:00:00.0 00:00:00.0,1
2,8,Tänak  Ott  /  Järveoja  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:12:18.1,102.47 0.25,00:00:05.2 00:00:05.2,1
3,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:12:21.2,102.05 0.40,00:00:08.3 00:00:03.1,1
4,17,Ogier  S.  /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1,00:12:22.7,101.84 0.47,00:00:09.8 00:00:01.5,1
5,16,Fourmaux  Adrien  /  Coria  Alexandre  Ford Puma Rally1 Hybrid,RC1,00:12:29.1,100.97 0.77,00:00:16.2 00:00:06.4,1
6,18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:12:37.2,99.89 1.16,00:00:24.3 00:00:08.1,1
7,13,Munster  G.  /  Louka  Louis  Ford Puma Rally1 Hybrid,RC1,00:12:43.3,99.09 1.45,00:00:30.4 00:00:06.1,1
8,9,Mikkelsen  A.  /  Eriksen  T.  Hyundai i20 N Rally1 Hybrid,RC1,00:12:45.8,98.77 1.57,00:00:32.9 00:00:02.5,1
9,25,López  J.  /  Vázquez  David  Škoda Fabia RS Rally2,RC2,00:12:55.3,97.56 2.02,00:00:42.4 00:00:09.5,1
10,20,Rossel  Yohan  /  Dunand  Arnaud  Citroën C3 Rally2,RC2,00:13:04.5,96.41 2.46,00:00:51.6 00:00:09.2,1
11,23,Pajari  Sami  /  Mälkönen  Enni  Toyota GR Yaris Rally2,RC2,00:13:05.8,96.25 2.52,00:00:52.9 00:00:01.3,1
12,21,Gryazin  Nikolay  /  Aleksandrov  K.  Citroën C3 Rally2,RC2,00:13:08.9,95.88 2.67,00:00:56.0 00:00:03.1,1
13,22,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia RS Rally2,RC2,00:13:12.5,95.44 2.84,00:00:59.6 00:00:03.6,1
14,26,Ingram  Chris  /  McKillop  Hannah  Škoda Fabia RS Rally2,RC2,00:13:13.4,95.33 2.88,00:01:00.5 00:00:00.9,1
15,27,Lefebvre  S.  /  Malfoy  Andy  Toyota GR Yaris Rally2,RC2,00:13:17.9,94.79 3.09,00:01:05.0 00:00:04.5,1
16,24,Ciamin  Nicolas  /  Roche  Yannick  Hyundai i20 N Rally2,RC2,00:13:19.0,94.66 3.15,00:01:06.1 00:00:01.1,1
17,29,Solans  Jan  /  Sanjuán  R.  Toyota GR Yaris Rally2,RC2,00:13:24.7,93.99 3.42,00:01:11.8 00:00:05.7,1
18,34,Daprà  Roberto  /  Guglielmetti  L.  Škoda Fabia Rally2 Evo,RC2,00:13:42.2,91.99 4.25,00:01:29.3 00:00:17.5,1
19,53,Berfa  Jordan  /  Thomas  Chloé  Hyundai i20 R5,RC2,00:13:53.5,90.75 4.79,00:01:40.6 00:00:11.3,1
20,28,Bouffier  Bryan  /  Vauclare  F.  Toyota GR Yaris Rally2,RC2,00:13:56.0,90.47 4.91,00:01:43.1 00:00:02.5,1
21,57,Chatillon  M.  /  Cornuau  Maxence  Renault Clio Rally3,RC3,00:14:12.0,88.77 5.67,00:01:59.1 00:00:16.0,1
22,35,Burri  Olivier  /  Levratti  A.  Škoda Fabia Rally2 Evo,RC2,00:14:21.8,87.77 6.14,00:02:08.9 00:00:09.8,1
23,47,Rossi  Ghjuvanni  /  Sarmezan  Kylian  Renault Clio Rally3,RC3,00:14:35.1,86.43 6.77,00:02:22.2 00:00:13.3,1
24,55,Lafay  Pierre  /  Aubeuf  Benjamin  Renault Clio Rally3,RC3,00:14:36.6,86.28 6.84,00:02:23.7 00:00:01.5,1
25,46,Černý  Jan  /  Krajča  Ondřej  Ford Fiesta Rally3,RC3,00:14:41.2,85.83 7.06,00:02:28.3 00:00:04.6,1
26,63,Fontana  Matteo  /  Arnaboldi  A.  Peugeot 208 Rally4,RC4,00:14:42.9,85.67 7.14,00:02:30.0 00:00:01.7,1
27,51,Ressegaire  N.  /  Pellegrin  E.  Volkswagen Polo Gti R5,RC2,00:14:49.3,85.05 7.44,00:02:36.4 00:00:06.4,1
28,32,Miele  Mauro  /  Beltrame  Luca  Škoda Fabia RS Rally2,RC2,00:14:51.3,84.86 7.54,00:02:38.4 00:00:02.0,1
29,52,Cartier  Victor  /  Deliot  Manon  Toyota Yaris R4,RC2,00:14:51.9,84.80 7.57,00:02:39.0 00:00:00.6,1
30,50,Prat  Jérémy  /  Deslauriers  J.  Ford Fiesta R5,RC2,00:14:52.2,84.77 7.58,00:02:39.3 00:00:00.3,1
31,54,Oberti  Damien  /  Gastinel  J.  Renault Clio Rally3,RC3,00:14:52.4,84.76 7.59,00:02:39.5 00:00:00.2,1
32,39,"Boland  Eamonn  /  ""MJ""  ..  Ford Fiesta Rally2 MkII",RC2,00:14:56.1,84.41 7.77,00:02:43.2 00:00:03.7,1
