,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
40,Prosenc Borut ,Rally4,1,Foligno,10/03/2024,Gravel,Italy,26,605.6,605.6,528.1,77.5,0.0,0.0,01
41,Farina Fabio  ,Rally4,1,Foligno,10/03/2024,Gravel,Italy,29,618.4,605.6,528.1,90.29999999999995,12.799999999999955,2.1136063408190147,01
42,Marrone Stefan,Rally4,1,Foligno,10/03/2024,Gravel,Italy,31,626.3,605.6,528.1,98.19999999999993,20.699999999999932,3.4180977542932514,01
43,Marchioro Nico,Rally4,1,Foligno,10/03/2024,Gravel,Italy,34,628.2,605.6,528.1,100.10000000000002,22.600000000000023,3.73183619550859,01
44,Diserò Luca  -,Rally4,1,Foligno,10/03/2024,Gravel,Italy,38,635.8,605.6,528.1,107.69999999999993,30.199999999999932,4.98678996036987,01
45,Bartolini Davi,Rally4,1,Foligno,10/03/2024,Gravel,Italy,39,638.4,605.6,528.1,110.29999999999995,32.799999999999955,5.416116248348738,01
46,Solitro Fabio ,Rally4,1,Foligno,10/03/2024,Gravel,Italy,40,639.1,605.6,528.1,111.0,33.5,5.531704095112286,01
47,Cazzaro Nicola,Rally4,1,Foligno,10/03/2024,Gravel,Italy,43,641.1,605.6,528.1,113.0,35.5,5.861955085865257,01
48,Ricciardi Fran,Rally4,1,Foligno,10/03/2024,Gravel,Italy,46,644.8,605.6,528.1,116.69999999999993,39.19999999999993,6.472919418758245,01
49,Biondi Sergio ,Rally4,1,Foligno,10/03/2024,Gravel,Italy,48,662.2,605.6,528.1,134.10000000000002,56.60000000000002,9.346103038309119,01
50,Sotiropoulos N,Rally4,1,Foligno,10/03/2024,Gravel,Italy,49,668.9,605.6,528.1,140.79999999999995,63.299999999999955,10.452443857331565,01
51,Vargiu Giacomo,Rally4,1,Foligno,10/03/2024,Gravel,Italy,50,669.8,605.6,528.1,141.69999999999993,64.19999999999993,10.601056803170398,01
