,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
37,Kokkinos Steli,C6 ,1,Molon-Lave,31/03/2021,Gravel,Greek Cup,26,655.81,655.81,549.65,106.15999999999997,0.0,0.0,01
38,Sotiropoulos N,C6 ,1,Molon-Lave,31/03/2021,Gravel,Greek Cup,28,657.42,655.81,549.65,107.76999999999998,1.6100000000000136,0.24549793385279484,01
39,Basdelis Giorg,C6 ,1,Molon-Lave,31/03/2021,Gravel,Greek Cup,29,660.77,655.81,549.65,111.12,4.960000000000036,0.7563166160930813,01
40,Pateas A.  - P,C6 ,1,Molon-Lave,31/03/2021,Gravel,Greek Cup,30,662.58,655.81,549.65,112.93000000000006,6.7700000000000955,1.0323111876915716,01
41,Michalopoulos ,C6 ,1,Molon-Lave,31/03/2021,Gravel,Greek Cup,34,681.38,655.81,549.65,131.73000000000002,25.57000000000005,3.8989951357862873,01
42,Athanassopoulo,C6 ,1,Molon-Lave,31/03/2021,Gravel,Greek Cup,38,695.52,655.81,549.65,145.87,39.710000000000036,6.055107424406465,01
43,Mantas Panagio,C6 ,1,Molon-Lave,31/03/2021,Gravel,Greek Cup,41,707.65,655.81,549.65,158.0,51.84000000000003,7.904728503682475,01
44,Haidas Panagio,C6 ,1,Molon-Lave,31/03/2021,Gravel,Greek Cup,46,740.92,655.81,549.65,191.26999999999998,85.11000000000001,12.97784419267776,01
86,Sotiropoulos N,C6 ,2,Molon-Lave,31/03/2021,Gravel,Greek Cup,19,644.17,644.17,537.82,106.34999999999991,0.0,0.0,02
87,Kokkinos Steli,C6 ,2,Molon-Lave,31/03/2021,Gravel,Greek Cup,24,649.73,644.17,537.82,111.90999999999997,5.560000000000059,0.8631261933961625,02
88,Basdelis Giorg,C6 ,2,Molon-Lave,31/03/2021,Gravel,Greek Cup,26,651.37,644.17,537.82,113.54999999999995,7.2000000000000455,1.117717372743227,02
89,Pateas A.  - P,C6 ,2,Molon-Lave,31/03/2021,Gravel,Greek Cup,28,662.95,644.17,537.82,125.13,18.780000000000086,2.915379480571912,02
90,Michalopoulos ,C6 ,2,Molon-Lave,31/03/2021,Gravel,Greek Cup,35,677.3,644.17,537.82,139.4799999999999,33.129999999999995,5.1430522998587325,02
91,Athanassopoulo,C6 ,2,Molon-Lave,31/03/2021,Gravel,Greek Cup,37,685.52,644.17,537.82,147.69999999999993,41.35000000000002,6.419112967073913,02
92,Mantas Panagio,C6 ,2,Molon-Lave,31/03/2021,Gravel,Greek Cup,42,702.68,644.17,537.82,164.8599999999999,58.50999999999999,9.083006038778581,02
93,Haidas Panagio,C6 ,2,Molon-Lave,31/03/2021,Gravel,Greek Cup,47,724.42,644.17,537.82,186.5999999999999,80.25,12.45789155036714,02
140,Sotiropoulos N,C6 ,3,Molon-Lave,31/03/2021,Gravel,Greek Cup,21,658.95,658.95,537.25,121.70000000000005,0.0,0.0,03
141,Kokkinos Steli,C6 ,3,Molon-Lave,31/03/2021,Gravel,Greek Cup,23,665.43,658.95,537.25,128.17999999999995,6.4799999999999045,0.9833826542226124,03
142,Athanassopoulo,C6 ,3,Molon-Lave,31/03/2021,Gravel,Greek Cup,27,692.03,658.95,537.25,154.77999999999997,33.07999999999993,5.0201077471735225,03
143,Michalopoulos ,C6 ,3,Molon-Lave,31/03/2021,Gravel,Greek Cup,28,696.61,658.95,537.25,159.36,37.65999999999997,5.715152894756805,03
144,Mantas Panagio,C6 ,3,Molon-Lave,31/03/2021,Gravel,Greek Cup,35,720.92,658.95,537.25,183.66999999999996,61.969999999999914,9.404355413916065,03
145,Haidas Panagio,C6 ,3,Molon-Lave,31/03/2021,Gravel,Greek Cup,36,723.0,658.95,537.25,185.75,64.04999999999995,9.720009105394938,03
