,,,ss_time,ss_time,ss_time
ss,,,1,2,3
Crew,Gr/Cl,Race,,,
Anastassopoulo,C4/,Molon-Lave,10:56.57,-,-
Athanassopoulo,C6 ,Molon-Lave,11:35.52,11:25.52,11:32.03
Basdelis Andre,C3 ,Molon-Lave,10:55.28,11:04.22,-
Basdelis Giorg,C6 ,Molon-Lave,11:00.77,10:51.37,-
Bris Panagioti,C3 ,Molon-Lave,11:27.37,11:16.21,11:20.00
Christodoulou ,4 2,Molon-Lave,10:25.49,10:19.53,10:25.34
Christodoulou ,RGT,Molon-Lave,10:18.72,10:06.09,10:07.84
Christou Dimit,2 1,Molon-Lave,12:28.14,12:17.03,12:23.60
Davaris Nikos ,C2,Molon-Lave,10:48.55,10:42.79,10:55.88
Delaportas Gio,4 2,Molon-Lave,10:44.93,10:31.03,10:53.91
Dodos Giorgos ,4 1,Molon-Lave,12:06.70,11:38.13,11:39.53
Edipidis Ioann,C4/,Molon-Lave,10:47.94,10:33.42,-
Flandy  - Gira,C2,Molon-Lave,10:03.09,9:56.41,9:59.22
Giannakopoulos,C4/,Molon-Lave,10:49.75,11:39.60,-
Haidas Panagio,C6 ,Molon-Lave,12:20.92,12:04.42,12:03.00
Ismailos Panos,C2,Molon-Lave,9:55.42,9:36.04,9:37.69
Kalaitzian Ioa,4 2,Molon-Lave,12:41.95,11:12.84,-
Kalamaras Teo ,3 -,Molon-Lave,12:27.22,11:53.60,11:42.85
Kansos Patrokl,4 2,Molon-Lave,22:04.95,13:00.44,13:43.22
Kassidopoulos ,4 1,Molon-Lave,11:36.77,11:27.84,11:37.31
Kofinas Konsta,4 1,Molon-Lave,11:24.35,11:22.62,11:48.51
Kokkinos Steli,C6 ,Molon-Lave,10:55.81,10:49.73,11:05.43
Manetas Giorgo,C4/,Molon-Lave,10:49.62,10:44.43,11:11.59
Mantas Panagio,C6 ,Molon-Lave,11:47.65,11:42.68,12:00.92
Mastrogiannis ,4 -,Molon-Lave,26:00.48,-,-
Melas D.  - Va,2 2,Molon-Lave,10:54.95,10:48.84,10:43.87
Michalopoulos ,C6 ,Molon-Lave,11:21.38,11:17.30,11:36.61
Moustakas Spir,C2,Molon-Lave,12:42.85,11:16.06,-
Nomikos Ioanni,4 -,Molon-Lave,12:21.11,11:54.08,12:23.70
Pafitis George,C2,Molon-Lave,10:19.16,10:41.33,10:34.30
Palapanoglou I,2 1,Molon-Lave,12:38.54,11:47.33,12:28.16
Paleokostas Di,C4/,Molon-Lave,10:48.59,10:47.26,10:38.48
Papadimitriou ,C1,Molon-Lave,9:09.65,8:57.82,8:57.25
Papadopoulos A,C3 ,Molon-Lave,11:06.37,10:50.53,10:57.02
Papandreou A. ,3 -,Molon-Lave,11:52.72,12:13.05,12:46.76
Paradissis Gio,2 2,Molon-Lave,10:41.86,10:45.77,10:50.87
Paradissis P. ,C2,Molon-Lave,9:30.66,9:30.30,9:23.80
Paravalos I.  ,4 1,Molon-Lave,11:11.01,11:08.73,10:55.13
Pateas A.  - P,C6 ,Molon-Lave,11:02.58,11:02.95,-
Pavli Marialen,C4/,Molon-Lave,11:58.29,11:28.92,11:54.87
Rigas Giorgos ,C3 ,Molon-Lave,10:52.30,10:43.76,11:06.10
Sotiropoulos N,C6 ,Molon-Lave,10:57.42,10:44.17,10:58.95
Stafilopatis M,3 2,Molon-Lave,10:02.15,10:05.54,10:13.63
Stavropoulos D,C2,Molon-Lave,10:11.81,9:49.03,9:58.24
Tsalamatas Ioa,3 2,Molon-Lave,10:49.88,10:57.10,11:00.47
Tsetsonis Elia,C2,Molon-Lave,9:52.25,9:43.21,10:05.38
Tsoulos Argiri,C2,Molon-Lave,9:59.75,9:54.28,10:03.59
Tzemos K.  - A,C2,Molon-Lave,9:48.64,9:46.16,9:46.14
Tzilavis Savva,2 2,Molon-Lave,12:50.54,12:39.12,12:27.36
Vassilopoulos ,2 2,Molon-Lave,11:24.74,-,-
Vigopoulos Nik,C2,Molon-Lave,9:34.15,9:29.58,9:28.50
Vorrias Ioanni,T1,Molon-Lave,10:38.82,10:36.42,-
Votzakis Pavlo,2 2,Molon-Lave,11:42.06,11:54.70,12:59.45
Yamalakis Stel,3 2,Molon-Lave,11:19.75,11:14.03,11:43.91
Zouras E.  - P,C4/,Molon-Lave,12:05.69,12:10.73,24:23.34
