,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
46,Marchioro Nico,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,32,614.3,614.3,555.0,59.299999999999955,0.0,0.0,01
47,Cazzaro Nicola,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,35,624.3,614.3,555.0,69.29999999999995,10.0,1.6278691193228068,01
48,Farina Fabio  ,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,36,624.9,614.3,555.0,69.89999999999998,10.600000000000023,1.7255412664821785,01
49,Prosenc Borut ,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,37,625.6,614.3,555.0,70.60000000000002,11.300000000000068,1.8394921048347823,01
50,Bartolini Davi,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,38,627.9,614.3,555.0,72.89999999999998,13.600000000000023,2.2139020022790206,01
51,Diserò Luca  -,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,41,635.6,614.3,555.0,80.60000000000002,21.300000000000068,3.467361224157589,01
52,Marrone Stefan,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,42,636.6,614.3,555.0,81.60000000000002,22.300000000000068,3.6301481360898697,01
53,Barone Jr.  - ,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,43,638.4,614.3,555.0,83.39999999999998,24.100000000000023,3.9231645775679675,01
54,Solitro Fabio ,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,48,651.0,614.3,555.0,96.0,36.700000000000045,5.974279667914708,01
55,Pierulivo Leon,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,50,655.2,614.3,555.0,100.20000000000005,40.90000000000009,6.657984698030293,01
56,Leuratti Giorg,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,51,656.8,614.3,555.0,101.79999999999995,42.5,6.918443757121928,01
57,Biondi S.  - S,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,54,667.1,614.3,555.0,112.10000000000002,52.80000000000007,8.595148950024429,01
58,Sotiropoulos N,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,55,677.3,614.3,555.0,122.29999999999995,63.0,10.255575451733682,01
59,Mobilia Pompil,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,63,741.0,614.3,555.0,186.0,126.70000000000005,20.625101741819968,01
60,Cocco Giovanni,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,76,,614.3,555.0,,,,01
130,Marchioro Nico,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,32,607.0,607.0,543.9,63.10000000000002,0.0,0.0,02
131,Farina Fabio  ,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,33,607.7,607.0,543.9,63.80000000000007,0.7000000000000455,0.11532125205931557,02
132,Prosenc Borut ,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,35,609.6,607.0,543.9,65.70000000000005,2.6000000000000227,0.42833607907743376,02
133,Cazzaro Nicola,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,36,614.3,607.0,543.9,70.39999999999998,7.2999999999999545,1.2026359143327767,02
134,Bartolini Davi,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,38,626.2,607.0,543.9,82.30000000000007,19.200000000000045,3.163097199341029,02
135,Barone Jr.  - ,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,40,630.2,607.0,543.9,86.30000000000007,23.200000000000045,3.822075782537075,02
136,Marrone Stefan,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,41,631.2,607.0,543.9,87.30000000000007,24.200000000000045,3.986820428336087,02
137,Diserò Luca  -,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,44,642.9,607.0,543.9,99.0,35.89999999999998,5.91433278418451,02
138,Leuratti Giorg,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,45,644.6,607.0,543.9,100.70000000000005,37.60000000000002,6.194398682042837,02
139,Pierulivo Leon,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,48,657.7,607.0,543.9,113.80000000000007,50.700000000000045,8.352553542009893,02
140,Solitro Fabio ,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,50,662.3,607.0,543.9,118.39999999999998,55.299999999999955,9.110378912685329,02
141,Sotiropoulos N,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,52,678.1,607.0,543.9,134.20000000000005,71.10000000000002,11.713344316309723,02
142,Mobilia Pompil,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,59,726.1,607.0,543.9,182.20000000000005,119.10000000000002,19.621087314662276,02
143,Cocco Giovanni,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,75,,607.0,543.9,,,,02
209,Marchioro Nico,Rally4,3,dOrcia,6-7/04/2024,Gravel,Italy,34,329.0,329.0,301.2,27.80000000000001,0.0,0.0,03
210,Prosenc Borut ,Rally4,3,dOrcia,6-7/04/2024,Gravel,Italy,35,330.0,329.0,301.2,28.80000000000001,1.0,0.303951367781155,03
211,Barone Jr.  - ,Rally4,3,dOrcia,6-7/04/2024,Gravel,Italy,38,334.1,329.0,301.2,32.900000000000034,5.100000000000023,1.5501519756838975,03
212,Farina Fabio  ,Rally4,3,dOrcia,6-7/04/2024,Gravel,Italy,40,339.7,329.0,301.2,38.5,10.699999999999989,3.2522796352583554,03
