0,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
No.,Driver / Co-driver Vehicle,Group,,,,,,,,,,,,,,,,,
8,Tänak  Ott  /  Järveoja  M.  Hyundai i20 N Rally1 Hybrid,RC1,2.0,4.0,7.0,3.0,4.0,4.0,4.0,4.0,6.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,5.0
9,Mikkelsen  A.  /  Eriksen  T.  Hyundai i20 N Rally1 Hybrid,RC1,8.0,8.0,5.0,8.0,8.0,6.0,7.0,8.0,12.0,6.0,7.0,5.0,6.0,5.0,11.0,8.0,6.0
11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,3.0,2.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
13,Munster  G.  /  Louka  Louis  Ford Puma Rally1 Hybrid,RC1,7.0,7.0,12.0,7.0,7.0,8.0,8.0,7.0,3.0,5.0,6.0,61.0,60.0,57.0,6.0,7.0,8.0
16,Fourmaux  Adrien  /  Coria  Alexandre  Ford Puma Rally1 Hybrid,RC1,5.0,6.0,4.0,4.0,3.0,7.0,6.0,5.0,7.0,7.0,8.0,7.0,7.0,7.0,5.0,6.0,7.0
17,Ogier  S.  /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1,4.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,4.0,1.0,1.0,2.0,2.0,4.0,2.0
18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,6.0,5.0,61.0,6.0,6.0,5.0,5.0,6.0,4.0,3.0,3.0,3.0,5.0,4.0,9.0,5.0,3.0
20,Rossel  Yohan  /  Dunand  Arnaud  Citroën C3 Rally2,RC2,10.0,11.0,9.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,9.0,9.0,8.0,8.0,7.0,9.0,9.0
21,Gryazin  Nikolay  /  Aleksandrov  K.  Citroën C3 Rally2,RC2,12.0,10.0,8.0,12.0,11.0,10.0,12.0,10.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0,11.0,12.0
22,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia RS Rally2,RC2,13.0,15.0,6.0,11.0,12.0,9.0,9.0,9.0,10.0,15.0,65.0,62.0,61.0,59.0,12.0,12.0,11.0
23,Pajari  Sami  /  Mälkönen  Enni  Toyota GR Yaris Rally2,RC2,11.0,12.0,14.0,14.0,15.0,15.0,13.0,14.0,14.0,16.0,10.0,14.0,13.0,11.0,15.0,13.0,15.0
