0,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
No.,Driver / Co-driver Vehicle,Group,,,,,,,,,,,,,,,,,
8,Tänak  Ott  /  Järveoja  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:12:18.1,00:14:17.6,00:10:00.2,00:09:55.0,00:10:22.8,00:09:14.6,00:09:56.1,00:10:38.1,00:12:32.6,00:11:30.3,00:12:40.0,00:11:36.9,00:11:45.2,00:12:57.9,00:10:36.9,00:11:12.9,00:09:55.5
9,Mikkelsen  A.  /  Eriksen  T.  Hyundai i20 N Rally1 Hybrid,RC1,00:12:45.8,00:14:35.9,00:09:45.6,00:10:12.9,00:10:41.1,00:09:22.9,00:10:09.8,00:10:53.8,00:12:59.2,00:11:33.8,00:12:50.1,00:11:38.2,00:11:49.5,00:13:01.1,00:11:15.1,00:11:34.7,00:09:56.0
11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:12:21.2,00:14:06.8,00:09:18.3,00:10:03.2,00:10:27.7,00:09:09.0,00:09:49.6,00:10:29.2,00:12:12.5,00:11:29.3,00:12:40.0,00:11:28.5,00:11:35.4,00:12:47.8,00:10:31.8,00:11:10.2,00:09:50.4
13,Munster  G.  /  Louka  Louis  Ford Puma Rally1 Hybrid,RC1,00:12:43.3,00:14:35.6,00:10:19.9,00:10:08.0,00:10:39.2,00:09:28.9,00:10:10.4,00:10:50.7,00:12:26.7,00:11:33.4,00:12:49.8,00:21:23.0,00:21:32.4,00:22:47.8,00:11:01.0,00:11:31.0,00:10:09.8
16,Fourmaux  Adrien  /  Coria  Alexandre  Ford Puma Rally1 Hybrid,RC1,00:12:29.1,00:14:22.8,00:09:40.8,00:10:01.7,00:10:22.6,00:09:23.5,00:10:04.9,00:10:41.5,00:12:39.6,00:11:35.6,00:12:51.1,00:11:40.6,00:11:51.1,00:13:07.6,00:10:48.2,00:11:27.4,00:09:59.7
17,Ogier  S.  /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1,00:12:22.7,00:14:11.8,00:09:24.9,00:09:53.2,00:10:10.8,00:09:10.6,00:09:53.1,00:10:26.3,00:12:31.3,00:11:27.2,00:12:42.6,00:11:23.0,00:11:32.4,00:12:51.9,00:10:36.5,00:11:15.7,00:09:53.0
18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:12:37.2,00:14:22.0,00:14:42.8,00:10:03.4,00:10:31.9,00:09:19.8,00:10:04.3,00:10:43.8,00:12:30.6,00:11:29.5,00:12:41.2,00:11:36.9,00:11:49.4,00:12:59.7,00:11:09.0,00:11:24.7,00:09:53.2
20,Rossel  Yohan  /  Dunand  Arnaud  Citroën C3 Rally2,RC2,00:13:04.5,00:15:04.8,00:10:04.2,00:10:25.5,00:10:46.8,00:09:46.7,00:10:31.4,00:11:10.1,00:12:58.8,00:12:10.1,00:13:19.5,00:12:02.9,00:12:08.5,00:13:27.3,00:11:06.7,00:11:39.1,00:10:13.8
