,Crew,ss,Group,Group_Pos
1,Ogier  S. / ,1,RC1,1
2,Tänak  Ott /,1,RC1,2
3,Fourmaux  Ad,1,RC1,3
4,Katsuta  T. ,1,RC1,4
5,Sordo  Dani ,1,RC1,5
6,Neuville  T.,1,RC1,6
7,Rossel  Yoha,1,RC2,1
8,Munster  G. ,1,RC1,7
9,Pajari  Sami,1,RC2,2
10,Gryazin  Nik,1,RC2,3
11,Joona  Lauri,1,RC2,4
12,Kajetanowicz,1,RC2,5
13,Linnamäe  Ge,1,RC2,6
14,Greensmith  ,1,RC2,7
15,Zaldivar  F.,1,RC2,8
16,Virves  Robe,1,RC2,9
17,McErlean  Jo,1,RC2,10
18,Daprà  Rober,1,RC2,11
19,Türkkan  Ali,1,RC3,1
20,Maior  Norbe,1,RC3,2
21,Villanueva  ,1,RC2,12
22,Roustemis  P,1,RC2,13
23,Kremer  Armi,1,RC2,14
24,Dominguez  D,1,RC3,3
25,Gill  Taylor,1,RC3,4
26,Jürgenson  R,1,RC3,5
27,Blach  Rober,1,RC2,15
28,Schwarz  Fab,1,RC3,6
29,Smart  Max /,1,RC3,7
30,Fontana  Mat,1,RC3,8
31,Al-Wahaibi  ,1,RC2,16
32,Borodin  Pet,1,RC3,9
33,Karanikolas ,1,RC3,10
34,Rensonnet  T,1,RC3,11
35,Panteli  Pet,1,RC3,12
36,Granados  Mi,1,RC2,17
37,Soylu  Uğur ,1,RC2,18
38,Velanis  V. ,1,RC2,19
39,Chatzimarkos,1,RC3,13
40,Laskowski  H,1,RC3,14
41,Halkias  E. ,1,RC3,15
42,Brazzoli  En,1,RC2,20
43,Cărăgui  Eug,1,RC2,21
44,Caparó  José,1,RC3,16
45,Peralta  J. ,1,RC2,22
46,Pavlidis  N.,1,RC2,23
47,Vassilakis  ,1,RC2,24
48,Martínez  Jo,1,RC2,25
49,Dolofan  C. ,1,RC2,26
50,Stefanis  Ma,1,RC3,17
51,Theocharopou,1,RC3,18
52,Çetinkaya  B,1,RC2,27
53,Bruun  Natan,1,RC3,19
54,Plagos  Ioan,1,RC4,1
55,Lefkaditis  ,1,RC4,2
56,Šekuljica  S,1,RC3,20
57,Kalamaras  T,1,RC4,3
58,Kehagias  G.,1,RC2,28
59,Martinez  An,1,RC3,21
60,Parellis  D.,1,RC5,1
61,Delaportas  ,1,RC3,22
62,Papageorgiou,1,RC4,4
63,Georgakopoul,1,RC2,29
64,Campagnoli  ,1,RC3,23
65,Serderidis  ,1,RC1,8
66,Evans  Elfyn,1,RC1,9
67,Solans  Jan ,1,RC2,30
68,Loubet  P. /,1,RC2,31
69,Athanassoula,1,RC2,32
70,Amoutzas  G.,1,RC2,33
1,Tänak  Ott /,2,RC1,1
2,Katsuta  T. ,2,RC1,2
3,Ogier  S. / ,2,RC1,3
4,Fourmaux  Ad,2,RC1,4
5,Sordo  Dani ,2,RC1,5
6,Neuville  T.,2,RC1,6
7,Rossel  Yoha,2,RC2,1
8,Munster  G. ,2,RC1,7
9,Pajari  Sami,2,RC2,2
10,Gryazin  Nik,2,RC2,3
11,Joona  Lauri,2,RC2,4
12,Greensmith  ,2,RC2,5
13,Kajetanowicz,2,RC2,6
14,Zaldivar  F.,2,RC2,7
15,Linnamäe  Ge,2,RC2,8
16,Virves  Robe,2,RC2,9
17,McErlean  Jo,2,RC2,10
18,Daprà  Rober,2,RC2,11
19,Türkkan  Ali,2,RC3,1
20,Maior  Norbe,2,RC3,2
21,Villanueva  ,2,RC2,12
22,Roustemis  P,2,RC2,13
23,Dominguez  D,2,RC3,3
24,Gill  Taylor,2,RC3,4
25,Jürgenson  R,2,RC3,5
26,Blach  Rober,2,RC2,14
27,Schwarz  Fab,2,RC3,6
28,Kremer  Armi,2,RC2,15
29,Smart  Max /,2,RC3,7
30,Fontana  Mat,2,RC3,8
31,Al-Wahaibi  ,2,RC2,16
32,Borodin  Pet,2,RC3,9
33,Karanikolas ,2,RC3,10
34,Rensonnet  T,2,RC3,11
35,Panteli  Pet,2,RC3,12
36,Granados  Mi,2,RC2,17
37,Soylu  Uğur ,2,RC2,18
38,Velanis  V. ,2,RC2,19
39,Chatzimarkos,2,RC3,13
40,Laskowski  H,2,RC3,14
41,Halkias  E. ,2,RC3,15
42,Serderidis  ,2,RC1,8
43,Brazzoli  En,2,RC2,20
44,Cărăgui  Eug,2,RC2,21
45,Caparó  José,2,RC3,16
46,Peralta  J. ,2,RC2,22
47,Pavlidis  N.,2,RC2,23
48,Vassilakis  ,2,RC2,24
49,Martínez  Jo,2,RC2,25
50,Dolofan  C. ,2,RC2,26
51,Stefanis  Ma,2,RC3,17
52,Theocharopou,2,RC3,18
53,Çetinkaya  B,2,RC2,27
54,Bruun  Natan,2,RC3,19
55,Plagos  Ioan,2,RC4,1
56,Lefkaditis  ,2,RC4,2
57,Šekuljica  S,2,RC3,20
58,Kalamaras  T,2,RC4,3
59,Evans  Elfyn,2,RC1,9
60,Kehagias  G.,2,RC2,28
61,Martinez  An,2,RC3,21
62,Solans  Jan ,2,RC2,29
63,Parellis  D.,2,RC5,1
64,Delaportas  ,2,RC3,22
65,Papageorgiou,2,RC4,4
66,Georgakopoul,2,RC2,30
67,Loubet  P. /,2,RC2,31
68,Athanassoula,2,RC2,32
69,Amoutzas  G.,2,RC2,33
70,Campagnoli  ,2,RC3,23
1,Ogier  S. / ,3,RC1,1
2,Fourmaux  Ad,3,RC1,2
3,Tänak  Ott /,3,RC1,3
4,Sordo  Dani ,3,RC1,4
5,Neuville  T.,3,RC1,5
6,Rossel  Yoha,3,RC2,1
7,Munster  G. ,3,RC1,6
8,Pajari  Sami,3,RC2,2
9,Greensmith  ,3,RC2,3
10,Joona  Lauri,3,RC2,4
11,Virves  Robe,3,RC2,5
12,Gryazin  Nik,3,RC2,6
13,Zaldivar  F.,3,RC2,7
14,Kajetanowicz,3,RC2,8
15,McErlean  Jo,3,RC2,9
16,Daprà  Rober,3,RC2,10
17,Villanueva  ,3,RC2,11
18,Roustemis  P,3,RC2,12
19,Maior  Norbe,3,RC3,1
20,Jürgenson  R,3,RC3,2
21,Dominguez  D,3,RC3,3
22,Gill  Taylor,3,RC3,4
23,Kremer  Armi,3,RC2,13
24,Schwarz  Fab,3,RC3,5
25,Blach  Rober,3,RC2,14
26,Al-Wahaibi  ,3,RC2,15
27,Rensonnet  T,3,RC3,6
28,Fontana  Mat,3,RC3,7
29,Linnamäe  Ge,3,RC2,16
30,Borodin  Pet,3,RC3,8
31,Karanikolas ,3,RC3,9
32,Velanis  V. ,3,RC2,17
33,Türkkan  Ali,3,RC3,10
34,Panteli  Pet,3,RC3,11
35,Granados  Mi,3,RC2,18
36,Soylu  Uğur ,3,RC2,19
37,Serderidis  ,3,RC1,7
38,Laskowski  H,3,RC3,12
39,Chatzimarkos,3,RC3,13
40,Halkias  E. ,3,RC3,14
41,Caparó  José,3,RC3,15
42,Pavlidis  N.,3,RC2,20
43,Peralta  J. ,3,RC2,21
44,Dolofan  C. ,3,RC2,22
45,Cărăgui  Eug,3,RC2,23
46,Brazzoli  En,3,RC2,24
47,Bruun  Natan,3,RC3,16
48,Çetinkaya  B,3,RC2,25
49,Theocharopou,3,RC3,17
50,Martínez  Jo,3,RC2,26
51,Smart  Max /,3,RC3,18
52,Vassilakis  ,3,RC2,27
53,Stefanis  Ma,3,RC3,19
54,Solans  Jan ,3,RC2,28
55,Plagos  Ioan,3,RC4,1
56,Kehagias  G.,3,RC2,29
57,Lefkaditis  ,3,RC4,2
58,Evans  Elfyn,3,RC1,8
59,Martinez  An,3,RC3,20
60,Kalamaras  T,3,RC4,3
61,Katsuta  T. ,3,RC1,9
62,Šekuljica  S,3,RC3,21
63,Parellis  D.,3,RC5,1
64,Papageorgiou,3,RC4,4
65,Delaportas  ,3,RC3,22
66,Georgakopoul,3,RC2,30
67,Loubet  P. /,3,RC2,31
68,Athanassoula,3,RC2,32
69,Amoutzas  G.,3,RC2,33
70,Campagnoli  ,3,RC3,23
1,Ogier  S. / ,4,RC1,1
2,Tänak  Ott /,4,RC1,2
3,Sordo  Dani ,4,RC1,3
4,Neuville  T.,4,RC1,4
5,Rossel  Yoha,4,RC2,1
6,Munster  G. ,4,RC1,5
7,Pajari  Sami,4,RC2,2
8,Greensmith  ,4,RC2,3
9,Virves  Robe,4,RC2,4
10,Gryazin  Nik,4,RC2,5
11,Zaldivar  F.,4,RC2,6
12,Kajetanowicz,4,RC2,7
13,Joona  Lauri,4,RC2,8
14,McErlean  Jo,4,RC2,9
15,Daprà  Rober,4,RC2,10
16,Villanueva  ,4,RC2,11
17,Linnamäe  Ge,4,RC2,12
18,Roustemis  P,4,RC2,13
19,Kremer  Armi,4,RC2,14
20,Jürgenson  R,4,RC3,1
21,Maior  Norbe,4,RC3,2
22,Dominguez  D,4,RC3,3
23,Al-Wahaibi  ,4,RC2,15
24,Gill  Taylor,4,RC3,4
25,Blach  Rober,4,RC2,16
26,Fontana  Mat,4,RC3,5
27,Rensonnet  T,4,RC3,6
28,Türkkan  Ali,4,RC3,7
29,Serderidis  ,4,RC1,6
30,Schwarz  Fab,4,RC3,8
31,Velanis  V. ,4,RC2,17
32,Borodin  Pet,4,RC3,9
33,Soylu  Uğur ,4,RC2,18
34,Karanikolas ,4,RC3,10
35,Granados  Mi,4,RC2,19
36,Laskowski  H,4,RC3,11
37,Panteli  Pet,4,RC3,12
38,Solans  Jan ,4,RC2,20
39,Halkias  E. ,4,RC3,13
40,Bruun  Natan,4,RC3,14
41,Caparó  José,4,RC3,15
42,Evans  Elfyn,4,RC1,7
43,Brazzoli  En,4,RC2,21
44,Dolofan  C. ,4,RC2,22
45,Cărăgui  Eug,4,RC2,23
46,Çetinkaya  B,4,RC2,24
47,Fourmaux  Ad,4,RC1,8
48,Peralta  J. ,4,RC2,25
