,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Crew,Group,,,,,,,,,,,,,,,
Al-Wahaibi  ,RC2,31.0,31.0,26.0,23.0,41.0,41.0,37.0,34.0,34.0,34.0,53.0,,,,
Amoutzas  G.,RC2,70.0,69.0,69.0,67.0,67.0,65.0,63.0,62.0,61.0,60.0,58.0,52.0,,,
Athanassoula,RC2,69.0,68.0,68.0,,,,,,,,,,,,
Blach  Rober,RC2,27.0,26.0,25.0,25.0,27.0,29.0,27.0,27.0,25.0,24.0,21.0,20.0,19.0,,
Borodin  Pet,RC3,32.0,32.0,30.0,32.0,26.0,25.0,26.0,26.0,24.0,23.0,24.0,22.0,22.0,,
Brazzoli  En,RC2,42.0,43.0,46.0,43.0,39.0,40.0,52.0,54.0,56.0,57.0,56.0,53.0,51.0,49.0,46.0
Bruun  Natan,RC3,53.0,54.0,47.0,40.0,34.0,33.0,32.0,31.0,30.0,29.0,25.0,33.0,32.0,29.0,27.0
Campagnoli  ,RC3,64.0,70.0,70.0,68.0,68.0,66.0,64.0,64.0,64.0,64.0,64.0,,,,
Caparó  José,RC3,44.0,45.0,41.0,41.0,37.0,37.0,35.0,35.0,36.0,35.0,29.0,27.0,27.0,24.0,23.0
Chatzimarkos,RC3,39.0,39.0,39.0,59.0,54.0,47.0,45.0,41.0,39.0,39.0,37.0,34.0,33.0,31.0,32.0
Cărăgui  Eug,RC2,43.0,44.0,45.0,45.0,61.0,61.0,57.0,58.0,58.0,58.0,59.0,55.0,54.0,52.0,50.0
Daprà  Rober,RC2,18.0,18.0,16.0,15.0,14.0,13.0,13.0,14.0,12.0,12.0,11.0,11.0,11.0,12.0,10.0
Delaportas  ,RC3,61.0,64.0,65.0,65.0,65.0,,,,,,,,,,
Dolofan  C. ,RC2,49.0,50.0,44.0,44.0,40.0,39.0,42.0,40.0,38.0,47.0,49.0,48.0,47.0,45.0,42.0
Dominguez  D,RC3,24.0,23.0,21.0,22.0,44.0,36.0,34.0,33.0,32.0,31.0,48.0,44.0,40.0,38.0,38.0
Evans  Elfyn,RC1,66.0,59.0,58.0,42.0,30.0,20.0,15.0,15.0,13.0,13.0,14.0,25.0,24.0,20.0,18.0
Fontana  Mat,RC3,30.0,30.0,28.0,26.0,21.0,21.0,21.0,22.0,20.0,19.0,19.0,18.0,17.0,16.0,15.0
Fourmaux  Ad,RC1,3.0,4.0,2.0,47.0,60.0,58.0,54.0,50.0,44.0,42.0,33.0,30.0,28.0,23.0,21.0
Georgakopoul,RC2,63.0,66.0,66.0,66.0,66.0,,,,,,,,,,
Gill  Taylor,RC3,25.0,24.0,22.0,24.0,20.0,24.0,23.0,23.0,23.0,22.0,40.0,39.0,35.0,34.0,34.0
Granados  Mi,RC2,36.0,36.0,35.0,35.0,31.0,30.0,29.0,28.0,27.0,27.0,23.0,21.0,21.0,21.0,20.0
Greensmith  ,RC2,14.0,12.0,9.0,8.0,8.0,34.0,,,,,,,,,
Gryazin  Nik,RC2,10.0,10.0,12.0,10.0,13.0,10.0,11.0,11.0,59.0,59.0,60.0,56.0,53.0,51.0,48.0
Halkias  E. ,RC3,41.0,41.0,40.0,39.0,36.0,38.0,36.0,38.0,37.0,37.0,30.0,29.0,30.0,28.0,28.0
Joona  Lauri,RC2,11.0,11.0,10.0,13.0,46.0,55.0,51.0,46.0,40.0,38.0,32.0,28.0,26.0,25.0,26.0
Jürgenson  R,RC3,26.0,25.0,20.0,20.0,18.0,18.0,18.0,17.0,16.0,16.0,20.0,19.0,20.0,19.0,19.0
Kajetanowicz,RC2,12.0,13.0,14.0,12.0,11.0,8.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0
Kalamaras  T,RC4,57.0,58.0,60.0,61.0,59.0,56.0,56.0,55.0,53.0,52.0,51.0,47.0,46.0,44.0,41.0
Karanikolas ,RC3,33.0,33.0,31.0,34.0,29.0,32.0,31.0,30.0,29.0,28.0,35.0,43.0,41.0,39.0,37.0
Katsuta  T. ,RC1,4.0,2.0,61.0,63.0,63.0,63.0,60.0,57.0,52.0,50.0,45.0,40.0,38.0,33.0,30.0
Kehagias  G.,RC2,58.0,60.0,56.0,53.0,49.0,44.0,39.0,36.0,33.0,33.0,36.0,,,,
Kremer  Armi,RC2,23.0,28.0,23.0,19.0,17.0,15.0,16.0,18.0,18.0,17.0,16.0,15.0,15.0,15.0,13.0
Laskowski  H,RC3,40.0,40.0,38.0,36.0,32.0,27.0,28.0,44.0,50.0,54.0,54.0,51.0,49.0,47.0,45.0
Lefkaditis  ,RC4,55.0,56.0,57.0,54.0,53.0,53.0,53.0,56.0,54.0,53.0,50.0,46.0,45.0,43.0,40.0
Linnamäe  Ge,RC2,13.0,15.0,29.0,17.0,15.0,14.0,14.0,13.0,11.0,11.0,9.0,9.0,9.0,10.0,44.0
Loubet  P. /,RC2,68.0,67.0,67.0,,,,,,,,,,,,
Maior  Norbe,RC3,20.0,20.0,19.0,21.0,19.0,17.0,19.0,19.0,17.0,18.0,17.0,16.0,16.0,17.0,17.0
Martinez  An,RC3,59.0,61.0,59.0,57.0,52.0,48.0,46.0,51.0,55.0,56.0,57.0,54.0,52.0,50.0,47.0
