,,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time
ss,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Crew,Group,,,,,,,,,,,,,,,
Al-Wahaibi  ,RC2,00:17:39.1,00:36:10.5,00:55:01.7,01:12:55.2,01:35:54.5,01:55:48.9,02:16:56.9,02:33:25.0,02:54:08.6,03:04:11.3,03:55:49.7,,,,
Amoutzas  G.,RC2,00:26:54.4,00:54:03.3,01:21:38.2,01:48:23.6,02:15:13.2,02:42:31.7,03:02:55.5,03:19:15.3,03:39:08.3,03:49:01.3,04:08:58.5,04:10:52.5,,,
Athanassoula,RC2,00:26:54.4,00:54:03.3,01:21:38.2,,,,,,,,,,,,
Blach  Rober,RC2,00:17:39.1,00:36:01.7,00:55:00.7,01:13:03.6,01:32:12.0,01:51:47.2,02:11:45.1,02:28:01.0,02:48:13.2,02:58:19.9,03:19:24.1,03:21:18.1,03:36:31.1,,
Borodin  Pet,RC3,00:17:39.1,00:36:13.8,00:55:20.9,01:13:50.6,01:32:08.5,01:51:09.8,02:11:13.1,02:27:40.3,02:47:52.7,02:57:54.0,03:20:27.8,03:22:30.8,03:38:16.4,,
Brazzoli  En,RC2,00:17:39.1,00:36:46.8,00:57:06.8,01:16:21.2,01:35:26.2,01:55:37.7,02:24:20.0,02:49:41.3,03:18:26.1,03:37:45.2,04:06:09.7,04:17:58.2,04:34:01.8,04:49:03.7,05:03:27.1
Bruun  Natan,RC3,00:17:39.1,00:37:39.5,00:57:15.6,01:15:38.6,01:34:04.9,01:53:16.3,02:13:35.0,02:30:19.2,02:50:40.6,03:00:49.3,03:21:30.7,03:33:26.9,03:48:53.7,04:02:15.7,04:15:21.5
Campagnoli  ,RC3,00:17:39.1,01:17:11.7,01:46:18.1,02:14:23.6,02:42:29.1,03:11:23.7,03:37:17.4,03:57:36.7,04:23:04.0,04:43:06.2,05:13:29.9,,,,
Caparó  José,RC3,00:17:39.1,00:36:49.3,00:56:48.2,01:15:52.0,01:34:48.9,01:55:03.0,02:16:30.6,02:33:25.5,02:54:39.4,03:05:01.8,03:26:40.8,03:29:26.0,03:44:52.9,03:58:47.6,04:12:23.0
Chatzimarkos,RC3,00:17:39.1,00:36:31.6,00:55:51.7,01:20:23.5,01:39:21.3,01:58:55.0,02:20:03.2,02:36:55.2,02:57:45.9,03:08:10.3,03:33:58.5,03:35:59.8,03:52:22.2,04:06:11.4,04:19:55.9
Cărăgui  Eug,RC2,00:17:39.1,00:36:48.5,00:57:06.0,01:16:33.0,01:45:41.4,02:14:52.8,02:36:31.6,02:54:20.9,03:24:18.3,03:44:07.0,04:15:11.2,04:27:05.2,04:43:25.4,04:57:54.9,05:11:58.8
Daprà  Rober,RC2,00:17:39.1,00:35:23.7,00:53:37.6,01:10:49.2,01:28:09.0,01:46:01.3,02:05:16.1,02:21:07.0,02:40:23.4,02:50:00.0,03:09:02.9,03:10:51.9,03:25:46.4,03:38:53.6,03:51:49.1
Delaportas  ,RC3,00:17:39.1,00:42:04.0,01:11:11.7,01:39:51.6,02:08:14.1,,,,,,,,,,
Dolofan  C. ,RC2,00:17:39.1,00:37:23.1,00:57:05.8,01:16:22.0,01:35:33.3,01:55:30.7,02:17:56.8,02:35:33.6,02:57:14.3,03:16:33.4,03:44:57.9,03:56:46.4,04:13:20.2,04:27:43.1,04:41:42.1
Dominguez  D,RC3,00:17:39.1,00:35:55.4,00:54:35.0,01:12:50.5,01:36:26.4,01:54:51.4,02:14:51.6,02:31:25.2,02:51:37.6,03:02:31.7,03:41:47.1,03:44:08.5,03:59:13.7,04:12:13.5,04:27:06.1
Evans  Elfyn,RC1,00:18:42.8,00:38:46.9,00:59:26.0,01:15:52.4,01:32:29.7,01:50:12.4,02:08:25.2,02:23:31.9,02:41:52.0,02:51:10.4,03:14:06.5,03:25:51.1,03:40:14.0,03:51:55.1,04:02:49.7
Fontana  Mat,RC3,00:17:39.1,00:36:06.7,00:55:13.1,01:13:18.6,01:31:24.1,01:50:18.7,02:10:22.5,02:26:49.9,02:47:02.9,02:57:05.1,03:17:28.8,03:19:25.4,03:34:39.2,03:47:47.7,04:01:14.2
Fourmaux  Ad,RC1,00:16:34.0,00:33:23.4,00:50:34.6,01:16:45.6,01:43:12.8,02:10:09.7,02:28:28.1,02:43:38.3,03:01:59.5,03:11:16.8,03:29:21.2,03:31:11.8,03:45:33.5,03:57:17.1,04:08:00.9
Georgakopoul,RC2,00:17:39.1,00:45:45.0,01:14:10.1,01:42:05.5,02:11:13.9,,,,,,,,,,
Gill  Taylor,RC3,00:17:39.1,00:35:55.4,00:54:50.5,01:13:01.1,01:31:09.4,01:50:48.9,02:10:47.2,02:27:07.0,02:47:29.9,02:57:43.4,03:35:52.8,03:39:33.2,03:55:09.7,04:08:30.2,04:24:33.2
Granados  Mi,RC2,00:17:39.1,00:36:21.6,00:55:40.0,01:14:13.3,01:32:39.4,01:51:52.1,02:12:17.9,02:28:58.7,02:49:34.9,02:59:46.5,03:20:06.4,03:22:04.9,03:37:57.5,03:52:16.9,04:05:49.4
Greensmith  ,RC2,00:17:16.6,00:34:28.9,00:52:12.2,01:09:02.9,01:26:06.3,01:53:24.8,,,,,,,,,
