Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,17,Ogier  S.  /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1,00:16:33.2,81.45 0.00,00:00:00.0 00:00:00.0,1
2,8,Tänak  Ott  /  Järveoja  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:16:33.8,81.40 0.03,00:00:00.6 00:00:00.6,1
3,16,Fourmaux  Adrien  /  Coria  Alexandre  Ford Puma Rally1 Hybrid,RC1,00:16:34.0,81.38 0.04,00:00:00.8 00:00:00.2,1
4,18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:16:35.9,81.23 0.12,00:00:02.7 00:00:01.9,1
5,6,Sordo  Dani  /  Carrera  C.  Hyundai i20 N Rally1 Hybrid,RC1,00:16:42.5,80.69 0.41,00:00:09.3 00:00:06.6,1
6,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:16:43.5,80.61 0.46,00:00:10.3 00:00:01.0,1
7,21,Rossel  Yohan  /  Barral  Florian  Citroën C3 Rally2,RC2,00:16:54.4,79.74 0.94,00:00:21.2 00:00:10.9,1
8,13,Munster  G.  /  Louka  Louis  Ford Puma Rally1 Hybrid,RC1,00:16:54.8,79.71 0.96,00:00:21.6 00:00:00.4,1
9,20,Pajari  Sami  /  Mälkönen  Enni  Toyota GR Yaris Rally2,RC2,00:17:02.0,79.15 1.28,00:00:28.8 00:00:07.2,1
10,23,Gryazin  Nikolay  /  Aleksandrov  K.  Citroën C3 Rally2,RC2,00:17:07.7,78.71 1.54,00:00:34.5 00:00:05.7,1
11,22,Joona  Lauri  /  Mannisenmäki  V.  Škoda Fabia RS Rally2,RC2,00:17:11.1,78.45 1.69,00:00:37.9 00:00:03.4,1
12,29,Kajetanowicz  K.  /  Szczepaniak  M.  Škoda Fabia RS Rally2,RC2,00:17:12.7,78.33 1.76,00:00:39.5 00:00:01.6,1
13,25,Linnamäe  Georg  /  Morgan  James  Toyota GR Yaris Rally2,RC2,00:17:15.6,78.11 1.89,00:00:42.4 00:00:02.9,1
