0,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
No.,Driver / Co-driver Vehicle,Group,,,,,,,,,,,,,,,
6,Sordo  Dani  /  Carrera  C.  Hyundai i20 N Rally1 Hybrid,RC1,5.0,5.0,3.0,3.0,2.0,2.0,3.0,2.0,15.0,4.0,6.0,3.0,8.0,7.0,6.0
8,Tänak  Ott  /  Järveoja  M.  Hyundai i20 N Rally1 Hybrid,RC1,2.0,2.0,4.0,2.0,1.0,3.0,50.0,5.0,2.0,1.0,2.0,5.0,3.0,2.0,2.0
11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,6.0,6.0,5.0,5.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,6.0,4.0
13,Munster  G.  /  Louka  Louis  Ford Puma Rally1 Hybrid,RC1,8.0,8.0,7.0,4.0,3.0,30.0,5.0,6.0,55.0,53.0,46.0,,,,
16,Fourmaux  Adrien  /  Coria  Alexandre  Ford Puma Rally1 Hybrid,RC1,3.0,4.0,2.0,63.0,60.0,56.0,6.0,7.0,5.0,5.0,5.0,15.0,4.0,5.0,1.0
17,Ogier  S.  /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1,1.0,3.0,1.0,1.0,6.0,29.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,51.0
18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,4.0,1.0,64.0,63.0,60.0,56.0,7.0,8.0,6.0,20.0,4.0,4.0,6.0,4.0,5.0
19,Serderidis  J.  /  Miclotte  F.  Ford Puma Rally1 Hybrid,RC1,65.0,32.0,30.0,21.0,25.0,19.0,29.0,33.0,22.0,31.0,15.0,17.0,29.0,34.0,14.0
20,Pajari  Sami  /  Mälkönen  Enni  Toyota GR Yaris Rally2,RC2,9.0,12.0,8.0,13.0,10.0,5.0,9.0,13.0,7.0,9.0,8.0,10.0,10.0,11.0,10.0
21,Rossel  Yohan  /  Barral  Florian  Citroën C3 Rally2,RC2,7.0,7.0,6.0,7.0,7.0,32.0,8.0,9.0,8.0,7.0,7.0,7.0,11.0,8.0,8.0
22,Joona  Lauri  /  Mannisenmäki  V.  Škoda Fabia RS Rally2,RC2,11.0,10.0,13.0,18.0,62.0,58.0,18.0,11.0,9.0,8.0,23.0,13.0,9.0,48.0,43.0
23,Gryazin  Nikolay  /  Aleksandrov  K.  Citroën C3 Rally2,RC2,10.0,13.0,15.0,11.0,16.0,9.0,14.0,14.0,64.0,54.0,47.0,46.0,7.0,27.0,13.0
24,Solans  Jan  /  Sanjuán  R.  Toyota GR Yaris Rally2,RC2,67.0,16.0,21.0,12.0,38.0,7.0,11.0,16.0,12.0,11.0,11.0,11.0,15.0,13.0,41.0
25,Linnamäe  Georg  /  Morgan  James  Toyota GR Yaris Rally2,RC2,13.0,17.0,53.0,9.0,9.0,6.0,11.0,10.0,10.0,10.0,9.0,15.0,14.0,23.0,52.0
26,McErlean  Joshua  /  Fulton  James  Škoda Fabia RS Rally2,RC2,17.0,18.0,14.0,16.0,12.0,11.0,15.0,17.0,17.0,15.0,25.0,12.0,16.0,12.0,9.0
27,Greensmith  Gus  /  Andersson  Jonas  Škoda Fabia RS Rally2,RC2,14.0,9.0,8.0,10.0,11.0,58.0,,,,,,,,,
28,Virves  Robert  /  Lesk  Aleks  Škoda Fabia RS Rally2,RC2,16.0,15.0,10.0,8.0,8.0,4.0,9.0,11.0,14.0,14.0,10.0,9.0,13.0,9.0,7.0
29,Kajetanowicz  K.  /  Szczepaniak  M.  Škoda Fabia RS Rally2,RC2,12.0,14.0,11.0,14.0,14.0,8.0,16.0,15.0,11.0,12.0,12.0,6.0,17.0,15.0,12.0
30,Zaldivar  F.  /  Der Ohannesian  M.  Škoda Fabia RS Rally2,RC2,15.0,11.0,12.0,15.0,13.0,13.0,13.0,18.0,13.0,13.0,28.0,13.0,12.0,10.0,11.0
32,Daprà  Roberto  /  Guglielmetti  L.  Škoda Fabia Rally2 Evo,RC2,18.0,19.0,16.0,17.0,15.0,12.0,17.0,19.0,16.0,16.0,13.0,7.0,18.0,17.0,20.0
33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,66.0,57.0,52.0,6.0,5.0,10.0,4.0,4.0,4.0,6.0,36.0,45.0,5.0,2.0,3.0
34,Loubet  P.  /  Pascaud  Loris  Škoda Fabia RS Rally2,RC2,68.0,66.0,65.0,,,,,,,,,,,,
35,Kremer  Armin  /  Kremer  Ella  Škoda Fabia RS Rally2,RC2,18.0,24.0,23.0,19.0,17.0,14.0,36.0,38.0,23.0,23.0,20.0,20.0,25.0,26.0,16.0
36,Vassilakis  G.  /  Krawszik  Tom  Ford Fiesta Rally2 MkII,RC2,18.0,49.0,58.0,47.0,45.0,38.0,48.0,64.0,44.0,44.0,30.0,39.0,45.0,25.0,26.0
