0,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
No.,Driver / Co-driver Vehicle,Group,,,,,,,,,,,,,,,
6,Sordo  Dani  /  Carrera  C.  Hyundai i20 N Rally1 Hybrid,RC1,00:16:42.5,00:16:50.2,00:17:15.4,00:16:21.3,00:16:31.7,00:16:57.6,00:18:07.5,00:15:01.3,00:19:03.2,00:09:14.3,00:18:07.1,00:01:46.9,00:14:32.5,00:11:54.8,00:11:14.7
8,Tänak  Ott  /  Järveoja  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:16:33.8,00:16:47.2,00:17:17.5,00:16:12.9,00:16:27.2,00:16:58.3,00:21:57.7,00:15:08.0,00:18:18.0,00:09:07.0,00:17:49.5,00:01:47.4,00:14:11.1,00:11:41.1,00:10:44.8
11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:16:43.5,00:17:02.0,00:17:18.9,00:16:24.2,00:16:36.6,00:16:56.9,00:17:51.3,00:15:04.4,00:18:18.8,00:09:09.6,00:17:54.5,00:01:44.6,00:14:05.9,00:11:51.8,00:11:01.2
13,Munster  G.  /  Louka  Louis  Ford Puma Rally1 Hybrid,RC1,00:16:54.8,00:17:11.8,00:17:35.0,00:16:23.6,00:16:33.4,00:19:26.7,00:18:14.8,00:15:08.5,00:28:14.1,00:19:07.0,00:27:49.0,,,,
16,Fourmaux  Adrien  /  Coria  Alexandre  Ford Puma Rally1 Hybrid,RC1,00:16:34.0,00:16:49.4,00:17:11.2,00:26:11.0,00:26:27.2,00:26:56.9,00:18:18.4,00:15:10.2,00:18:21.2,00:09:17.3,00:18:04.4,00:01:50.6,00:14:21.7,00:11:43.6,00:10:43.8
17,Ogier  S.  /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1,00:16:33.2,00:16:49.2,00:17:06.3,00:16:11.0,00:16:43.9,00:19:19.7,00:17:51.5,00:14:53.9,00:18:14.1,00:09:09.4,00:17:49.0,00:01:45.0,00:14:00.6,00:11:38.6,00:33:43.3
18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:16:35.9,00:16:45.3,00:27:06.3,00:26:11.0,00:26:27.2,00:26:56.9,00:18:33.1,00:15:13.3,00:18:35.5,00:09:52.7,00:17:59.9,00:01:47.2,00:14:29.5,00:11:42.9,00:11:09.7
19,Serderidis  J.  /  Miclotte  F.  Ford Puma Rally1 Hybrid,RC1,00:18:16.5,00:18:28.9,00:19:02.7,00:17:54.4,00:18:10.0,00:18:52.9,00:20:12.3,00:16:28.7,00:20:02.1,00:10:06.0,00:19:44.7,00:01:53.9,00:15:38.7,00:13:53.7,00:12:24.9
20,Pajari  Sami  /  Mälkönen  Enni  Toyota GR Yaris Rally2,RC2,00:17:02.0,00:17:17.2,00:17:43.3,00:16:55.0,00:17:02.2,00:17:29.6,00:18:42.8,00:15:33.7,00:18:44.8,00:09:20.9,00:18:29.9,00:01:50.0,00:14:34.2,00:12:24.4,00:11:55.3
21,Rossel  Yohan  /  Barral  Florian  Citroën C3 Rally2,RC2,00:16:54.4,00:17:08.9,00:17:34.9,00:16:45.4,00:16:49.6,00:19:30.5,00:18:42.3,00:15:21.3,00:18:45.7,00:09:19.1,00:18:24.5,00:01:49.0,00:14:38.1,00:12:12.1,00:11:40.3
22,Joona  Lauri  /  Mannisenmäki  V.  Škoda Fabia RS Rally2,RC2,00:17:11.1,00:17:15.7,00:18:01.9,00:17:22.0,00:26:49.6,00:27:18.5,00:19:43.0,00:15:31.3,00:18:51.9,00:09:20.7,00:20:44.7,00:01:50.5,00:14:32.9,00:14:48.9,00:15:30.4
23,Gryazin  Nikolay  /  Aleksandrov  K.  Citroën C3 Rally2,RC2,00:17:07.7,00:17:17.8,00:18:07.9,00:16:51.3,00:17:33.9,00:17:40.8,00:18:54.6,00:15:34.4,01:06:19.5,00:19:19.1,00:28:24.5,00:11:48.5,00:14:30.3,00:13:46.6,00:12:15.0
24,Solans  Jan  /  Sanjuán  R.  Toyota GR Yaris Rally2,RC2,00:20:36.5,00:17:22.9,00:18:40.2,00:16:51.6,00:18:58.4,00:17:36.4,00:18:45.4,00:15:36.5,00:18:58.6,00:09:22.5,00:18:40.1,00:01:50.1,00:14:47.7,00:12:41.1,00:14:58.9
25,Linnamäe  Georg  /  Morgan  James  Toyota GR Yaris Rally2,RC2,00:17:15.6,00:17:24.4,00:20:39.5,00:16:49.0,00:16:58.1,00:17:35.7,00:18:45.4,00:15:29.1,00:18:58.0,00:09:21.2,00:18:32.6,00:01:50.6,00:14:45.7,00:13:30.9,01:13:07.0
26,McErlean  Joshua  /  Fulton  James  Škoda Fabia RS Rally2,RC2,00:17:23.0,00:17:24.7,00:18:02.8,00:17:02.5,00:17:03.9,00:17:51.2,00:19:00.4,00:15:36.8,00:19:29.0,00:09:34.7,00:20:54.3,00:01:50.4,00:14:49.4,00:12:34.9,00:11:53.4
