1,#11,RC1,09:25,4:15.7,5:28.2,9:06.6,11:16.0,13:38.1,14:50.7,17:02.0,-
2,#17,RC1,09:29,-2.9,-3.2,-3.2,-5.1,-7.8,-9.3,16:49.2,-12.8
3,#8,RC1,09:33,-3.8,-4.3,-4.5,-6.9,-10.1,-11.2,16:47.2,-14.8
4,#33,RC1,09:37,+46.1,+ 1:02.6,+1:37.3,+2:04.3,+2:33.6,+2:46.0,20:04.1,+3:02.1
5,#16,RC1,09:43,-2.8,-3.7,-4.6,-7.4,-10.3,-10.7,16:49.4,-12.6
6,#18,RC1,09:47,-2.7,-4.1,-5.5,-6.9,-10.5,-11.9,16:45.3,-16.7
7,#6,RC1,09:51,-3.3,-3.2,-2.4,-4.3,-8.6,-8.9,16:50.2,-11.8
8,#13,RC1,09:55,-0.1,+0.7,+8.2,+10.4,+11.1,+ 10.8,17:11.8,+9.8
9,#19,RC1,09:59,+15.4,+21.7,+44.9,+56.0,+1:06.2,+1:14.0,18:28.9,+1:26.9
10,#20,RC2,10:03,+1.0,+3.4,+9.3,+10.1,+11.0,+13.4,17:17.2,+15.2
11,#21,RC2,10:07,-0.1,+0.5,+4.0,+3 7,+4.1,+6.5,17:08.9,+6.9
12,#22,RC2,10:11,+2.0,+4.4,+9.0,+9.4,+10.0,+11.5,17:15.7,+13.7
13,#23,RC2,10:15,+1.9,+4.1,+8.8,+10.5,+12.2,+ 14.4,17:17.8,+15.8
14,#25,RC2,10:19,+0.8,+3.2,+16.9,+19.4,+19.2,+21.2,17:24.4,+22.4
15,#26,RC2,10:21,+3 7,+6.5,+12.3,+14.6,+16.7,+20.4,17:24.7,+22.7
16,#27,RC2,10:23,+ 1.4,+4.0,+6.9,+7.8,+8.0,+9.9,17:12.3,+10.3
17,#28,RC2,10:25,+2.8,+5.5,+12.7,+12.9,+13.7,+ 16.0,17:20.4,+18.4
18,#24,RC2,10:27,+5.3,+7.6,+13.9,+14.9,+16.3,+ 18.5,17:22.9,+20.9
19,#29,RC2,10:31,+1.5,+3.9,+11.5,+13.7,+14.6,+ 17.2,17:20.3,+18.3
20,#30,RC2,10:33,+0.8,+3.0,+9.2,+10.2,+10.4,+12.1,17:16.0,+14.0
21,#32,RC2,10:35,+7.6,+11.6,+26.0,+28.8,+33.1,+38.4,17:44.6,+42.6
22,#35,RC2,10:37,+10.9,+17.9,+37.2,+48.4,+57.6,+ 1:04.4,18:14.1,+1:12.1
23,#37,RC2,10:39,+19.1,+26.1,+52.2,+1:03.7,+1:12.1,+ 1:20.8,18:31.4,+1:29.4
24,#39,RC2,10:43,+29.0,+3:49.1,+4:12.7,+4:21.7,+4:28.9,+4:35.5,21:44.4,+4:42.4
25,#40,RC2,10:45,+15.6,+23.0,+40.5,+47.7,+53.4,+58.1,18:06.7,+1:04.7
26,#41,RC2,10:47,+22.1,+32.2,+1:05.2,+1:17.8,+1:26.3,+ 1:34.0,18:45.3,+1:43.3
27,#44,RC2,10:49,+19.8,+28.8,+58.4,+1:10.5,+1:20.6,+ 1:27.5,18:42.6,+1:40.6
28,#45,RC2,10:51,+19.5,+29.1,+56.2,+1:10.2,+1:21.2,+ 1:29.8,18:42.5,+1:40.5
29,#46,RC2,10:53,+30.2,+39.8,+1:14.2,+1:29.4,+1:47.7,+2:00.9,19:19.5,+2:17.5
30,#47,RC2,10:55,+22.6,+34.7,+1:07.1,+1:22.6,+1:38.7,+ 1:48.7,19:07.7,+2:05.7
31,#36,RC2,10:57,+27.8,+38.0,+1:12.0,+1:41.5,+1:57.6,+2:08.4,19:24.1,+2:22.1
32,#48,RC2,10:59,+28.6,+40.6,+1:14.6,+1:29.3,+1:47.4,+2:00.5,19:22.8,+2:20.8
33,#49,RC2,11:01,+27.6,+39.0,+1:11.8,+1:29.4,+1:58.0,+2:20.0,19:53.8,+2:51.8
34,#50,RC2,11:03,+33.1,+46.2,+1:26.7,+1:48.8,+2:10.1,+2:23.9,19:44.0,+2:42.0
35,#58,RC3,11:07,+14.4,+21.1,+41.8,+53.9,+1:04.2,+1:11.9,18:18.4,+1:16.4
36,#59,RC3,11:09,+16.8,+24.8,+45.4,+55.1,+1:03.0,+1:10.3,18:16.3,+1:14.3
37,#60,RC3,11:11,+13.2,+ 19.9,+38.5,+55.0,+1:02.7,+ 1:09.4,18:16.3,+1:14.3
38,#61,RC3,11:13,+12.6,+17.8,+34.0,+42.4,+48.3,+52.7,17:57.5,+55.5
39,#62,RC3,11:15,+20.2,+29.0,+56.4,+1:09.1,+1:17.2,+ 1:25.7,18:34.7,+1:32.7
