1,#11,RC1,11:43,55.5,3:04.8,5:20.0,8:08.9,10:35.6,11:05.6,14:28.9,17:18.9,-
2,#17,RC1,11:47,-0.4,-2.0,-2.9,-4.0,-6.5,-7.3,-10.1,17:06.3,-12.6
3,#8,RC1,11:51,+0.4,+0.6,+1.5,+3.1,+2.4,+1.8,-,17:17.5,-1.4
4,#33,RC1,11:55,+ 15.0,+44.8,+1:17.5,+1:52.8,+2:11.8,+2:14.1,+2:56.0,20:39.1,+3:20.2
5,#16,RC1,12:01,+0.5,+0.4,-0.5,+1.1,-0.1,-1.0,-4.1,17:11.2,-7 7
6,#18,RC1,12:05,-0.4,-0.7,-,-,-,-,-,27:06.3,+9:47.4
7,#6,RC1,12:09,-0.4,-1.4,-1.3,+2.3,+0.9,+0.7,-1.2,17:15.4,-3.5
8,#13,RC1,12:13,+ 1.8,+2.8,+6.8,+12.9,+15.2,+15.2,+16.0,17:35.0,+16.1
9,#19,RC1,12:17,+4.7,+16.1,+26.8,+49.4,+1:06.6,+1:07.9,+1:31.4,19:02.7,+1:43.8
10,#20,RC2,12:20,+ 1.0,+4.8,+7.8,+16.6,+19.5,+19.6,+22.4,17:43.3,+24.4
11,#21,RC2,12:22,+0.9,+2 7,+4.8,+12.4,+12.2,+11.7,+16.5,17:34.9,+16.0
12,#22,RC2,12:24,+2.2,+8.9,+13.9,+26.5,+31.0,+31.3,+39.5,18:01.9,+43.0
13,#23,RC2,12:26,+2.0,+6.4,+9.9,+20.3,+21.5,+21.1,+29.6,18:07.9,+49.0
14,#25,RC2,12:28,+3 7,+16.8,+14.3,+2:23.3,+2:57.2,+3:01.4,+3:15.4,20:39.5,+3:20.6
15,#26,RC2,12:30,+2.2,+7.4,+10.7,+26.8,+32.7,+32.4,+40.9,18:02.8,+43.9
16,#27,RC2,12:32,+ 1.0,+4.8,+5.9,+15.3,+17.5,+17.3,+23.2,17:43.3,+24.4
17,#28,RC2,12:34,+2.0,+5.8,+9.9,+20.7,+23.4,+23.0,+28.1,17:47.9,+29.0
18,#24,RC2,12:38,+ 1.3,+4.8,+7.0,+16.2,+18.6,+18.1,+49.0,18:40.2,+1:21.3
19,#29,RC2,12:41,+ 1.3,+5.5,+16.5,+26.2,+27.8,+27.4,+35.5,17:58.0,+39.1
20,#30,RC2,12:43,+2.1,+9.5,+12.7,+27.7,+31.8,+31.5,+38.4,18:00.8,+41.9
21,#32,RC2,12:45,+3.4,+9.9,+14.4,+31.7,+37.0,+36.7,+48.7,18:13.9,+55.0
22,#35,RC2,12:47,+4.5,+13.1,+22.7,+44.9,+56.2,+56.9,+1:20.6,18:48.6,+1:29.7
23,#37,RC2,12:49,+5.3,+16.0,+26.8,+47.9,+57.7,+58.5,+1:23.3,18:51.2,+1:32.3
24,#39,RC2,12:51,+5.4,+12.5,+19.6,+40.4,+50.3,+1:11.4,+1:32.7,19:02.0,+1:43.1
25,#40,RC2,12:53,+4.7,+14.0,+21.9,+42.2,+54.0,+54.6,+1:12.2,18:39.4,+1:20.5
26,#41,RC2,12:55,+5.1,+16.1,+25.9,+49.1,+1:04.8,+1:06.3,+1:32.7,19:03.5,+1:44.6
27,#44,RC2,12:57,+6.7,+19.4,+32.3,+58.9,+1:13.3,+1:14.7,+1:41.8,19:18.9,+2:00.0
28,#45,RC2,12:59,+5.9,+18.0,+30.2,+57.6,+1:11.7,+1:12.4,+1:41.5,19:18.4,+1:59.5
29,#46,RC2,13:01,+8.0,+26.5,+45.5,+1:23.3,+1:44.6,+1:46.5,+2:23.4,20:02.9,+2:44.0
30,#47,RC2,13:03,+8.9,+29.1,+48.2,+1:28.3,+1:53.0,+1:55.6,+2:38.5,20:20.0,+3:01.1
31,#36,RC2,13:05,+7.0,+22.1,+37.4,+1:08.3,+1:26.3,+1:28.1,+2:44.3,20:50.7,+3:31.8
32,#48,RC2,13:07,+7.9,+24.5,+42.7,+1:17.5,+1:39.5,+1:42.0,+2:16.8,19:55.0,+2:36.1
33,#49,RC2,13:09,+ 10.4,+26.8,+46.5,+1:20.0,+1:39.5,+1:41.5,+2:13.2,19:54.3,+2:35.4
34,#50,RC2,13:11,+8.1,+27.2,+41.9,+1:10.5,+1:25.9,+1:27.4,+2:03.8,19:42.7,+2:23.8
35,#58,RC3,13:15,+4.3,+15.0,+23.3,+43.1,+50.1,+49.9,+1:08.9,18:36.1,+1:17.2
36,#59,RC3,13:17,+5.8,+17.7,+27.9,+52.7,+1:03.1,+1:03.5,+1:25.6,18:55.1,+1:36.2
37,#60,RC3,13:19,+5.4,+16.0,+24.8,+46.4,+54.8,+55.6,+1:13.2,18:39.6,+1:20.7
38,#61,RC3,13:21,+5.8,+1:33.1,+1:42.5,+2:05.6,+2:13.4,+2:13.2,+2:28.9,19:52.9,+2:34.0
39,#62,RC3,13:23,+5.5,+19.6,+33.9,+1:01.2,+1:13.6,+1:15.2,+1:37.7,19:07.1,+1:48.2
40,#63,RC3,13:25,+4.7,+14.6,+25.0,+52.1,+1:02.4,+1:02.5,+1:21.7,18:48.8,+1:29.9
41,#64,RC3,13:27,+4.6,+14.5,+23.4,+48.8,+59.4,+59.4,+1:19.1,18:45.7,+1:26.8
42,#66,RC3,13:29,+4.9,+16.0,+27.5,+3:26.4,+3:44.0,+3:45.0,+4:12.6,21:46.8,+4:27.9
43,#67,RC3,13:31,+4.2,+15.9,+27.1,+52.2,+1:03.0,+1:03.1,+1:26.2,18:58.2,+1:39.3
