1,#18,RC1,08:16,3:29.0,4:55.2,7:00.5,9:28.4,11:30.3,13:10.8,14:30.0,16:09.7,18:33.1,
2,#16,RC1,08:20,+1.5,-1.1,-3.0,-5.5,-8.6,-9.8,-12.5,-15.3,18:18.4,-14.7
3,#19,RC1,08:24,+13.6,+21.8,+33.9,+44.0,+55.8,+1:04.5,+1:13.0,+1:22.9,20:12.3,+1:39.2
4,#33,RC1,08:29,-2.1,-4.2,-5.2,-8.4,-10.8,-12.6,-15.1,-18.4,18:12.8,-20.3
5,#13,RC1,08:33,-0.3,-1.4,-2.8,-6.3,“7.7,-8.9,-12.2,-15.3,18:14.8,-18.3
6,#17,RC1,08:37,-4.7,-9.2,-12.7,-17.3,-21.9,-24.3,-29.0,-35.4,17:51.5,-41.6
7,#11,RC1,08:41,-6.1,-9.9,-13.9,-19.6,-23.7,-27.2,-30.9,-36.8,17:51.3,-41.8
8,#6,RC1,08:45,-2.7,-4.9,-7.9,-10.8,-14.4,-16.3,-19.5,-23.0,18:07.5,-25.6
9,#8,RC1,08:49,-6.2,+1:17.9,+1:12.3,+1:06.7,+3:06.7,+3:22.3,+3:18.8,+3:17.5,21:57.7,+3:24.6
10,#28,RC2,08:51,+2.9,+4.5,+14.0,+23.5,+28.4,+30.3,+30.0,+31.1,19:06.4,+33.3
11,#20,RC2,08:53,+3.4,+3.2,+4.1,+4.4,+4.6,+7 3,+7 2,+12.8,18:52.8,+19.7
12,#29,RC2,08:55,+6.6,+8.7,+13.4,+17.0,+21.4,+22.6,+24.0,+27.2,19:06.4,+33.3
13,#30,RC2,08:57,+5.0,+5.2,+7.9,+9.3,+10.4,+12.1,+13.4,+12.9,18:47.4,+14.3
14,#23,RC2,08:59,+6.3,+7.9,+10.9,+12.4,+14.7,+16.6,+16.5,+16.6,18:54.6,+21.5
15,#21,RC2,09:01,+2.2,+1.9,+3 7,+3.6,+5.0,+5.6,+5.6,+5.5,18:42.3,+9.2
16,#26,RC2,09:03,+5.9,+7 5,+12.3,+15.6,+19.0,+20.8,+22.3,+23.0,19:00.4,+27.3
17,#32,RC2,09:05,+8.6,+11.9,+17.8,+20.8,+24.8,+28.4,+30.7,+34.6,19:14.8,+41.7
18,#25,RC2,09:07,+3.2,+4.8,+6.6,+9.0,-,-,-,-,18:45.4,+12.3
19,#24,RC2,09:10,+3.1,+3 7,+5.3,+4.6,+5.5,+6.2,+7.7,+7.9,18:45.4,+12.3
20,#22,RC2,09:14,+1.5,+1.6,+2.8,+1 7,+2.4,+3.5,+4.2,+11.1,19:43.0,+1:09.9
