1,#18,RC1,10:37,3:19.8,5:16.0,7:37.3,10:35.5,13:17.7,15:13.3,-
2,#16,RC1,10:41,+2.8,+1.8,-,-1.1,-2.0,15:10.2,-3.1
3,#19,RC1,10:45,+14.7,+29.5,+39.3,+53.6,+1:07.9,16:28.7,+1:15.4
4,#33,RC1,10:50,+0.4,-1.1,-3.1,-4.9,-5.3,15:06.7,-6.6
5,#13,RC1,10:54,+1.2,-1.0,-2.8,-2.9,-3.5,15:08.5,-4.8
6,#17,RC1,10:58,-1.9,-5.9,-10.4,-13.8,-16.6,14:53.9,-19.4
7,#11,RC1,11:02,-2.8,-2.9,-5.9,-5.5,-7.1,15:04.4,-8.9
8,#6,RC1,11:06,-0.3,-2.4,-6.7,-8.8,-10.1,15:01.3,-12.0
9,#8,RC1,11:10,-0.3,-1.3,-2.5,-3.0,-3.2,15:08.0,-5.3
10,#28,RC2,11:12,+5.8,+7.3,+8.9,+11 7,+ 16.0,15:31.3,+18.0
11,#20,RC2,11:14,+6.7,+9.3,+11.5,+15.3,+ 19.2,15:33.7,+20.4
12,#29,RC2,11:16,+6.0,+9.6,+12.2,+16.0,+19.3,15:35.1,+21.8
13,#30,RC2,11:18,+8.2,+10.7,+13.5,+17.0,+20.6,15:37.5,+24.2
14,#23,RC2,11:20,+7.3,+ 10.0,+12.5,+14.6,+ 19.0,15:34.4,+21.1
15,#21,RC2,11:22,+2.9,+3.5,+4.0,+4.0,+7.0,15:21.3,+8.0
16,#26,RC2,11:24,+6.0,+9.5,+12.2,+14.9,+20.0,15:36.8,+23.5
17,#32,RC2,11:26,+8.7,+ 14.0,+19.9,+25.7,+33.1,15:50.9,+37.6
18,#25,RC2,11:28,+5.4,+6.2,+8.1,+10.8,+15.0,15:29.1,+15.8
19,#24,RC2,11:31,+6.4,+9.6,+12.2,+15.0,+20.4,15:36.5,+23.2
20,#22,RC2,11:35,+5.9,+7.3,+9.1,+11.4,+15.0,15:31.3,+18.0
21,#35,RC2,11:37,+19.8,+34.6,+46.8,+1:02.0,+1:18.5,16:39.9,+1:26.6
22,#40,RC2,11:39,+13.3,+22.8,+31.3,+43.4,+53.6,16:14.4,+1:01.1
23,#45,RC2,11:41,+20.2,+36.6,+48.1,+1:04.5,+ 1:18.2,16:40.8,+1:27.5
24,#44,RC2,11:43,+18.9,+33.2,+44.4,+57.7,+1:12.3,16:34.1,+1:20.8
25,#37,RC2,11:45,+16.9,+30.5,+40.1,+52.1,+ 1:07.2,16:28.1,+1:14.8
26,#39,RC2,11:48,+16.5,+27.8,+39.1,+52.8,+ 1:05.5,16:25.6,+1:12.3
27,#43,RC2,11:50,+15.6,+24.5,+33.3,+47.4,+58.4,16:19.8,+1:06.5
28,#41,RC2,11:53,+26.7,+47.5,+1:05.6,+1:26.1,+ 1:45.4,17:11.5,+1:58.2
29,#49,RC2,11:55,+27.3,+49.6,+1:04.9,+1:24.3,+1:50.7,17:17.1,+2:03.8
30,#50,RC2,11:57,+29.6,+53.8,+1:12.4,+1:37.6,+2:07.5,17:36.8,+2:23.5
31,#36,RC2,11:59,+47.5,+ 11:09.8,+12:50.1,+13:32.1,+ 14:07.2,29:38.9,+14:25.6
32,#46,RC2,12:01,+29.3,+53.3,+1:08.4,+1:29.5,+ 1:53.8,17:23.1,+2:09.8
33,#48,RC2,12:03,+30.7,+56.2,+1:13.3,+1:35.3,+2:02.7,17:31.0,+2:17.7
34,#63,RC3,12:07,+17.8,+27.7,+39.2,+52.2,+ 1:05.9,16:27.1,+1:13.8
35,#58,RC3,12:09,+14.5,+21.6,+32.0,+43.6,+55.0,16:16.0,+1:02.7
36,#61,RC3,12:11,+11.6,+18.7,+28.7,+37.6,+47.7,16:07.8,+54.5
37,#75,RC3,12:13,+15.0,+24.4,+35.0,+44.6,+56.6,16:27.4,+1:14.1
38,#64,RC3,12:15,+15.9,+29.0,+39.9,+52.9,+ 1:06.8,16:28.3,+1:15.0
39,#59,RC3,12:17,+15.5,+23.8,+33.3,+45.9,+59.2,16:19.8,+1:06.5
40,#60,RC3,12:19,+15.0,+22.2,+32.0,+46.1,+1:07.5,16:33.6,+1:20.3
41,#62,RC3,12:21,+18.3,+27.0,+38.5,+50.6,+ 1:04.0,16:27.2,+1:13.9
42,#74,RC2,12:24,+15.8,+25.3,+31.6,+41.3,+53.2,16:13.5,+1:00.2
43,#73,RC2,12:26,+14.5,+24.4,+32.9,+43.8,+55.0,16:15.9,+1:02.6
44,#72,RC3,12:28,+21.0,+33.4,+44.9,+1:01.0,-,26:07.8,+10:54.5
45,#51,RC3,12:30,+18.8,+28.7,+39.5,+53.2,+1:11.7,16:35.6,+1:22.3
46,#70,RC3,12:32,+18.0,+31.2,+42.4,+58.9,+1:18.3,16:44.2,+1:30.9
47,#67,RC3,12:34,+14.1,+22.9,+31.4,+59.8,+1:13.1,16:37.5,+1:24.2
48,#68,RC3,12:36,+20.9,+35.3,+49.8,+1:07.1,+ 1:23.4,16:54.9,+1:41.6
49,#66,RC3,12:38,+16.0,+29.7,+3:39.5,+4:05.7,+4:33.5,20:10.9,+4:57.6
50,#53,RC3,12:40,+30.3,+49.6,+1:20.8,+1:44.7,+2:09.0,17:40.3,+2:27.0
51,#52,RC3,12:42,+19.0,+33.8,+48.6,+1:04.1,+ 1:23.1,16:52.0,+1:38.7
52,#71,RC3,12:44,+25.6,+ 1:06.5,-,-,-,26:07.8,+10:54.5
53,#77,RC2,12:46,+27.7,+48.1,+1:04.6,+1:26.2,+2:16.5,17:49.3,+2:36.0
54,#76,RC3,12:48,+31.6,+3:39.4,+3:54.3,+4:11.9,+4:34.1,20:01.0,+4:47.7
55,#56,RC3,12:52,+37.8,+ 1:02.5,+1:26.7,+1:55.7,+2:28.5,18:03.7,+2:50.4
56,#55,RC3,12:54,+34.6,+ 1:03.4,+1:26.9,+1:57.4,+2:27.5,17:57.9,+2:44.6
57,#79,RC2,12:56,+36.7,+ 1:04.9,+1:27.1,+1:54.5,+2:24.7,17:57.6,+2:44.3
58,#81,RC4,12:59,+1:06.3,+ 1:35.2,+2:10.7,+2:50.9,+ 11:52.1,27:37.0,+12:23.7
59,#78,RC3,13:02,+36.4,+ 1:02.9,+1:27.5,+1:55.5,+2:27.3,18:19.3,+3:06.0
60,#83,RC4,13:04,+1:00.0,+ 1:35.2,+2:11.2,+2:52.5,+3:42.2,19:27.8,+4:14.5
61,#85,RC5,13:06,+59.8,+ 1:34.8,+2:17.5,+3:08.8,+4:10.5,19:59.3,+4:46.0
62,#84,RC4,13:08,+1:23.1,+2:14.5,-,-,-,29:27.8,+14:14.5
