1,#18,RC1,13:05,1:36.3,3:47.6,5:33.7,7:41.7,9:27.2,11:12.7,14:28.9,16:43.9,18:10.3,18:35.7,
2,#16,RC1,13:09,-2.2,-5.8,-6.7,-6.8,-9.2,-8.3,-8.4,-10.3,-13.0,18:21.7,-14.0
3,#19,RC1,13:13,+6.8,+15.2,+22.7,+31.0,+39.4,+50.9,+1:05.1,+1:16.8,+1:24.3,20:02.3,+1:26.6
4,#33,RC1,13:18,-2.3,-4.6,-4.5,-7.1,-9.9,-10.9,-11.0,-12.4,-14.8,18:20.5,-15.2
5,#13,RC1,13:22,+7.2,+6.5,-,-,-,-,-,-,-,28:14.1,+9:38.4
6,#17,RC1,13:26,-1.8,-5.3,-5.4,-7.9,-12.0,-13.3,-16.1,-18.0,-20.5,18:14.1,-21.6
7,#11,RC1,13:30,-1.7,-6.5,-8.7,-8.7,-10.6,-10.5,-13.1,-13.7,-15.5,18:19.8,-15.9
8,#6,RC1,13:34,-0.7,-5.2,-4.4,-3.7,-6.3,-6.0,+4.7,+14.4,+26.1,19:05.4,+29.7
9,#8,RC1,13:38,+0.3,-4.1,-5.3,-5.9,-8.5,-9.9,-10.6,-12.6,-14.7,18:20.3,-15.4
10,#28,RC2,13:40,+3.1,+2.3,+4.0,+10.5,+13.9,+19.4,+23.0,+25.5,+27.4,19:03.4,+27.7
11,#20,RC2,13:42,+2.5,-0.7,+1.7,+5.3,+5.5,+8.9,+10.2,+11.0,+11.3,18:47.0,+11.3
12,#29,RC2,13:44,+3.9,+4.1,+7.4,+13.5,+16.3,+19.0,+22.2,+24.2,+23.9,19:00.3,+24.6
13,#30,RC2,13:46,+2.3,+3.5,+7.3,+12.9,+16.2,+20.5,+23.6,+25.9,+26.4,19:02.4,+26.7
14,#23,RC2,13:48,+3.5,+2:24.3,+2:59.5,+43:56.9,+44:13.6,+44:32.0,+44:55.2,-,-,1:06:19.5,+47:43.8
15,#21,RC2,13:50,+1.8,+1.5,+3.2,+9.3,+10.8,+14.0,+12.3,+12.2,+12.0,18:47.9,+12.2
16,#26,RC2,13:52,+2.9,+4.7,+7.4,+13.9,+15.8,+19.5,+24.1,+34.7,+50.0,19:31.4,+55.7
