1,#18,RC1,15:46,3:06.7,5:49.7,9:52.7,-
2,#16,RC1,15:50,-3.1,-25.7,9:17.3,-35.4
3,#19,RC1,15:54,+4.9,+0.6,10:06.0,+13.3
4,#33,RC1,15:59,-4.8,-26.3,9:18.4,-34.3
5,#17,RC1,16:03,-7.5,-30.6,9:09.4,-43.3
6,#11,RC1,16:07,-8.3,-31.9,9:09.6,-43.1
7,#6,RC1,16:11,-6.7,-28.1,9:14.3,-38.4
8,#8,RC1,16:15,-9.5,-32.8,9:07.0,-45.7
9,#28,RC2,16:17,-4.7,-21.8,9:27.5,-25.2
10,#20,RC2,16:19,-7.0,-26.8,9:20.9,-31.8
11,#29,RC2,16:21,-5.6,-20.8,9:26.4,-26.3
12,#30,RC2,16:23,-4.3,-21.3,9:27.4,-25.3
13,#21,RC2,16:25,-8.5,-26.4,9:19.1,-33.6
14,#26,RC2,16:27,-2.7,-17.1,9:34.7,-18.0
15,#32,RC2,16:29,-4.9,-17.3,9:36.6,-16.1
16,#25,RC2,16:31,-6.4,-25.5,9:21.2,-31.5
17,#24,RC2,16:33,-6.2,-23.5,9:22.5,-30.2
18,#22,RC2,16:35,-8.3,-25.3,9:20.7,-32.0
19,#35,RC2,16:37,-0.4,-7.1,9:56.2,+3.5
20,#40,RC2,16:39,-0.4,-8.7,9:54.9,+2.2
21,#45,RC2,16:41,+2.9,+2.5,10:11.6,+18.9
22,#44,RC2,16:43,+6.5,+5.5,10:15.1,+22.4
23,#37,RC2,16:45,-0.8,-3.8,10:02.7,+10.0
24,#39,RC2,16:49,+0.8,-4.2,10:08.6,+15.9
25,#43,RC2,16:51,-0.9,-9.4,9:53.0,+0.3
26,#41,RC2,16:53,+6.0,+9.5,10:25.2,+32.5
27,#36,RC2,16:57,+14.3,+24.6,10:46.6,+53.9
28,#46,RC2,16:59,+11.7,+24.5,10:45.4,+52.7
29,#48,RC2,17:01,+10.7,+28.5,11:31.7,+1:39.0
30,#63,RC3,17:05,+2.0,-0.9,10:04.7,+12.0
31,#58,RC3,17:07,+0.7,-6.6,9:58.1,+5.4
32,#61,RC3,17:09,-0.2,-9.5,9:49.6,-3.1
33,#75,RC3,17:11,+2.4,-2.4,10:02.2,+9.5
34,#64,RC3,17:13,+0.4,-6.4,9:57.9,+5.2
35,#59,RC3,17:15,+4.3,+1.7,10:13.5,+20.8
36,#60,RC3,17:17,+15.5,+25.4,10:54.1,+1:01.4
37,#62,RC3,17:19,+1.9,-4.2,10:01.3,+8.6
38,#74,RC2,17:22,-0.9,-10.0,9:48.7,-4.0
39,#73,RC2,17:24,-3.1,-11.2,10:06.7,+14.0
40,#51,RC3,17:26,+3.9,-0.5,10:13.6,+20.9
41,#70,RC3,17:28,+1.5,-5.2,10:08.7,+16.0
42,#67,RC3,17:30,-0.1,-7.0,9:51.2,-1.5
43,#68,RC3,17:32,+3.4,+6.1,10:22.4,+29.7
44,#66,RC3,17:34,+1.2,-2.6,10:03.9,+11.2
45,#52,RC3,17:38,+5.5,+6.1,10:24.4,+31.7
46,#53,RC3,17:40,+5.1,+6.9,10:24.1,+31.4
47,#56,RC3,17:42,+16.1,+33.2,11:14.1,+1:21.4
48,#55,RC3,17:44,+7.7,+16.3,10:49.7,+57.0
49,#79,RC2,17:46,+7.2,+22.2,10:54.0,+1:01.3
50,#81,RC4,17:49,+24.7,+38.1,11:17.3,+1:24.6
51,#83,RC4,17:51,+31.3,+55.6,11:42.1,+1:49.4
52,#85,RC5,17:53,+41.2,+1:15.9,12:44.6,+2:51.9
