1,#18,RC1,17:05,1:34.1,3:41.4,5:25.3,7:31.8,9:12.2,10:54.9,14:04.3,16:13.2,17:35.3,17:59.9,
2,#16,RC1,17:09,-0.8,-2.7,-3.0,-2.8,-2.5,-2.6,+0.6,+3.4,+4.2,18:04.4,+4.5
3,#19,RC1,17:13,+7.9,+16.0,+24.9,+33.9,+44.7,+56.6,+1:15.9,+1:30.5,+1:41.7,1 9:44.7,+1:44.8
4,#33,RC1,17:18,-1.1,-1.0,-1.4,-4.4,-5.4,-6.7,+1:05.6,+4:30.7,+4:50.3,22:56.1,+4:56.2
5,#17,RC1,17:22,-1.5,-2.8,-3.9,-5.8,-7.6,-9.2,-9.6,-9.3,-10.6,17:49.0,-10.9
6,#11,RC1,17:26,-0.9,-3.9,-5.6,-7.4,-8.4,-9.3,-8.2,-5.7,-5.5,17:54.5,-5.4
7,#6,RC1,17:30,-0.1,-1.0,-1.1,-1.1,-0.5,-1.0,+1.3,+5.1,+6.8,18:07.1,+7 2
8,#8,RC1,17:34,-1.6,-4.3,-6.7,-8.2,-9.8,-11.6,-9.1,-8.9,-9.7,17:49.5,-10.4
9,#28,RC2,17:36,+1.8,+1.4,+1.6,+6.8,+11.2,+15.6,+24.9,+31.0,+36.6,18:39.0,+39.1
10,#20,RC2,17:38,+1.5,+1.3,+3.7,+8.0,+10.5,+13.6,+22.3,+26.4,+29.6,18:29.9,+30.0
11,#29,RC2,17:40,+3.3,+5.6,+8.3,+14.2,+17.7,+21.0,+30.2,+38.0,+41.7,18:43.0,+43.1
12,#30,RC2,17:42,+4.5,+8.3,+12.3,+17.6,+23.6,+2:29.6,+2:51.4,+3:02.3,+3:07.9,21:08.8,+3:08.9
13,#21,RC2,17:44,+2.0,+2.9,+2.9,+6.4,+9.7,+12.5,+16.5,+20.9,+23.6,18:24.5,+24.6
14,#26,RC2,17:46,+3.0,+1:46.5,+1:50.4,+1:56.3,+2:02.5,+2:07.6,+2:17.8,+2:32.4,+2:49.8,20:54.3,+2:54.4
15,#32,RC2,17:48,+5.3,+10.3,+15.9,+29.2,+38.7,+46.7,+1:06.6,+1:19.7,+1:27.3,19:29.9,+1:30.0
16,#25,RC2,17:50,+1.2,+0.7,+1.7,+6.7,+10.4,+13.6,+20.7,+27.3,+31.6,18:32.6,+32.7
17,#24,RC2,17:52,+2.9,+3.9,+5.6,+11.3,+15.8,+20.4,+26.2,+33.7,+38.8,18:40.1,+40.2
18,#22,RC2,17:54,+2.9,+4.3,+2:08.6,+2:13.7,+2:18.4,+2:23.3,+2:31.3,+2:38.8,+2:43.8,20:44.7,+2:44.8
19,#35,RC2,17:56,+11.7,+24.5,+34.0,+55.7,+1:10.9,+1:26.1,+1:51.9,+2:10.5,+2:21.4,20:23.8,+2:23.9
20,#40,RC2,17:58,+7.5,+13.7,+21.3,+30.7,+39.5,+49.7,+1:08.9,+1:24.4,+1:33.0,19:35.0,+1:35.1
21,#45,RC2,18:00,+12.5,+26.3,+38.4,+51.7,+1:07.6,+1:22.3,+1:45.5,+2:03.2,+2:17.3,20:19.9,+2:20.0
22,#44,RC2,18:02,+13.1,+25.0,+34.0,+47.5,+1:05.7,+5:06.4,+5:30.9,+5:49.8,+6:03.0,24:07.0,+6:07.1
23,#37,RC2,18:04,+10.3,+19.8,+27.3,+38.2,+49.0,+1:00.2,+31:07.3,+32:42.2,+33:27.9,51:38.4,+33:38.5
24,#39,RC2,18:08,+10.2,+23.3,+34.1,-,-,-,-,-,-,28:24.5,+10:24.6
25,#43,RC2,18:10,+11.0,+21.7,+31.5,+43.6,+54.7,+1:06.0,+1:26.7,+1:42.1,+1:53.5,19:57.2,+1:57.3
26,#41,RC2,18:12,+17.8,+41.2,+1:47.7,+2:23.9,+2:57.2,+3:24.8,+4:09.2,+4:46.5,+5:14.5,23:23.3,+5:23.4
27,#36,RC2,18:16,+22.2,+42.9,+1:00.7,+1:20.5,+1:40.2,+2:00.4,+2:34.9,+2:59.9,+3:18.6,21:23.0,+3:23.1
28,#46,RC2,18:18,+17.3,+35.6,+48.1,+1:07.3,+1:28.0,+1:50.0,+2:19.3,+2:42.4,+3:01.3,21:05.5,+3:05.6
29,#48,RC2,18:20,+18.6,+41.6,+57.2,+1:18.0,+1:41.6,+2:20.4,+3:47.2,+4:59.7,+6:18.2,24:40.1,+6:40.2
30,#63,RC3,18:24,+12.7,+24.9,+33.9,+48.0,+1:02.1,+1:13.8,+1:36.2,+2:06.1,+2:34.3,20:46.3,+2:46.4
31,#58,RC3,18:26,+15.0,+29.4,+37.8,+53.2,+1:06.4,+1:17.6,+1:44.0,+2:20.8,+5:00.8,23:05.4,+5:05.5
32,#61,RC3,18:28,+13.8,+31.8,+42.8,+59.0,+1:13.1,+1:23.9,+1:50.6,+2:12.6,+2:25.6,20:28.8,+2:28.9
33,#75,RC3,18:30,+12.2,+27.7,+38.6,+54.3,+1:09.6,+1:22.0,+1:46.9,+2:05.1,+2:19.1,20:23.7,+2:23.8
34,#64,RC3,18:32,+11.7,+24.3,+35.8,+52.5,+1:08.0,+1:21.8,+1:49.9,+2:25.4,+3:07.1,21:22.7,+3:22.8
35,#59,RC3,18:34,+15.2,+34.6,+53.2,+2:04.6,+14:36.4,+15:54.8,+17:43.8,+19:04.8,+19:54.2,38:09.4,+20:09.5
36,#60,RC3,18:36,+28.6,+1:12.8,+3:00.1,+6:38.7,+18:17.5,+18:56.0,+19:55.3,+20:38.4,+21:07.7,39:15.4,+21:15.5
37,#62,RC3,18:39,+13.2,+28.3,+41.4,+1:08.1,+1:30.5,+1:51.1,+2:49.9,+3:40.5,+4:23.0,22:33.8,+4:33.9
38,#74,RC2,18:42,+10.5,+19.9,+28.6,+40.8,+53.0,+1:04.8,-,-,-,-,-
39,#73,RC2,18:44,+17.1,+37.2,+49.5,+1:07.2,+1:26.9,+1:44.1,+2:17.2,+2:42.0,+2:59.8,21:04.2,+3:04.3
40,#51,RC3,18:46,+17.2,+38.9,-,-,-,-,-,-,-,-,-
41,#70,RC3,18:48,+15.1,+28.7,+39.3,+56.0,+1:11.7,+1:27.0,+1:52.5,+2:12.8,+2:30.2,20:41.4,+2:41.5
42,#67,RC3,18:50,+10.6,+23.0,+31.9,+46.9,+59.9,+1:10.1,+1:30.0,+1:45.3,+1:56.2,19:58.4,+1:58.5
43,#68,RC3,18:52,+20.3,+44.9,+1:02.1,+1:22.3,+1:47.1,+2:05.9,+2:45.6,+3:15.6,+3:34.4,21:39.0,+3:39.1
44,#66,RC3,18:54,+12.7,+2:47.0,+2:57.4,+6:24.3,+6:44.1,+6:58.9,+7:35.4,+7:59.0,+8:15.5,26:19.3,+8:19.4
45,#52,RC3,18:58,+18.2,+47.7,+1:08.0,+1:35.0,+3:28.2,+4:19.0,+6:01.1,+6:59.3,+7:37.3,25:48.2,+7:48.3
46,#53,RC3,19:00,+17.2,+38.4,+53.8,+1:12.0,+1:45.2,+2:17.3,+2:58.0,+3:24.5,+3:43.8,21:49.1,+3:49.2
47,#56,RC3,19:02,+23.4,+53.8,+1:15.3,+1:39.4,+2:06.6,+2:29.8,+3:20.1,+3:59.5,+4:28.1,22:35.3,+4:35.4
48,#55,RC3,19:04,+23.1,+57.3,+1:33.8,+1:57.4,+2:24.7,+2:49.9,+3:36.9,+4:14.0,+4:42.1,22:50.1,+4:50.2
49,#79,RC2,19:06,+25.6,+1:04.1,+1:29.6,+1:57.9,+2:28.8,+2:58.1,+3:52.6,+4:33.6,+5:03.2,23:10.7,+5:10.8
50,#81,RC4,19:08,+29.1,+1:04.5,+1:31.2,+2:05.1,+2:34.5,+3:01.1,+4:02.2,+4:45.2,+5:14.8,23:24.5,+5:24.6
51,#83,RC4,19:10,+41.3,+1:32.7,+2:00.3,+2:42.5,+3:16.0,+3:47.5,+4:40.6,+5:23.1,+5:54.5,24:02.7,+6:02.8
52,#85,RC5,19:12,+54.2,+1:55.4,+2:35.1,+3:23.0,+4:12.8,+8:07.5,+9:47.2,+10:57.8,+11:56.6,-,-
