1,#18,RC1,08:59,2:24.8,4:38.6,6:50.5,10:07.2,13:31.3,14:29.5,-
2,#16,RC1,09:03,-0.5,-2.8,-5.3,-6.5,-7.2,14:21.7,-7.8
3,#19,RC1,09:07,+9.6,+17.0,+30.4,+47.4,+1:03.8,15:38.7,+1:09.2
4,#33,RC1,09:12,-0.5,-3.6,-8.2,-7.4,-6.8,14:22.9,-6.6
5,#8,RC1,09:16,-2.9,-6.8,-12.2,-13.7,-17.0,14:11.1,-18.4
6,#17,RC1,09:20,-5.1,-10.5,-18.1,-23.4,-27.3,14:00.6,-28.9
7,#6,RC1,09:24,+1.3,-0.3,-2.3,+1.0,+2.5,14:32.5,+3.0
8,#11,RC1,09:28,-3.3,-8.4,-14.4,-17.2,-22.0,14:05.9,-23.6
9,#20,RC2,09:30,+1.9,+0.9,-0.9,+1.4,+4.4,14:34.2,+4.7
10,#28,RC2,09:32,+2.4,+1.6,+4.2,+7.7,+14.2,14:45.0,+15.5
11,#21,RC2,09:34,+1.7,+0.7,-0.4,+7.0,+8.0,14:38.1,+8.6
12,#29,RC2,09:36,+3.3,+2.7,+6.9,+12.0,+18.5,14:49.6,+20.1
13,#25,RC2,09:38,+4.1,+3.5,+5.5,+10.7,+15.6,14:45.7,+16.2
14,#30,RC2,09:40,+1.4,-,+1.7,+4.2,+8.8,14:39.5,+10.0
15,#26,RC2,09:42,+3.3,+4.1,+7.2,+13.0,+18.8,14:49.4,+19.9
16,#32,RC2,09:44,+3.0,+3.2,+7.6,+12.9,+22.3,14:54.5,+25.0
17,#24,RC2,09:46,+1.2,+6.7,+9.5,+13.1,+16.8,14:47.7,+18.2
18,#40,RC2,09:48,+14.6,+20.9,+36.4,+54.9,+1:11.9,15:47.0,+1:17.5
19,#35,RC2,09:50,+7.8,+10.3,+23.0,+37.5,+49.7,15:23.9,+ 54.4
20,#45,RC2,09:52,+12.2,+19.0,+36.4,+55.3,+1:18.1,15:52.6,+1:23.1
21,#44,RC2,09:54,+13.7,+23.0,+41.5,+1:04.4,+1:27.8,16:03.9,+1:34.4
22,#22,RC2,09:57,+2.3,+1.1,+1.6,+2.0,+3.6,14:32.9,+3.4
23,#23,RC2,10:00,+0.2,-2.7,-2.9,-0.7,+0.4,14:30.3,+0.8
24,#46,RC2,10:03,+16.7,+28.2,+50.8,+1:14.3,+1:40.6,16:17.2,+1:47.7
25,#48,RC2,10:05,+17.3,+29.1,+56.7,+1:20.1,+1:49.0,16:25.1,+1:55.6
26,#36,RC2,10:07,+20.3,+30.5,+52.9,+1:18.3,+1:52.1,16:28.8,+1:59.3
27,#41,RC2,10:09,+15.3,+23.1,+45.6,+1:07.6,+1:38.4,16:15.0,+1:45.5
28,#50,RC2,10:11,+21.9,+34.2,+1:00.4,+1:28.3,+1:55.4,16:33.8,+2:04.3
29,#49,RC2,10:13,+15.4,+25.9,+48.5,+1:12.4,+1:51.4,16:31.7,+2:02.2
30,#47,RC2,10:15,+11.4,+19.2,+39.7,+1:03.3,+1:27.0,16:03.6,+1:34.1
31,#63,RC3,10:19,+11.4,+17.7,+32.9,+56.8,+1:15.8,15:50.8,+1:21.3
32,#58,RC3,10:21,+11.2,+17.0,+31.8,+53.5,+1:10.5,15:44.1,+1:14.6
33,#61,RC3,10:23,+7.2,+8.8,+17.8,+27.3,+34.2,15:05.2,+35.7
34,#62,RC3,10:25,+10.8,+15.8,+40.2,+56.6,+1:11.4,15:45.6,+1:16.1
35,#70,RC3,10:27,+12.7,+18.9,+29.6,+43.6,+53.7,15:26.8,+ 57.3
36,#64,RC3,10:29,+9.3,+12.1,+24.9,+37.7,+49.8,15:22.4,+ 52.9
37,#67,RC3,10:31,+9.2,+13.1,+19.7,+29.8,-,-,-
38,#68,RC3,10:33,+7.5,+11.3,+25.6,+43.4,+8:19.3,-,-
39,#66,RC3,10:35,+13.1,+20.6,+34.6,+56.5,+7:23.9,-,-
40,#59,RC3,10:37,+8.5,+11.6,+20.6,+50.5,+ 5:27.0,-,-
41,#60,RC3,10:39,+7.2,+8.8,+16.2,+1:14.2,+3:29.3,-,-
42,#72,RC3,10:41,+8.5,+10.9,+50.1,+2:31.3,+4:14.5,19:12.5,+4:43.0
43,#71,RC3,10:43,+20.2,+32.8,+50.0,+1:13.6,+2:58.6,18:04.8,+3:35.3
44,#75,RC3,11:02,+8.6,+10.9,+19.2,+29.0,+40.9,15:13.8,+44.3
45,#73,RC2,11:04,+6.8,+7.3,+17.5,+27.4,+40.0,15:13.0,+43.5
46,#51,RC3,11:06,+13.4,+18.8,+32.2,+51.2,+1:15.9,15:49.6,+1:20.1
47,#53,RC3,11:08,+23.9,+36.1,+1:06.5,+1:40.5,+2:16.7,16:56.5,+2:27.0
48,#52,RC3,11:10,+15.4,+22.3,+46.2,+1:14.1,+1:43.9,16:22.4,+1:52.9
49,#77,RC2,11:12,+15.9,+24.3,+48.0,+1:16.1,+1:41.9,16:20.2,+1:50.7
50,#56,RC3,11:14,+21.7,+33.9,+1:03.5,+1:33.1,+1:59.8,16:36.4,+2:06.9
51,#55,RC3,11:16,+18.3,+40.3,+1:11.3,+1:46.2,+2:25.1,17:05.8,+2:36.3
52,,RC2,11:18,+17.7,+27.1,+51.8,+1:20.1,+1:51.3,16:28.9,+1:59.4
53,#81,RC4,11:20,+28.1,+47.7,+1:21.6,+2:07.5,+2:53.0,17:37.5,+3:08.0
54,#83,RC4,11:22,+39.8,+1:10.1,+1:52.9,+2:47.0,+3:40.8,18:26.3,+3:56.8
55,#82,RC4,11:24,+26.7,+45.8,+1:17.7,+1:56.3,+2:35.3,17:15.3,+2:45.8
56,#85,RC5,11:26,+41.2,+1:11.3,+2:03.9,+3:32.0,+4:54.4,19:46.1,+ 5:16.6
57,#84,RC4,11:28,+1:12.7,+1:56.5,+3:08.5,+4:42.3,+6:07.6,21:00.6,+6:31.1
