1,#18,RC1,10:05,2:25.5,4:20.1,4:54.3,6:03.6,8:00.1,10:40.0,11:09.0,11:42.9,-
2,#16,RC1,10:09,+0.2,+0.5,+0.3,-,+2.5,+1.9,+1.5,11:43.6,+0.7
3,#19,RC1,10:13,+21.3,+44.3,+55.3,+1:11.5,+1:40.0,+2:00.4,+2:05.8,13:53.7,+2:10.8
4,#33,RC1,10:18,+1.1,-1.8,-2.2,-1.4,-2.2,-1.9,-2.7,11:41.1,-1.8
5,#8,RC1,10:22,+0.8,+ 1.4,+0.9,+1.1,+0.6,-1.5,-2.2,11:41.1,-1.8
6,#17,RC1,10:26,+1.3,-0.3,-1.1,-0.9,-1.3,-3.8,-4.1,11:38.6,-4.3
7,#6,RC1,10:30,+2.7,+3.0,+4.7,+ 5.8,+7.3,+9.3,+9.8,11:54.8,+11.9
8,#11,RC1,10:34,+3.9,+3.5,+4.0,+3.9,+8.4,+7.1,+7.2,11:51.8,+8.9
9,#20,RC2,10:36,+10.5,+ 14.4,+17.2,+22.9,+31.1,+37.0,+38.6,12:24.4,+41.5
10,#28,RC2,10:38,+7.7,+ 10.0,+11.8,+15.0,+21.4,+28.3,+29.7,12:14.4,+31.5
11,#21,RC2,10:40,+7.4,+9.6,+11.1,+14.8,+20.7,+24.5,+27.9,12:12.1,+29.2
12,#29,RC2,10:42,+13.2,+23.8,+29.2,+34.8,+48.6,+1:00.6,+1:03.9,12:50.7,+1:07.8
13,#25,RC2,10:44,+6.7,+ 10.9,+13.7,+17.1,+1:23.4,+1:38.1,+1:40.8,13:30.9,+1:48.0
14,#30,RC2,10:46,+8.6,+ 10.5,+12.6,+16.4,+21.6,+30.1,+31.7,12:16.5,+33.6
15,#26,RC2,10:48,+9.3,+ 12.7,+16.2,+22.3,+38.9,+47.6,+49.1,12:34.9,+52.0
16,#32,RC2,10:50,+16.5,+26.8,+32.1,+42.0,+1:01.5,+1:17.5,+1:20.5,13:07.2,+1:24.3
17,#24,RC2,10:52,+17.2,+21.1,+23.9,+30.1,+40.8,+51.7,+54.1,12:41.1,+58.2
18,#40,RC2,10:54,+18.1,+25.0,+31.4,+41.1,+59.5,+1:19.2,+1:23.4,13:11.9,+1:29.0
19,#35,RC2,10:56,+22.4,+37.1,+47.2,+1:00.6,+1:29.3,+1:51.2,+1:55.8,13:44.2,+2:01.3
20,#45,RC2,10:58,+27.6,+44.9,+58.7,+1:15.1,+1:47.7,+2:19.1,+2:27.2,14:19.4,+2:36.5
21,#44,RC2,11:00,+24.5,+34.7,+42.3,+ 54.8,+1:16.8,+ 5:55.4,+6:01.7,17:50.9,+6:08.0
22,#22,RC2,11:03,+9.8,+9.9,+14.9,+24.4,+1:06.2,+2:23.3,+2:43.9,14:48.9,+3:06.0
23,#23,RC2,11:06,+1:47.6,+ 1:46.8,+1:48.4,+1:52.3,+1:56.4,+2:00.9,+2:01.8,13:46.6,+2:03.7
24,#46,RC2,11:09,+28.3,+49.4,+1:02.0,+1:24.8,+2:09.5,+3:15.6,+3:37.5,15:45.1,+4:02.2
25,#48,RC2,11:11,+29.8,+45.9,+56.5,+1:13.1,+1:46.6,+2:21.7,+2:29.5,14:19.7,+2:36.8
26,#36,RC2,11:13,+26.4,+38.6,+47.8,+1:02.5,+1:27.0,+1:48.6,+1:54.5,13:43.6,+2:00.7
27,#41,RC2,11:15,+26.9,+40.4,+49.7,+1:05.5,+1:33.3,+2:01.1,+2:06.2,13:55.1,+2:12.2
28,#50,RC2,11:17,+29.5,+45.7,+57.7,+1:15.7,+1:47.3,+2:22.9,+2:31.8,14:22.9,+2:40.0
29,#49,RC2,11:19,+38.5,+57.1,+1:11.6,+1:31.8,+2:16.8,+2:54.8,+3:04.2,14:57.8,+3:14.9
30,#47,RC2,11:21,+39.6,+ 1:00.4,+1:12.3,+1:31.6,+2:13.2,+2:56.9,+3:08.1,15:01.9,+3:19.0
31,#63,RC3,11:25,+25.4,+39.0,+48.2,+1:02.4,+1:27.3,+1:53.0,+1:59.0,13:49.2,+2:06.3
32,#58,RC3,11:27,+21.9,+31.7,+37.8,+49.7,+1:08.9,+1:31.6,+1:36.1,13:26.0,+1:43.1
33,#61,RC3,11:29,+17.9,+21.7,+26.1,+34.6,+48.6,+1:00.3,+1:03.4,12:50.2,+1:07.3
34,#70,RC3,11:34,+24.1,+31.2,+37.8,+49.2,+1:08.7,+1:29.3,+1:33.8,13:22.0,+1:39.1
35,#64,RC3,11:36,+25.0,+33.3,+41.6,+ 53.5,+1:17.7,+1:46.4,+1:53.1,13:43.1,+2:00.2
36,#68,RC3,11:39,+27.6,+43.1,+55.0,+1:07.7,+1:30.1,+1:58.7,+2:04.2,13:54.7,+2:11.8
37,#66,RC3,11:41,+29.8,+40.8,+48.8,+1:01.9,+1:23.4,+2:18.2,+2:31.8,14:29.5,+2:46.6
38,#59,RC3,11:43,+21.4,+28.3,+34.6,+44.2,+1:02.9,+1:25.6,+1:30.8,13:20.5,+1:37.6
39,#60,RC3,11:45,+29.2,+33.0,+38.4,+45.8,+57.1,+1:09.4,+1:12.4,12:59.8,+1:16.9
40,#72,RC3,11:47,+17.3,+20.3,+26.6,+3:16.1,+3:35.9,+3:57.5,+4:01.8,15:49.3,+4:06.4
41,#71,RC3,11:49,+26.5,+34.1,+41.8,+ 54.5,+1:27.5,+3:02.4,+3:25.9,15:34.3,+3:51.4
42,#75,RC3,12:08,+18.8,+23.1,+30.5,+38.3,+54.2,+1:14.6,+1:19.6,13:08.5,+1:25.6
