1,#29,RC2,13:15,2:32.1,4:23.7,5:01.0,6:12.7,8:15.9,11:04.8,11:36.3,12:14.5,
2,#21,RC2,13:28,-5.8,-10.4,-13.5,+1:41.7,-21.5,-31.4,-,11:40.3,-34.1
3,#28,RC2,13:30,-8.8,-16.8,-21.3,-24.8,-34.3,-42.4,-44.3,11:26.8,-47.6
4,#20,RC2,13:32,-5.1,-11.2,-15.0,-16.4,-23.7,-23.3,-20.3,11:55.3,-19.2
5,#18,RC1,13:35,-12.9,-26.1,-32.1,-38.9,-55.7,-1:04.6,-1:04.3,11:09.7,-1:04.7
6,#16,RC1,13:38,-16.5,-31.0,-37.6,-44.9,-1:02.7,-1:21.2,-1:25.1,10:43.8,-1:30.6
7,#33,RC1,13:41,-13.8,-25.9,-31.6,-38.2,-55.4,-1:11.6,-1:15.5,10:54.6,-1:19.9
8,#8,RC1,14:25,-16.4,-30.8,-38.0,-45.8,-1:03.1,-1:22.1,-1:26.0,10:44.8,-1:29.6
9,#6,RC1,14:29,-10.9,-21.2,-25.9,-31.2,-43.9,-54.8,-57.1,11:14.7,-59.7
10,#11,RC1,14:37,-14.5,-26.5,-32.5,-38.7,-53.0,-1:07.3,-1:10.3,11:01.2,-1:13.2
11,#19,RC1,14:40,+1.0,-2.0,-0.8,+1.6,+2.0,+8.6,+10.5,12:24.9,+10.4
12,#30,RC2,14:45,+1.8,-0.8,-2.3,-2.7,-8.7,-5.3,-6.4,12:07.6,-6.8
13,#25,RC2,14:43,+2:19.8,+2:31.4,+57:23.1,+57:58.8,+58:53.3,+1:00:16.9,+ 1:00:34.1,1:13:07.0,+1:00:52.4
14,#26,RC2,14:47,-0.6,-6.2,-9.3,-11.0,-16.8,-17.8,-19.3,11:53.4,-21.1
15,#17,RC1,14:33,+16:34.0,+17:25.8,+ 17:46.3,+18:21.9,+19:20.5,+20:53.8,+21:11.3,33:43.3,+21:28.8
16,#32,RC2,14:49,+35.0,+42.7,+42.3,+42.7,+40.9,+41.4,+42.1,12:55.5,+40.9
17,#24,RC2,14:51,-1.3,-6.0,-6.0,+2:09.9,+2:21.4,+2:39.6,+2:44.0,14:58.9,+2:44.4
18,#40,RC2,14:53,+8.1,+8.3,+9.1,+13.6,+14.5,+34.8,+36.5,12:51.8,+37.2
19,#35,RC2,14:55,+6.0,+7.4,+9.3,+12.5,+14.8,+19.7,+20.2,12:34.7,+20.1
20,#45,RC2,14:57,+16.1,+23.6,+30.3,+39.2,+53.2,+1:09.8,+1:14.3,13:32.5,+1:18.0
21,#44,RC2,14:59,+10.7,+14.4,+ 16.6,+20.3,+25.0,+35.6,+38.1,12:52.6,+38.1
22,#23,RC2,15:04,-5.4,-12.6,-16.8,-20.5,-29.4,-11.3,-5.2,12:15.0,+0.5
23,#22,RC2,15:02,+2:42.2,+2:49.2,+2:52.2,+2:55.9,+3:00.3,+3:12.2,+3:14.5,15:30.4,+3:15.9
24,#46,RC2,15:08,+23.6,+37.1,+47.5,+1:02.0,+1:30.9,+2:05.5,+2:12.1,14:32.8,+2:18.3
25,#48,RC2,15:10,+17.0,+25.2,+31.3,+41.2,+1:00.3,+1:23.7,+ 1:29.0,13:46.5,+1:32.0
26,#36,RC2,15:12,+22.1,+27.4,+33.2,+40.6,+52.9,+1:09.5,+1:14.0,13:31.3,+1:16.8
27,#41,RC2,15:14,+13.8,+19.9,+24.9,+33.2,+41.9,+56.8,+59.2,-,-
28,#50,RC2,15:16,+18.7,+28.0,+36.3,+47.8,+1:07.7,+1:34.4,+ 1:40.0,13:59.0,+1:44.5
29,#49,RC2,15:18,+22.6,+30.2,+37.5,+47.3,+1:02.5,+1:19.8,+ 1:25.3,13:44.3,+1:29.8
30,#47,RC2,15:20,+22.3,+38.2,+45.4,+57.5,+1:21.0,+1:49.5,+1:57.3,14:23.4,+2:08.9
31,#63,RC3,15:24,+15.8,+27.8,+35.2,+44.1,+57.1,+1:18.3,+ 1:22.6,13:41.9,+1:27.4
32,#58,RC3,15:26,+10.2,+15.3,+17.7,+22.3,+26.9,+42.4,+49.4,13:11.7,+57.2
33,#61,RC3,15:28,+5.0,+5.9,+5.8,+8.2,+9.5,+27.5,+31.5,12:49.5,+35.0
34,#70,RC3,15:30,+8.5,+8.8,+9.3,+13.3,+14.0,+33.4,+42.1,13:05.8,+51.3
35,#68,RC3,15:34,+12.5,+24.4,+31.7,+39.5,+49.9,+1:11.7,+1:16.5,13:35.4,+1:20.9
36,#64,RC3,15:32,+2:46.8,+2:55.6,+3:00.9,+3:08.3,+3:20.1,+3:39.3,+3:44.4,16:03.2,+3:48.7
37,#66,RC3,15:36,+8.4,+12.0,+12.7,+17.6,+20.8,+36.0,+39.6,12:56.7,+42.2
