Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,3,Breen  Craig  /  Fulton  James  Hyundai i20 N Rally2,RC2,00:07:07.3,81.22 0.00,00:00:00.0 00:00:00.0,6
2,38,Heikkilä  Mikko  /  Vaaleri  Samu  Škoda Fabia Rally2 Evo,RC2,00:07:15.2,79.74 0.82,00:00:07.9 00:00:07.9,6
3,2,Paddon  Hayden  /  Kennard  John  Hyundai i20 N Rally2,RC2,00:07:15.8,79.63 0.88,00:00:08.5 00:00:00.6,6
4,24,Linnamäe  Georg  /  Morgan  James  Hyundai i20 N Rally2,RC2,00:07:16.1,79.58 0.91,00:00:08.8 00:00:00.3,6
5,5,Østberg  Mads  /  Barth  Patrik  Citroën C3 Rally2,RC2,00:07:18.5,79.14 1.16,00:00:11.2 00:00:02.4,6
6,12,Araújo  Armindo  /  Ramalho  Luís  Škoda Fabia Rally2 Evo,RC2,00:07:21.5,78.60 1.47,00:00:14.2 00:00:03.0,6
7,31,Csomós  Miklós  /  Nagy  Attila  Škoda Fabia Rally2 Evo,RC2,00:07:21.8,78.55 1.50,00:00:14.5 00:00:00.3,6
8,18,McErlean  Joshua  /  Hoy  Brian  Hyundai i20 N Rally2,RC2,00:07:23.1,78.32 1.64,00:00:15.8 00:00:01.3,6
9,20,Cais  Erik  /  Bacigál  Igor  Škoda Fabia RS Rally2,RC2,00:07:23.5,78.25 1.68,00:00:16.2 00:00:00.4,6
10,19,Franceschi  M.  /  Escartefigue  J.  Škoda Fabia R5,RC2,00:07:23.7,78.22 1.70,00:00:16.4 00:00:00.2,6
11,7,Bonato  Yoann  /  Boulloud  B.  Citroën C3 Rally2,RC2,00:07:24.2,78.13 1.75,00:00:16.9 00:00:00.5,6
12,15,Sesks  M.  /  Francis  Renārs  Škoda Fabia RS Rally2,RC2,00:07:24.7,78.04 1.80,00:00:17.4 00:00:00.5,6
13,25,Virves  Robert  /  Magalhães  Hugo  Ford Fiesta R5 MkII,RC2,00:07:25.0,77.99 1.84,00:00:17.7 00:00:00.3,6
14,1,Llarena  Efrén  /  Fernandez  Sara  Škoda Fabia RS Rally2,RC2,00:07:25.5,77.90 1.89,00:00:18.2 00:00:00.5,6
15,29,Marczyk  Miko  /  Gospodarczyk  S.  Škoda Fabia RS Rally2,RC2,00:07:26.7,77.69 2.01,00:00:19.4 00:00:01.2,6
16,33,Tidemand  Pontus  /  Thulin  Julia  Ford Fiesta R5 MkII,RC2,00:07:27.0,77.64 2.04,00:00:19.7 00:00:00.3,6
17,8,Tempestini  S.  /  Itu  Sergiu  Škoda Fabia Rally2 Evo,RC2,00:07:27.2,77.60 2.06,00:00:19.9 00:00:00.2,6
18,36,Mabellini  A.  /  Lenzi  Virginia  Škoda Fabia Rally2 Evo,RC2,00:07:27.6,77.53 2.11,00:00:20.3 00:00:00.4,6
19,32,Zaldivar  F.  /  Der Ohannesian  M.  Hyundai i20 N Rally2,RC2,00:07:27.7,77.52 2.12,00:00:20.4 00:00:00.1,6
20,9,Campedelli  S.  /  Canton  Tania  Škoda Fabia Rally2 Evo,RC2,00:07:29.9,77.14 2.34,00:00:22.6 00:00:02.2,6
21,10,Battistolli  A.  /  Scattolin  S.  Škoda Fabia Rally2 Evo,RC2,00:07:32.1,76.76 2.57,00:00:24.8 00:00:02.2,6
22,45,Margaillan  M.  /  Margaillan  M.  Škoda Fabia Rally2 Evo,RC2,00:07:32.8,76.64 2.65,00:00:25.5 00:00:00.7,6
23,27,Correia  Miguel  /  Carvalho  Jorge  Škoda Fabia Rally2 Evo,RC2,00:07:34.3,76.39 2.80,00:00:27.0 00:00:01.5,6
24,11,Wagner  Simon  /  Winter  Gerald  Škoda Fabia RS Rally2,RC2,00:07:36.2,76.07 3.00,00:00:28.9 00:00:01.9,6
25,34,Teodósio  R.  /  Teixeira  José  Hyundai i20 N Rally2,RC2,00:07:42.5,75.04 3.65,00:00:35.2 00:00:06.3,6
26,40,Armstrong  Jon  /  Browne  Andrew  Ford Fiesta Rally3,RC3,00:07:44.6,74.70 3.87,00:00:37.3 00:00:02.1,6
