0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,,1,2,3,4,6,7,10,11,12,13,14,15,16,17
No.,Crew,Group,Race,,,,,,,,,,,,,,
1,Llarena  E,RC2,Portugal,20,15,15,16,14,7,13,10,12,18,9,9,15,10
2,Paddon  Ha,RC2,Portugal,4,3,3,7,3,2,1,4,3,2,2,2,4,2
3,Breen  Cra,RC2,Portugal,9,20,1,2,1,44,3,1,1,1,11,7,2,1
4,Kristensso,RC2,Portugal,7,9,12,18,36,7,8,9,2,15,10,12,12,9
5,Østberg  M,RC2,Portugal,22,1,5,1,5,3,9,7,14,3,3,8,8,6
6,Ragues  Pi,RC3,Portugal,41,44,37,40,40,35,41,38,40,29,33,32,31,31
7,Bonato  Yo,RC2,Portugal,26,14,14,15,11,7,12,4,8,17,8,10,9,13
8,Tempestini,RC2,Portugal,4,16,13,28,17,7,5,14,7,4,12,18,16,20
9,Campedelli,RC2,Portugal,25,6,48,11,20,7,15,19,16,10,13,14,11,14
10,Battistoll,RC2,Portugal,13,22,23,30,21,7,-,-,-,-,-,-,-,-
11,Wagner  Si,RC2,Portugal,16,12,20,26,24,7,20,24,26,25,21,17,20,16
12,Araújo  Ar,RC2,Portugal,17,12,9,10,6,-,-,-,-,-,-,-,-,-
14,Fontes  J.,RC2,Portugal,35,41,32,36,28,7,28,15,21,22,19,22,21,22
15,Sesks  M. ,RC2,Portugal,28,2,11,6,12,4,2,49,9,5,1,6,7,5
16,Mareš  Fil,RC2,Portugal,6,37,50,48,48,45,25,17,19,19,43,11,16,12
17,Jeets  Gre,RC2,Portugal,38,19,50,48,48,45,32,20,27,29,25,29,-,-
18,McErlean  ,RC2,Portugal,22,28,16,19,8,43,18,15,13,29,16,16,10,15
19,Franceschi,RC2,Portugal,20,23,8,9,10,37,7,12,18,10,14,15,18,7
20,Cais  Erik,RC2,Portugal,2,7,10,14,9,7,17,37,-,-,-,-,-,-
21,O'Brien  P,RC2,Portugal,31,25,27,29,29,7,30,25,29,27,27,26,23,23
22,Allen  Phi,RC2,Portugal,28,48,53,48,48,45,49,31,33,29,30,42,26,26
23,Cuzma  Bog,RC2,Portugal,43,40,36,35,38,7,38,36,38,29,31,31,32,30
24,Linnamäe  ,RC2,Portugal,13,10,4,4,4,6,11,8,9,9,6,5,6,3
25,Virves  Ro,RC2,Portugal,28,8,46,12,13,7,10,3,5,6,7,1,1,4
26,Somaschini,RC2,Portugal,40,43,38,39,39,7,39,39,41,29,42,38,37,34
27,Correia  M,RC2,Portugal,32,26,21,22,23,7,23,18,21,24,15,19,19,17
28,Nucita  An,RC2,Portugal,24,35,28,17,30,7,33,21,28,23,-,-,-,-
29,Marczyk  M,RC2,Portugal,3,24,7,5,15,5,5,6,4,12,20,12,13,8
30,László  Ma,RC2,Portugal,34,27,31,34,34,7,36,34,31,-,-,-,-,-
31,Csomós  Mi,RC2,Portugal,12,30,6,8,7,34,14,35,15,7,5,3,3,19
32,Zaldivar  ,RC2,Portugal,10,11,19,21,19,7,23,13,6,13,-,-,-,-
33,Tidemand  ,RC2,Portugal,13,5,22,13,16,7,19,26,23,16,22,23,22,11
34,Teodósio  ,RC2,Portugal,1,33,24,31,25,7,15,41,24,21,17,21,13,29
35,Sousa  Ber,RC2,Portugal,17,29,17,24,35,45,26,28,-,-,-,-,-,-
36,Mabellini ,RC2,Portugal,26,17,18,20,18,7,21,11,17,8,32,-,-,-
37,Meireles  ,RC2,Portugal,17,31,50,48,48,45,-,-,-,29,-,-,-,-
38,Heikkilä  ,RC2,Portugal,7,4,2,3,2,1,4,2,11,14,3,4,5,40
39,Simões  Lu,RC2,Portugal,36,36,33,32,33,7,34,27,32,29,28,28,29,27
40,Armstrong ,RC3,Portugal,44,17,26,25,26,35,27,22,25,26,23,24,23,21
41,Jocz  Tymo,RC4,Portugal,50,46,41,42,44,50,44,44,42,29,37,36,36,36
42,Daprà  Rob,RC4,Portugal,46,47,39,44,43,38,42,43,37,29,35,34,34,32
43,Mesquita  ,RC4,Portugal,49,53,45,46,45,38,-,-,-,29,-,-,-,-
44,Kreuter  N,RC4,Portugal,51,52,47,52,52,50,48,47,47,29,41,41,41,39
45,Margaillan,RC2,Portugal,32,32,25,23,22,7,21,22,20,20,18,20,25,18
46,Almeida  P,RC2,Portugal,11,34,29,33,31,7,29,29,30,29,26,25,27,24
47,Kołtun  J.,RC2,Portugal,42,39,34,38,32,7,37,33,35,29,-,-,-,-
49,Neto  Paul,RC2,Portugal,37,38,35,37,37,7,35,32,36,29,29,30,30,28
50,Villanueva,RC2,Portugal,39,21,30,27,27,7,31,30,34,28,24,27,28,25
51,Caldeira  ,RC2,Portugal,44,51,42,47,46,7,47,42,43,29,38,37,39,35
52,Nõgene  J.,RC4,Portugal,47,45,49,52,52,50,40,39,39,29,34,33,33,-
53,Strabello ,RC4,Portugal,53,50,44,43,47,38,46,46,46,29,40,39,38,38
54,Cunha  Ern,RC4,Portugal,48,42,40,41,41,38,43,48,44,29,36,35,35,33
55,Muñoz  Pat,RC4,Portugal,52,49,43,45,42,38,45,45,45,29,39,40,40,37
