0,,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
ss,,,,1,2,3,4,6,7,10,11,12,13,14,15,16,17
No.,Crew,Group,Race,,,,,,,,,,,,,,
1,Llarena  E,RC2,Portugal,00:01:31.1,00:07:36.7,00:11:44.0,00:07:45.5,00:07:25.5,00:11:43.9,00:05:37.0,00:06:56.0,00:06:20.7,00:09:52.6,00:05:30.6,00:06:43.1,00:06:18.1,00:09:38.4
2,Paddon  Ha,RC2,Portugal,00:01:29.5,00:07:29.9,00:11:22.8,00:07:21.0,00:07:15.8,00:11:22.6,00:05:30.1,00:06:52.2,00:06:16.7,00:09:40.4,00:05:26.4,00:06:39.1,00:06:11.1,00:09:23.7
3,Breen  Cra,RC2,Portugal,00:01:29.9,00:07:39.8,00:11:16.4,00:07:07.6,00:07:07.3,00:14:06.5,00:05:31.3,00:06:47.5,00:06:11.6,00:09:36.8,00:05:32.1,00:06:42.4,00:06:08.7,00:09:23.1
4,Kristensso,RC2,Portugal,00:01:29.7,00:07:33.0,00:11:36.0,00:07:48.0,00:08:09.7,00:11:43.9,00:05:33.7,00:06:54.8,00:06:15.4,00:09:51.8,00:05:30.8,00:06:45.6,00:06:16.5,00:09:36.0
5,Østberg  M,RC2,Portugal,00:01:31.3,00:07:25.8,00:11:23.8,00:07:05.3,00:07:18.5,00:11:23.9,00:05:34.4,00:06:53.5,00:06:22.3,00:09:40.5,00:05:26.5,00:06:42.6,00:06:14.1,00:09:29.6
6,Ragues  Pi,RC3,Portugal,00:01:36.6,00:08:35.5,00:13:18.3,00:08:57.6,00:08:29.4,00:12:12.9,00:06:20.9,00:07:48.2,00:07:07.3,00:10:12.3,00:06:12.8,00:07:26.6,00:06:49.9,00:10:45.1
7,Bonato  Yo,RC2,Portugal,00:01:31.7,00:07:35.1,00:11:42.6,00:07:45.3,00:07:24.2,00:11:43.9,00:05:36.9,00:06:52.2,00:06:19.7,00:09:52.5,00:05:30.3,00:06:43.6,00:06:14.4,00:09:40.7
8,Tempestini,RC2,Portugal,00:01:29.5,00:07:38.3,00:11:42.1,00:08:11.3,00:07:27.2,00:11:43.9,00:05:33.0,00:07:01.2,00:06:19.4,00:09:40.6,00:05:32.9,00:06:49.6,00:06:18.7,00:09:52.1
9,Campedelli,RC2,Portugal,00:01:31.6,00:07:31.3,00:15:25.6,00:07:39.0,00:07:29.9,00:11:43.9,00:05:39.5,00:07:05.8,00:06:25.3,00:09:48.2,00:05:33.2,00:06:46.2,00:06:15.2,00:09:40.9
10,Battistoll,RC2,Portugal,00:01:30.8,00:07:41.1,00:11:59.4,00:08:18.4,00:07:32.1,00:11:43.9,-,-,-,-,-,-,-,-
11,Wagner  Si,RC2,Portugal,00:01:30.9,00:07:34.7,00:11:55.9,00:08:04.3,00:07:36.2,00:11:43.9,00:05:42.7,00:07:12.2,00:06:32.1,00:10:02.0,00:05:40.4,00:06:49.0,00:06:22.4,00:09:48.1
12,Araújo  Ar,RC2,Portugal,00:01:31.0,00:07:34.7,00:11:31.3,00:07:35.7,00:07:21.5,-,-,-,-,-,-,-,-,-
14,Fontes  J.,RC2,Portugal,00:01:34.0,00:08:08.8,00:12:30.4,00:08:42.3,00:07:49.5,00:11:43.9,00:05:47.0,00:07:03.4,00:06:28.3,00:09:58.8,00:05:37.8,00:06:54.1,00:06:23.2,00:09:53.1
15,Sesks  M. ,RC2,Portugal,00:01:32.0,00:07:28.3,00:11:32.7,00:07:19.8,00:07:24.7,00:11:24.6,00:05:30.6,00:09:33.7,00:06:19.8,00:09:43.4,00:05:26.3,00:06:41.9,00:06:13.5,00:09:28.3
16,Mareš  Fil,RC2,Portugal,00:01:29.6,00:08:02.9,00:21:16.4,00:17:05.3,00:17:07.3,00:21:21.9,00:05:44.2,00:07:05.0,00:06:26.7,00:09:53.4,00:09:31.9,00:06:45.3,00:06:18.7,00:09:39.3
17,Jeets  Gre,RC2,Portugal,00:01:35.8,00:07:39.4,00:21:16.4,00:17:05.3,00:17:07.3,00:21:21.9,00:05:49.5,00:07:06.3,00:06:32.6,00:10:12.3,00:05:43.1,00:07:09.4,-,-
18,McErlean  ,RC2,Portugal,00:01:31.3,00:07:44.9,00:11:49.9,00:07:48.5,00:07:23.1,00:13:45.9,00:05:40.9,00:07:03.4,00:06:20.8,00:10:12.3,00:05:36.1,00:06:47.3,00:06:14.5,00:09:42.7
19,Franceschi,RC2,Portugal,00:01:31.1,00:07:41.2,00:11:29.3,00:07:27.1,00:07:23.7,00:13:33.9,00:05:33.2,00:06:59.5,00:06:26.6,00:09:48.2,00:05:33.3,00:06:46.8,00:06:19.4,00:09:33.1
20,Cais  Erik,RC2,Portugal,00:01:28.1,00:07:31.5,00:11:31.7,00:07:45.1,00:07:23.5,00:11:43.9,00:05:40.3,00:07:47.0,-,-,-,-,-,-
21,O'Brien  P,RC2,Portugal,00:01:32.6,00:07:43.4,00:12:10.1,00:08:14.1,00:07:53.8,00:11:43.9,00:05:48.3,00:07:13.7,00:06:36.2,00:10:08.2,00:05:49.0,00:07:04.1,00:06:28.9,00:09:58.6
22,Allen  Phi,RC2,Portugal,00:01:32.0,00:08:51.0,00:46:11.3,00:17:05.3,00:17:07.3,00:21:21.9,00:07:34.5,00:07:27.8,00:06:43.5,00:10:12.3,00:05:56.8,00:08:44.8,00:06:30.2,00:10:16.0
23,Cuzma  Bog,RC2,Portugal,00:01:37.2,00:08:04.5,00:13:00.6,00:08:34.4,00:08:10.8,00:11:43.9,00:06:08.1,00:07:40.4,00:07:03.9,00:10:12.3,00:06:01.3,00:07:26.3,00:06:53.6,00:10:37.0
24,Linnamäe  ,RC2,Portugal,00:01:30.8,00:07:33.4,00:11:22.9,00:07:09.9,00:07:16.1,00:11:32.6,00:05:35.5,00:06:53.8,00:06:19.8,00:09:46.4,00:05:27.4,00:06:41.7,00:06:12.5,00:09:26.0
25,Virves  Ro,RC2,Portugal,00:01:32.0,00:07:32.1,00:14:32.7,00:07:40.2,00:07:25.0,00:11:43.9,00:05:34.7,00:06:50.6,00:06:18.2,00:09:44.8,00:05:27.5,00:06:36.3,00:06:08.5,00:09:27.4
26,Somaschini,RC2,Portugal,00:01:36.5,00:08:23.2,00:13:22.1,00:08:56.1,00:08:21.8,00:11:43.9,00:06:11.0,00:07:48.6,00:07:16.9,00:10:12.3,00:07:15.2,00:07:54.3,00:07:18.0,00:11:02.2
27,Correia  M,RC2,Portugal,00:01:32.7,00:07:43.5,00:11:56.4,00:07:53.5,00:07:34.3,00:11:43.9,00:05:43.7,00:07:05.1,00:06:28.3,00:09:59.0,00:05:35.6,00:06:50.3,00:06:21.5,00:09:48.7
28,Nucita  An,RC2,Portugal,00:01:31.5,00:07:54.7,00:12:12.2,00:07:47.0,00:07:54.3,00:11:43.9,00:05:51.4,00:07:10.6,00:06:32.8,00:09:58.9,-,-,-,-
29,Marczyk  M,RC2,Portugal,00:01:29.2,00:07:41.7,00:11:27.9,00:07:11.3,00:07:26.7,00:11:30.6,00:05:33.0,00:06:53.0,00:06:17.4,00:09:48.6,00:05:38.1,00:06:45.6,00:06:17.7,00:09:33.9
30,László  Ma,RC2,Portugal,00:01:33.5,00:07:43.8,00:12:25.9,00:08:29.1,00:08:06.7,00:11:43.9,00:06:01.6,00:07:33.0,00:06:38.7,-,-,-,-,-
31,Csomós  Mi,RC2,Portugal,00:01:30.6,00:07:47.7,00:11:27.3,00:07:24.4,00:07:21.8,00:12:07.9,00:05:37.3,00:07:39.6,00:06:23.4,00:09:45.1,00:05:27.0,00:06:39.5,00:06:09.5,00:09:49.7
32,Zaldivar  ,RC2,Portugal,00:01:30.2,00:07:33.5,00:11:53.3,00:07:51.6,00:07:27.7,00:11:43.9,00:05:43.7,00:07:00.1,00:06:19.3,00:09:49.0,-,-,-,-
33,Tidemand  ,RC2,Portugal,00:01:30.8,00:07:31.1,00:11:59.2,00:07:44.8,00:07:27.0,00:11:43.9,00:05:41.6,00:07:14.5,00:06:28.7,00:09:52.1,00:05:41.3,00:06:55.6,00:06:24.2,00:09:38.7
34,Teodósio  ,RC2,Portugal,00:01:27.9,00:07:53.3,00:11:59.7,00:08:23.9,00:07:42.5,00:11:43.9,00:05:39.5,00:07:49.2,00:06:31.0,00:09:57.7,00:05:37.0,00:06:50.9,00:06:17.7,00:10:25.1
35,Sousa  Ber,RC2,Portugal,00:01:31.0,00:07:47.2,00:11:50.9,00:07:55.9,00:08:07.6,00:21:21.9,00:05:44.7,00:07:15.0,-,-,-,-,-,-
36,Mabellini ,RC2,Portugal,00:01:31.7,00:07:38.4,00:11:51.4,00:07:48.7,00:07:27.6,00:11:43.9,00:05:42.8,00:06:58.4,00:06:25.5,00:09:46.0,00:06:03.0,-,-,-
37,Meireles  ,RC2,Portugal,00:01:31.0,00:07:49.3,00:21:16.4,00:17:05.3,00:17:07.3,00:21:21.9,-,-,-,00:10:12.3,-,-,-,-
38,Heikkilä  ,RC2,Portugal,00:01:29.7,00:07:30.6,00:11:17.9,00:07:09.1,00:07:15.2,00:11:21.9,00:05:31.7,00:06:49.9,00:06:20.2,00:09:50.2,00:05:26.5,00:06:40.6,00:06:11.3,00:12:07.9
