,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,6,7,10,11,12,13,14,15,16,17
No,Crew,Gr/Cl,,,,,,,,,,,,,,
#1,Llarena Efrén - Fernández Sara Škoda Fabia RS Rally2,RC2,1:31.1,7:36.7,11:44.0,7:45.5,7:25.5,11:43.9 [N],5:37.0,6:56.0,6:20.7,9:52.6,5:30.6,6:43.1,6:18.1,9:38.4
#10,Battistolli Alberto - Scattolin S. Škoda Fabia Rally2 evo,RC2,1:30.8,7:41.1,11:59.4,8:18.4,7:32.1,11:43.9 [N],-,-,-,-,-,-,-,-
#11,Wagner Simon - Winter Gerald Škoda Fabia RS Rally2,RC2,1:30.9,7:34.7,11:55.9,8:04.3,7:36.2,11:43.9 [N],5:42.7,7:12.2,6:32.1,10:02.0,5:40.4,6:49.0,6:22.4,9:48.1
#12,Araújo Armindo - Ramalho Luís Škoda Fabia Rally2 evo,RC2,1:31.0,7:34.7,11:31.3,7:35.7,7:21.5,-,-,-,-,-,-,-,-,-
#14,Fontes José Pedro - Ponte Inês Citroën C3 Rally2,RC2,1:34.0,8:08.8,12:30.4,8:42.3,7:49.5,11:43.9 [N],5:47.0,7:03.4,6:28.3,9:58.8,5:37.8,6:54.1,6:23.2,9:53.1
#15,Sesks Mārtiņš - Francis Renārs Škoda Fabia RS Rally2,RC2,1:32.0,7:28.3,11:32.7,7:19.8,7:24.7,11:24.6,5:30.6,9:33.7,6:19.8,9:43.4,5:26.3,6:41.9,6:13.5,9:28.3
#16,Mareš Filip - Bucha Radovan Škoda Fabia Rally2 evo,RC2,1:29.6,8:02.9,-,-,-,-,5:44.2,7:05.0,6:26.7,9:53.4,9:31.9,6:45.3,6:18.7,9:39.3
#16,Mareš Filip - Bucha Radovan Škoda Fabia Rally2 evo  [SR],RC2,-,-,21:16.4 [N],17:05.3 [N],17:07.3 [N],21:21.9 [N],-,-,-,-,-,-,-,-
#17,Jeets Gregor - Taniel Timo Škoda Fabia Rally2 evo,RC2,1:35.8,7:39.4,-,-,-,-,5:49.5,7:06.3,6:32.6,10:12.3 [N],5:43.1,7:09.4,-,-
#17,Jeets Gregor - Taniel Timo Škoda Fabia Rally2 evo  [SR],RC2,-,-,21:16.4 [N],17:05.3 [N],17:07.3 [N],21:21.9 [N],-,-,-,-,-,-,-,-
#18,McErlean Josh - Hoy Brian Hyundai i20 N Rally2,RC2,1:31.3,7:44.9,11:49.9,7:48.5,7:23.1,13:45.9,5:40.9,7:03.4,6:20.8,10:12.3 [N],5:36.1,6:47.3,6:14.5,9:42.7
#19,Franceschi M. - Escartefigue J. Škoda Fabia Rally2 evo,RC2,1:31.1,7:41.2,11:29.3,7:27.1,7:23.7,13:33.9,5:33.2,6:59.5,6:26.6,9:48.2,5:33.3,6:46.8,6:19.4,9:33.1
#2,Paddon Hayden - Kennard John Hyundai i20 N Rally2,RC2,1:29.5,7:29.9,11:22.8,7:21.0,7:15.8,11:22.6,5:30.1,6:52.2,6:16.7,9:40.4,5:26.4,6:39.1,6:11.1,9:23.7
#20,Cais Erik - Bacigál Igor Škoda Fabia RS Rally2,RC2,1:28.1,7:31.5,11:31.7,7:45.1,7:23.5,11:43.9 [N],5:40.3,7:47.0,-,-,-,-,-,-
#21,O'Brien Patrick - O'Brien Stephen Škoda Fabia R5,RC2,1:32.6,7:43.4,12:10.1,8:14.1,7:53.8,11:43.9 [N],5:48.3,7:13.7,6:36.2,10:08.2,5:49.0,7:04.1,6:28.9,9:58.6
#22,Allen Philip - Bowen Dale Hyundai i20 N Rally2,RC2,1:32.0,8:51.0,46:11.3,-,-,-,7:34.5,7:27.8,6:43.5,10:12.3 [N],5:56.8,8:44.8,6:30.2,10:16.0
#22,Allen Philip - Bowen Dale Hyundai i20 N Rally2  [SR],RC2,-,-,-,17:05.3 [N],17:07.3 [N],21:21.9 [N],-,-,-,-,-,-,-,-
#23,Cuzma Bogdan - Minor Ilka Škoda Fabia Rally2 evo,RC2,1:37.2,8:04.5,13:00.6,8:34.4,8:10.8,11:43.9 [N],6:08.1,7:40.4,7:03.9,10:12.3 [N],6:01.3 [N],7:26.3,6:53.6,10:37.0
#24,Linnamäe Georg - Morgan James Hyundai i20 N Rally2,RC2,1:30.8,7:33.4,11:22.9,7:09.9,7:16.1,11:32.6,5:35.5,6:53.8,6:19.8,9:46.4,5:27.4,6:41.7,6:12.5,9:26.0
#25,Virves Robert - Magalhães Hugo Ford Fiesta Rally2,RC2,1:32.0,7:32.1,14:32.7,7:40.2,7:25.0,11:43.9 [N],5:34.7,6:50.6,6:18.2,9:44.8,5:27.5,6:36.3,6:08.5,9:27.4
#26,Somaschini Rachele - Arena Nicola Citroën C3 Rally2,RC2,1:36.5,8:23.2,13:22.1,8:56.1,8:21.8,11:43.9 [N],6:11.0,7:48.6,7:16.9,10:12.3 [N],7:15.2,7:54.3,7:18.0,11:02.2
#27,Correia Miguel - Carvalho J. Škoda Fabia Rally2 evo,RC2,1:32.7,7:43.5,11:56.4,7:53.5,7:34.3,11:43.9 [N],5:43.7,7:05.1,6:28.3,9:59.0,5:35.6,6:50.3,6:21.5,9:48.7
#28,Nucita Andrea - De Guio Elia Hyundai i20 N Rally2,RC2,1:31.5,7:54.7,12:12.2 [N],7:47.0,7:54.3,11:43.9 [N],5:51.4,7:10.6,6:32.8,9:58.9,-,-,-,-
#29,Marczyk Mikołaj - Gospodarczyk S. Škoda Fabia RS Rally2,RC2,1:29.2,7:41.7,11:27.9,7:11.3,7:26.7,11:30.6,5:33.0,6:53.0,6:17.4,9:48.6,5:38.1,6:45.6,6:17.7,9:33.9
#3,Breen Craig - Fulton James Hyundai i20 N Rally2,RC2,1:29.9,7:39.8,11:16.4,7:07.6,7:07.3,14:06.5,5:31.3,6:47.5,6:11.6,9:36.8,5:32.1,6:42.4,6:08.7,9:23.1
#30,László Martin - Berendi Dávid Škoda Fabia Rally2 evo,RC2,1:33.5,7:43.8,12:25.9,8:29.1,8:06.7,11:43.9 [N],6:01.6,7:33.0,6:38.7,-,-,-,-,-
#31,Csomós Miklós - Nagy Attila Škoda Fabia Rally2 evo,RC2,1:30.6,7:47.7,11:27.3,7:24.4,7:21.8,12:07.9,5:37.3,7:39.6,6:23.4,9:45.1,5:27.0,6:39.5,6:09.5,9:49.7
#32,Zaldivar F. - Der Ohannesian M. Hyundai i20 N Rally2,RC2,1:30.2,7:33.5,11:53.3,7:51.6,7:27.7,11:43.9 [N],5:43.7,7:00.1,6:19.3,9:49.0,-,-,-,-
#33,Tidemand Pontus - Thulin Julia Ford Fiesta Rally2,RC2,1:30.8,7:31.1,11:59.2,7:44.8,7:27.0,11:43.9 [N],5:41.6,7:14.5,6:28.7,9:52.1,5:41.3,6:55.6,6:24.2,9:38.7
#34,Teodósio Ricardo - Teixeira José Hyundai i20 N Rally2,RC2,1:27.9,7:53.3,11:59.7,8:23.9,7:42.5,11:43.9 [N],5:39.5,7:49.2,6:31.0,9:57.6,5:37.0,6:50.9,6:17.7,10:25.2
#35,Sousa Bernardo - Veiga Inês Citroën C3 Rally2,RC2,1:31.0,7:47.2,11:50.9,7:55.9,8:07.6,21:21.9 [N],5:44.7,7:15.0,7:05.0,-,-,-,-,-
#36,Mabellini Andrea - Lenzi Virginia Škoda Fabia Rally2 evo,RC2,1:31.7,7:38.4,11:51.4,7:48.7,7:27.6,11:43.9 [N],5:42.8,6:58.4,6:25.5,9:46.0,6:03.0,-,-,-
#37,Meireles Pedro - Alves Pedro Hyundai i20 N Rally2,RC2,1:31.0,7:49.3,-,-,-,-,-,-,-,-,-,-,-,-
#37,Meireles Pedro - Alves Pedro Hyundai i20 N Rally2  [SR],RC2,-,-,21:16.4 [N],17:05.3 [N],17:07.3 [N],21:21.9 [N],-,-,-,-,-,-,-,-
#38,Heikkilä Mikko - Vaaleri Samu Škoda Fabia Rally2 evo,RC2,1:29.7,7:30.6,11:17.9,7:09.1,7:15.2,11:21.9,5:31.7,6:49.9,6:20.2,9:50.2,5:26.5,6:40.6,6:11.3,12:07.9
#39,Simões Lucas - Almeida Nuno Ford Fiesta Rally2,RC2,1:34.6,7:56.0,12:32.2,8:24.5,8:01.2,11:43.9 [N],5:55.2,7:14.8,6:41.0,10:12.3 [N],5:52.7,7:06.7,6:46.1,10:17.0
#4,Kristensson Tom - Johansson Andreas Citroën C3 Rally2,RC2,1:29.7,7:33.0,11:36.0,7:48.0,8:09.7,11:43.9,5:33.7,6:54.8,6:15.4,9:51.8,5:30.8,6:45.6,6:16.5,9:36.0
#40,Armstrong Jon - Browne Andrew Ford Fiesta Rally3,RC3,1:37.4,7:38.4,12:07.4,7:59.6,7:44.6,12:12.9 [N],5:46.9,7:10.7,6:31.1,10:03.8,5:41.5,6:58.0,6:28.9,9:52.3
