Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#34,Teodósio Ricardo - Teixeira José Hyundai i20 N Rally2,RC2,1:27.9,,58.6,1
2,#20,Cais Erik - Bacigál Igor Škoda Fabia RS Rally2,RC2,1:28.1,+0.2 +0.2,58.4 0.14,1
3,#29,Marczyk Mikołaj - Gospodarczyk S. Škoda Fabia RS Rally2,RC2,1:29.2,+1.3 +1.1,57.7 0.91,1
4,#2,Paddon Hayden - Kennard John Hyundai i20 N Rally2,RC2,1:29.5,+1.6 +0.3,57.5 1.12,1
4,#8,Tempestini Simone - Itu Sergiu Škoda Fabia Rally2 evo,RC2,1:29.5,+1.6 +0.0,57.5 1.12,1
6,#16,Mareš Filip - Bucha Radovan Škoda Fabia Rally2 evo,RC2,1:29.6,+1.7 +0.1,57.5 1.19,1
7,#4,Kristensson Tom - Johansson Andreas Citroën C3 Rally2,RC2,1:29.7,+1.8 +0.1,57.4 1.26,1
7,#38,Heikkilä Mikko - Vaaleri Samu Škoda Fabia Rally2 evo,RC2,1:29.7,+1.8 +0.0,57.4 1.26,1
9,#3,Breen Craig - Fulton James Hyundai i20 N Rally2,RC2,1:29.9,+2.0 +0.2,57.3 1.40,1
10,#32,Zaldivar F. - Der Ohannesian M. Hyundai i20 N Rally2,RC2,1:30.2,+2.3 +0.3,57.1 1.61,1
11,#46,Almeida Pedro - Castro Mário Škoda Fabia Rally2 evo,RC2,1:30.3,+2.4 +0.1,57.0 1.68,1
12,#31,Csomós Miklós - Nagy Attila Škoda Fabia Rally2 evo,RC2,1:30.6,+2.7 +0.3,56.8 1.89,1
13,#10,Battistolli Alberto - Scattolin S. Škoda Fabia Rally2 evo,RC2,1:30.8,+2.9 +0.2,56.7 2.03,1
13,#24,Linnamäe Georg - Morgan James Hyundai i20 N Rally2,RC2,1:30.8,+2.9 +0.0,56.7 2.03,1
13,#33,Tidemand Pontus - Thulin Julia Ford Fiesta Rally2,RC2,1:30.8,+2.9 +0.0,56.7 2.03,1
16,#11,Wagner Simon - Winter Gerald Škoda Fabia RS Rally2,RC2,1:30.9,+3.0 +0.1,56.6 2.10,1
