Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,1,Paddon  Hayden  /  Kennard  John  Hyundai i20 N Rally2,RC2,00:01:39.8,67.82 0.00,00:00:00.0 00:00:00.0,1
2,24,Nucita  Andrea  /  Pollet  Rudy  Hyundai i20 N Rally2,RC2,00:01:40.2,67.54 0.21,00:00:00.4 00:00:00.4,1
3,18,Wagner  Simon  /  Winter  Gerald  Škoda Fabia RS Rally2,RC2,00:01:40.5,67.34 0.37,00:00:00.7 00:00:00.3,1
4,17,Mareš  Filip  /  Bucha  Radovan  Škoda Fabia Rally2 Evo,RC2,00:01:41.0,67.01 0.64,00:00:01.2 00:00:00.5,1
5,39,Pernía  S.  /  Sánchez  Alba  Hyundai i20 N Rally2,RC2,00:01:41.1,66.94 0.69,00:00:01.3 00:00:00.1,1
6,22,Grzyb  Grzegorz  /  Wróbel  Jakub  Škoda Fabia Rally2 Evo,RC2,00:01:41.2,66.88 0.74,00:00:01.4 00:00:00.1,1
7,36,Solans  Jan  /  Sanjuán  R.  Hyundai i20 N Rally2,RC2,00:01:41.3,66.81 0.80,00:00:01.5 00:00:00.1,1
8,23,László  Martin  /  Berendi  Dávid  Škoda Fabia Rally2 Evo,RC2,00:01:41.4,66.75 0.85,00:00:01.6 00:00:00.1,1
9,2,Østberg  Mads  /  Barth  Patrik  Citroën C3 Rally2,RC2,00:01:41.5,66.68 0.90,00:00:01.7 00:00:00.1,1
10,4,Kristensson  Tom  /  Johansson  A.  Citroën C3 Rally2,RC2,00:01:41.7,66.55 1.01,00:00:01.9 00:00:00.2,1
11,16,Campedelli  S.  /  Canton  Tania  Škoda Fabia Rally2 Evo,RC2,00:01:41.8,66.48 1.06,00:00:02.0 00:00:00.1,1
12,6,Bonato  Yoann  /  Boulloud  B.  Citroën C3 Rally2,RC2,00:01:42.3,66.16 1.33,00:00:02.5 00:00:00.5,1
13,5,Mabellini  A.  /  Lenzi  Virginia  Škoda Fabia Rally2 Evo,RC2,00:01:42.5,66.03 1.44,00:00:02.7 00:00:00.2,1
14,9,Sesks  M.  /  Francis  Renārs  Škoda Fabia RS Rally2,RC2,00:01:42.6,65.96 1.49,00:00:02.8 00:00:00.1,1
14,20,Černý  Jan  /  Černohorský  P.  Hyundai i20 N Rally2,RC2,00:01:42.6,65.96 1.49,00:00:02.8 00:00:00.0,1
16,3,Llarena  Efrén  /  Fernandez  Sara  Škoda Fabia RS Rally2,RC2,00:01:42.8,65.84 1.60,00:00:03.0 00:00:00.2,1
