Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,12,Suárez  J.  /  Iglesias  A.  Škoda Fabia RS Rally2,RC2,00:02:08.218,00:02:08.281,86.76 0.00,00:00:00.000 00:00:00.000,14
2,18,Wagner  Simon  /  Winter  Gerald  Škoda Fabia RS Rally2,RC2,00:02:10.199,00:02:08.250,86.74 0.01,00:00:00.032 00:00:00.032,14
3,1,Paddon  Hayden  /  Kennard  John  Hyundai i20 N Rally2,RC2,00:02:11.597,00:02:08.765,86.39 0.18,00:00:00.547 00:00:00.515,14
4,6,Bonato  Yoann  /  Boulloud  B.  Citroën C3 Rally2,RC2,00:02:09.556,00:02:08.790,86.37 0.19,00:00:00.572 00:00:00.025,14
5,16,Campedelli  S.  /  Canton  Tania  Škoda Fabia Rally2 Evo,RC2,00:02:09.855,00:02:08.818,86.35 0.19,00:00:00.600 00:00:00.028,14
6,19,Suarez  M.  /  Gonzalez  E.  Citroën C3 Rally2,RC2,00:02:10.925,00:02:08.951,86.27 0.24,00:00:00.733 00:00:00.133,14
7,22,Grzyb  Grzegorz  /  Wróbel  Jakub  Škoda Fabia Rally2 Evo,RC2,00:02:10.526,00:02:09.109,86.16 0.29,00:00:00.891 00:00:00.158,14
8,21,Cruz  Enrique  /  Mujica  Yeray  Ford Fiesta Rally2 MkII,RC2,00:02:11.444,00:02:09.130,86.15 0.30,00:00:00.912 00:00:00.021,14
9,8,Csomós  Miklós  /  Nagy  Attila  Škoda Fabia Rally2 Evo,RC2,00:02:11.404,00:02:09.288,86.04 0.35,00:00:01.070 00:00:00.158,14
10,4,Kristensson  Tom  /  Johansson  A.  Citroën C3 Rally2,RC2,00:02:11.781,00:02:09.351,86.00 0.37,00:00:01.133 00:00:00.063,14
11,17,Mareš  Filip  /  Bucha  Radovan  Škoda Fabia Rally2 Evo,RC2,00:02:12.107,00:02:09.392,85.97 0.38,00:00:01.174 00:00:00.041,14
12,5,Mabellini  A.  /  Lenzi  Virginia  Škoda Fabia Rally2 Evo,RC2,00:02:12.744,00:02:09.451,85.93 0.40,00:00:01.233 00:00:00.059,14
13,24,Nucita  Andrea  /  Pollet  Rudy  Hyundai i20 N Rally2,RC2,00:02:12.914,00:02:09.673,85.79 0.47,00:00:01.455 00:00:00.222,14
14,11,Pardo  Javier  /  Pérez  Adrián  Hyundai i20 N Rally2,RC2,00:02:11.661,00:02:10.005,85.57 0.58,00:00:01.787 00:00:00.332,14
15,3,Llarena  Efrén  /  Fernandez  Sara  Škoda Fabia RS Rally2,RC2,00:02:12.973,00:02:10.036,85.55 0.59,00:00:01.818 00:00:00.031,14
16,23,László  Martin  /  Berendi  Dávid  Škoda Fabia Rally2 Evo,RC2,00:02:11.612,00:02:10.058,85.53 0.60,00:00:01.840 00:00:00.022,14
17,15,Ruiloba  Diego  /  Vela  Á.  Citroën C3 Rally2,RC2,00:02:14.845,00:02:10.254,85.40 0.66,00:00:02.036 00:00:00.196,14
18,2,Østberg  Mads  /  Barth  Patrik  Citroën C3 Rally2,RC2,00:02:14.180,00:02:11.060,84.88 0.92,00:00:02.842 00:00:00.806,14
19,27,Allen  Philip  /  Mullen  Darragh  Hyundai i20 N Rally2,RC2,00:02:12.172,00:02:11.550,84.56 1.08,00:00:03.332 00:00:00.490,14
20,9,Sesks  M.  /  Francis  Renārs  Škoda Fabia RS Rally2,RC2,00:02:16.264,00:02:11.727,84.45 1.14,00:00:03.509 00:00:00.177,14
21,10,Franceschi  M.  /  Escartefigue  J.  Škoda Fabia Rally2 Evo,RC2,00:02:14.709,00:02:11.961,84.30 1.21,00:00:03.743 00:00:00.234,14
22,20,Černý  Jan  /  Černohorský  P.  Hyundai i20 N Rally2,RC2,00:02:14.291,00:02:11.977,84.29 1.22,00:00:03.759 00:00:00.016,14
23,7,Heikkilä  Mikko  /  Vaaleri  Samu  Škoda Fabia Rally2 Evo,RC2,00:02:15.773,00:02:12.838,83.74 1.50,00:00:04.620 00:00:00.861,14
24,14,Palomo  Óscar  /  Del Barrio  R.  Hyundai i20 N Rally2,RC2,00:02:15.012,00:02:12.960,83.66 1.53,00:00:04.742 00:00:00.122,14
25,25,Kołtun  J.  /  Pleskot  I.  Ford Fiesta Rally2 MkII,RC2,00:02:18.331,00:02:15.283,82.23 2.29,00:00:07.065 00:00:02.323,14
26,29,Bertolotti  S.  /  Capilli  F.  Citroën C3 Rally2,RC2,00:02:21.076,00:02:16.497,81.50 2.68,00:00:08.279 00:00:01.214,14
27,28,Somaschini  R.  /  Arena  Nicola  Citroën C3 Rally2,RC2,00:02:20.120,00:02:17.288,81.03 2.94,00:00:09.070 00:00:00.791,14
28,26,Cuzma  Bogdan  /  Minor  Ilka  Škoda Fabia Rally2 Evo,RC2,00:02:22.273,00:02:20.636,79.10 4.02,00:00:12.418 00:00:03.348,14
