Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,SS time,SS time,SS time,SS time,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,39,Pernía  S.  /  Sánchez  Alba  Hyundai i20 N Rally2,RC2,00:02:09.400,00:02:08.200,00:02:07.200,,,,87.45 0.00,00:00:00.000 00:00:00.000,15
2,36,Solans  Jan  /  Sanjuán  R.  Hyundai i20 N Rally2,RC2,00:02:10.900,00:02:10.100,00:02:09.000,,,,86.23 0.58,00:00:01.800 00:00:01.800,15
3,41,Fuentes  Sergio  /  Bonilla  Ariday  Citroën C3 Rally2,RC2,00:02:18.700,00:02:15.100,,,,,82.34 2.56,00:00:07.900 00:00:06.100,15
4,30,Armstrong  Jon  /  Fair  Cameron  Ford Fiesta Rally3,RC3,00:02:20.200,00:02:16.600,,,,,81.43 3.04,00:00:09.400 00:00:01.500,15
5,37,Peláez  J.  /  Chamorro  A.  Hyundai i20 N Rally2,RC2,00:02:26.800,00:02:20.000,00:02:17.100,,,,81.14 3.20,00:00:09.900 00:00:00.500,15
6,31,Daprà  Roberto  /  Guglielmetti  L.  Peugeot 208 Rally4,RC4,00:02:23.400,00:02:20.100,,,,,79.40 4.17,00:00:12.900 00:00:03.000,15
7,38,Comas  Marc  /  Romero  Lorena  Škoda Fabia R5,RC2,00:02:26.000,00:02:24.800,00:02:22.100,,,,78.28 4.82,00:00:14.900 00:00:02.000,15
8,45,de la Cruz  J.  /  Cedrés  Jorge  Peugeot 208 Rally4,RC4,00:02:35.000,00:02:26.200,00:02:24.900,00:02:24.000,00:02:22.700,00:02:22.500,78.06 4.95,00:00:15.300 00:00:00.400,15
9,33,Hangodi  B.  /  Bunkoczi  L.  Peugeot 208 Rally4,RC4,00:02:31.300,00:02:24.700,00:02:22.700,,,,77.95 5.02,00:00:15.500 00:00:00.200,15
10,48,Machín  Anibal  /  Díaz  Jordi  Peugeot 208 Rally4,RC4,00:02:35.500,00:02:29.000,00:02:27.200,00:02:24.600,00:02:23.900,,77.30 5.40,00:00:16.700 00:00:01.200,15
11,32,Kreuter  Norman  /  Kvick  Jeannette  Peugeot 208 Rally4,RC4,00:02:33.200,00:02:30.600,00:02:29.500,00:02:27.300,,,75.52 6.50,00:00:20.100 00:00:03.400,15
12,51,Armas  Noé  /  Falcón  A.  Renault Clio Rally5,RC5,00:02:39.200,00:02:33.700,00:02:31.200,00:02:29.200,,,74.56 7.12,00:00:22.000 00:00:01.900,15
13,34,Grillo  A.  /  Bracchi  Enrico  Renault Clio R3,RC4,00:02:38.300,00:02:32.300,00:02:31.600,,,,73.38 7.90,00:00:24.400 00:00:02.400,15
14,58,Mederos  Héctor  /  Fumero  Ruben  Renault Clio Rally5,RC5,00:02:47.400,00:02:41.400,00:02:38.500,,,,70.18 10.13,00:00:31.300 00:00:06.900,15
15,55,Hernández  Z.  /  Hernández  M.  Renault Clio Rally5,RC5,00:02:49.200,00:02:46.600,00:02:43.400,,,,68.08 11.72,00:00:36.200 00:00:04.900,15
