0,,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
No.,Crew,Group,Race,,,,,,,,,,,,,
1,Paddon  Ha,RC2,Canarias,00:01:39.8,00:09:19.2,00:06:10.6,00:11:16.7,00:08:50.4,00:06:09.6,00:11:13.9,00:04:57.8,00:17:46.0,00:07:49.6,00:04:56.8,00:17:30.3,00:08:02.0
2,Østberg  M,RC2,Canarias,00:01:41.5,00:09:00.2,00:06:43.7,00:12:25.8,00:08:50.0,00:06:14.3,00:11:27.3,00:05:01.6,00:17:37.9,00:07:50.8,00:05:13.9,00:17:25.1,00:08:10.6
3,Llarena  E,RC2,Canarias,00:01:42.8,00:08:58.0,00:06:11.0,00:11:28.3,00:08:49.4,00:06:11.0,00:11:22.9,00:05:01.4,00:17:49.8,00:07:53.2,00:04:58.4,00:17:25.2,00:07:57.0
4,Kristensso,RC2,Canarias,00:01:41.7,00:09:29.0,00:06:18.9,00:11:32.3,00:08:54.4,00:06:15.7,00:11:28.6,00:05:03.2,00:17:47.0,00:07:51.8,00:05:04.5,00:17:33.4,00:07:55.9
5,Mabellini ,RC2,Canarias,00:01:42.5,00:09:18.1,00:06:15.1,00:11:29.7,00:08:50.5,00:06:12.1,00:11:25.2,00:05:03.1,00:18:23.4,00:07:52.9,00:04:55.7,00:17:38.2,00:07:46.7
6,Bonato  Yo,RC2,Canarias,00:01:42.3,00:09:18.8,00:06:06.0,00:11:13.7,00:08:46.4,00:06:07.9,00:11:14.1,00:04:56.0,00:17:26.6,00:07:47.5,00:04:56.0,00:17:22.5,00:07:58.0
7,Heikkilä  ,RC2,Canarias,00:01:43.9,00:09:20.8,00:06:18.4,00:11:35.2,00:08:56.7,00:06:16.7,00:11:26.5,00:05:02.6,00:18:07.9,00:07:54.6,00:05:08.2,00:17:48.6,00:08:43.8
8,Csomós  Mi,RC2,Canarias,00:01:43.0,00:09:24.8,00:06:13.2,-,-,-,-,-,-,-,-,-,-
9,Sesks  M. ,RC2,Canarias,00:01:42.6,00:09:09.1,00:06:18.3,00:11:33.7,00:08:54.2,00:06:16.8,00:11:29.3,00:05:02.0,00:17:47.3,00:07:55.5,00:04:59.7,00:17:30.8,00:07:50.3
10,Franceschi,RC2,Canarias,00:01:43.9,00:09:03.0,00:06:13.0,00:11:31.2,00:08:49.4,00:06:10.2,00:11:22.0,00:05:02.8,00:17:51.3,00:07:52.9,00:04:57.8,00:17:31.6,00:08:21.2
11,Pardo  Jav,RC2,Canarias,00:01:44.2,00:09:08.9,00:06:14.0,00:11:25.8,00:08:54.9,00:06:12.3,00:11:20.5,00:05:00.2,00:20:10.0,-,-,-,-
12,Suárez  J.,RC2,Canarias,00:01:50.8,00:09:17.8,00:06:12.9,00:11:28.2,00:08:48.0,00:06:10.8,00:11:25.4,00:04:57.8,00:17:42.2,00:08:06.7,00:04:57.7,00:17:44.1,00:07:53.2
14,Palomo  Ós,RC2,Canarias,00:01:46.9,00:09:14.6,00:06:19.8,00:11:40.5,00:08:57.0,00:06:14.4,00:11:31.0,00:05:08.2,00:17:54.4,00:07:57.8,00:05:11.1,00:17:35.2,-
15,Ruiloba  D,RC2,Canarias,00:01:45.7,00:09:20.0,00:06:13.5,00:11:28.6,00:08:54.1,00:06:08.9,00:11:21.1,00:05:01.8,00:18:21.3,00:07:57.9,00:05:10.4,-,-
16,Campedelli,RC2,Canarias,00:01:41.8,00:09:31.1,00:06:12.3,00:11:25.1,00:08:49.0,00:06:09.8,00:11:23.8,00:05:00.1,00:17:58.7,00:07:51.1,00:04:56.6,00:17:27.7,-
17,Mareš  Fil,RC2,Canarias,00:01:41.0,00:09:28.8,00:06:14.7,00:11:30.9,00:08:53.0,00:06:12.9,00:11:23.9,00:05:03.4,00:17:49.8,00:08:03.8,00:04:58.7,00:17:38.4,00:07:52.5
18,Wagner  Si,RC2,Canarias,00:01:40.5,00:09:20.0,00:06:17.9,00:11:32.7,00:08:52.6,00:06:12.9,00:11:30.2,00:04:59.2,00:17:50.9,00:07:54.8,00:04:57.2,00:17:22.1,00:07:47.8
19,Suarez  M.,RC2,Canarias,00:01:46.0,00:09:22.3,00:06:13.8,00:11:24.2,00:08:56.3,00:06:14.1,00:11:27.5,00:05:03.3,00:18:20.7,00:07:58.0,00:05:02.8,00:17:48.3,00:08:06.3
20,Černý  Jan,RC2,Canarias,00:01:42.6,00:09:12.1,00:06:15.5,00:11:30.1,00:08:56.9,00:06:14.4,00:11:27.6,00:05:02.9,00:18:06.3,00:07:55.8,00:05:00.6,00:17:50.2,00:08:22.1
21,Cruz  Enri,RC2,Canarias,00:01:49.2,00:09:04.2,00:06:14.6,00:11:26.5,00:12:39.3,00:08:53.4,00:21:13.9,-,-,-,-,-,-
22,Grzyb  Grz,RC2,Canarias,00:01:41.2,00:09:22.9,00:06:14.8,00:11:32.0,00:08:54.1,00:06:12.0,00:11:24.4,00:05:01.1,00:17:49.6,00:07:59.1,00:04:58.1,00:17:49.5,00:07:49.9
23,László  Ma,RC2,Canarias,00:01:41.4,00:09:15.9,00:06:18.7,00:11:37.1,00:09:00.0,00:06:16.1,00:11:33.2,00:05:04.2,00:17:48.5,00:07:57.1,00:05:08.5,00:17:33.9,00:08:24.5
24,Nucita  An,RC2,Canarias,00:01:40.2,00:09:01.5,00:06:14.5,00:11:29.6,00:08:53.6,00:06:12.8,00:11:24.3,00:05:03.0,00:17:54.0,00:07:54.5,00:04:59.0,00:17:44.3,00:07:49.4
25,Kołtun  J.,RC2,Canarias,00:01:47.4,00:09:19.8,00:06:23.9,00:11:50.6,00:09:11.1,00:06:25.5,00:21:13.9,00:05:18.8,00:18:32.6,00:08:12.8,00:05:18.9,00:18:06.8,00:08:28.4
26,Cuzma  Bog,RC2,Canarias,00:02:09.4,00:09:45.0,00:06:45.4,00:12:36.9,00:09:34.4,00:06:41.2,00:12:23.6,00:05:57.5,00:18:55.3,00:08:33.7,00:05:29.8,00:18:45.7,00:08:32.5
27,Allen  Phi,RC2,Canarias,00:11:39.8,-,-,-,-,-,-,-,-,-,-,-,-
28,Somaschini,RC2,Canarias,00:01:52.1,00:09:48.2,00:06:36.0,00:12:19.6,00:09:31.9,00:06:36.9,00:12:15.0,00:05:42.6,00:18:36.9,00:08:29.4,00:05:24.3,00:18:30.4,00:08:36.5
29,Bertolotti,RC2,Canarias,00:11:39.8,00:09:45.7,00:06:37.6,00:12:12.8,00:09:42.5,00:06:36.8,00:12:15.8,00:05:58.8,00:18:59.2,00:08:22.4,00:05:21.2,00:19:06.4,00:09:01.1
30,Armstrong ,RC3,Canarias,00:01:48.5,00:09:24.4,00:06:35.4,00:11:56.1,00:09:16.6,00:06:30.2,00:11:54.0,00:05:14.6,00:18:17.3,00:08:07.2,00:05:17.5,00:18:04.8,00:08:03.9
31,Daprà  Rob,RC4,Canarias,00:01:51.1,00:09:39.4,00:06:39.9,00:12:14.1,00:09:27.1,00:06:32.6,00:12:15.1,00:05:22.4,-,-,-,-,-
32,Kreuter  N,RC4,Canarias,00:01:58.4,00:10:20.3,00:07:01.7,00:13:01.0,00:10:48.0,00:07:03.0,00:13:02.1,00:06:33.1,00:21:55.6,00:08:51.7,00:05:46.9,00:20:25.6,00:09:22.8
