,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13
No,Crew,Gr/Cl,,,,,,,,,,,,,
#1,Paddon Hayden - Kennard John Hyundai i20 N Rally2,RC2,1:39.8,9:19.2,6:10.6,11:16.7 [N],8:50.4,6:09.6,11:13.9,4:57.8,17:46.0,7:49.6,4:56.8,17:30.3,8:02.0
#10,Franceschi M. - Escartefigue J. Škoda Fabia Rally2 evo,RC2,1:43.9,9:03.0,6:13.0,11:31.2,8:49.4,6:10.2,11:22.0,5:02.8,17:51.3,7:52.9,4:57.8,17:31.6,8:21.2
#11,Pardo Siota J. - Pérez Fernández A. Hyundai i20 N Rally2,RC2 1,1:44.2,9:08.9,6:14.0,11:25.8,8:54.9,6:12.3,11:20.5,5:00.2,20:10.0,-,-,-,-
#12,Suárez J. - Iglesias Pin A. Škoda Fabia RS Rally2,RC2 1,1:50.8,9:17.8,6:12.9,11:28.2,8:48.0,6:10.8,11:25.4,4:57.8,17:42.2,8:06.7,4:57.7,17:44.1,7:53.2
#14,Palomo Ortíz Ó. - del Barrio R. Hyundai i20 N Rally2,RC2 1,1:46.9,9:14.6,6:19.8,11:40.5,8:57.0,6:14.4,11:31.0,5:08.2,17:54.4,7:57.8,5:11.1,17:35.2,-
#15,Ruiloba Diego - Vela Ángel Luis Citroën C3 Rally2,RC2 1,1:45.7,9:20.0,6:13.5,11:28.6,8:54.1,6:08.9,11:21.1,5:01.8,18:21.3,7:57.9,5:10.4,-,-
#16,Campedelli Simone - Canton Tania Škoda Fabia Rally2 evo,RC2,1:41.8,9:31.1,6:12.3,11:25.1 [N],8:49.0,6:09.8,11:23.8,5:00.1,17:58.7,7:51.1,4:56.6,17:27.7,-
#17,Mareš Filip - Bucha Radovan Škoda Fabia Rally2 evo,RC2,1:41.0,9:28.8,6:14.7,11:30.9,8:53.0,6:12.9,11:23.9,5:03.4,17:49.8,8:03.8,4:58.7,17:38.4,7:52.5
#18,Wagner Simon - Winter Gerald Škoda Fabia RS Rally2,RC2,1:40.5,9:20.0,6:17.9,11:32.7 [N],8:52.6,6:12.9,11:30.2,4:59.2,17:50.9,7:54.8,4:57.2,17:22.1,7:47.8
#19,Suárez M. - González Delgado E. Citroën C3 Rally2,RC2 1,1:46.0,9:22.3,6:13.8,11:24.2,8:56.3,6:14.1,11:27.5,5:03.3,18:20.7,7:58.0,5:02.8,17:48.3,8:06.3
#2,Østberg Mads - Barth Patrik Citroën C3 Rally2,RC2,1:41.5,9:00.2,6:43.7,12:25.8,8:50.0,6:14.3,11:27.3,5:01.6,17:37.9,7:50.8,5:13.9,17:25.1,8:10.6 [N]
#20,Černý Jan - Černohorský Petr Hyundai i20 N Rally2,RC2 C1,1:42.6,9:12.1,6:15.5,11:30.1,8:56.9,6:14.4,11:27.6,5:02.9,18:06.3,7:55.8,5:00.6,17:50.2,8:22.1
#21,Cruz Enrique - Mújica Eugenio Y. Ford Fiesta Rally2,RC2 1,1:49.2,9:04.2,6:14.6,11:26.5,12:39.3,8:53.4,-,-,-,-,-,-,-
#21,Cruz Enrique - Mújica Eugenio Y. Ford Fiesta Rally2  [SR],RC2 1,-,-,-,-,-,-,21:13.9 [N],-,-,-,-,-,-
#22,Grzyb Grzegorz - Wróbel Jakub Škoda Fabia Rally2 evo,RC2,1:41.2,9:22.9,6:14.8,11:32.0,8:54.1,6:12.0,11:24.4,5:01.1,17:49.6,7:59.1,4:58.1,17:49.5,7:49.9
#23,László Martin - Berendi Dávid Škoda Fabia Rally2 evo,RC2,1:41.4,9:15.9,6:18.7,11:37.1,9:00.0,6:16.1,11:33.2,5:04.2,17:48.5,7:57.1,5:08.5,17:33.9,8:24.5
#24,Nucita Andrea - Pollet Rudy Hyundai i20 N Rally2,RC2,1:40.2,9:01.5,6:14.5,11:29.6,8:53.6,6:12.8,11:24.3,5:03.0,17:54.0,7:54.5,4:59.0,17:44.3,7:49.4
#25,Kołtun Jarosław - Pleskot I. Ford Fiesta Rally2,RC2,1:47.4,9:19.8,6:23.9,11:50.6,9:11.1,6:25.5,-,5:18.8,18:32.6,8:12.8,5:18.9,18:06.8,8:28.4
#25,Kołtun Jarosław - Pleskot I. Ford Fiesta Rally2  [SR],RC2,-,-,-,-,-,-,21:13.9 [N],-,-,-,-,-,-
