Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,8,Sesks  M.  /  Francis  Renārs  Škoda Fabia RS Rally2,RC2,00:09:51.8,112.78 0.00,00:00:00.0 00:00:00.0,5
2,1,Paddon  Hayden  /  Kennard  John  Hyundai i20 N Rally2,RC2,00:09:59.4,111.35 0.41,00:00:07.6 00:00:07.6,5
3,6,Marczyk  Miko  /  Gospodarczyk  S.  Škoda Fabia RS Rally2,RC2,00:09:59.7,111.30 0.43,00:00:07.9 00:00:00.3,5
4,3,Østberg  Mads  /  Barth  Patrik  Citroën C3 Rally2,RC2,00:10:02.7,110.74 0.59,00:00:10.9 00:00:03.0,5
5,22,Cais  Erik  /  Bacigál  Igor  Škoda Fabia RS Rally2,RC2,00:10:03.3,110.63 0.62,00:00:11.5 00:00:00.6,5
6,10,Heikkilä  Mikko  /  Vaaleri  Samu  Škoda Fabia Rally2 Evo,RC2,00:10:03.4,110.61 0.63,00:00:11.6 00:00:00.1,5
7,7,Franceschi  M.  /  Escartefigue  J.  Škoda Fabia Rally2 Evo,RC2,00:10:05.5,110.23 0.74,00:00:13.7 00:00:02.1,5
8,14,Mareš  Filip  /  Bucha  Radovan  Škoda Fabia Rally2 Evo,RC2,00:10:05.8,110.17 0.76,00:00:14.0 00:00:00.3,5
9,21,McErlean  Joshua  /  Rowan  John  Hyundai i20 N Rally2,RC2,00:10:06.2,110.10 0.78,00:00:14.4 00:00:00.4,5
10,5,Mabellini  A.  /  Lenzi  Virginia  Škoda Fabia Rally2 Evo,RC2,00:10:07.5,109.87 0.85,00:00:15.7 00:00:01.3,5
11,2,Llarena  Efrén  /  Fernandez  Sara  Škoda Fabia RS Rally2,RC2,00:10:10.2,109.38 0.99,00:00:18.4 00:00:02.7,5
12,12,Tempestini  S.  /  Itu  Sergiu  Škoda Fabia Rally2 Evo,RC2,00:10:10.8,109.27 1.02,00:00:19.0 00:00:00.6,5
13,24,Campedelli  S.  /  Canton  Tania  Škoda Fabia Rally2 Evo,RC2,00:10:12.7,108.93 1.13,00:00:20.9 00:00:01.9,5
14,15,Tidemand  Pontus  /  Thulin  Julia  Ford Fiesta Rally2 MkII,RC2,00:10:13.6,108.77 1.18,00:00:21.8 00:00:00.9,5
15,25,Rådström  D.  /  Johansson  Johan  Ford Fiesta Rally2 MkII,RC2,00:10:14.6,108.60 1.23,00:00:22.8 00:00:01.0,5
16,23,Pryce  Osian  /  Prévot  S.  Škoda Fabia Rally2 Evo,RC2,00:10:19.3,107.77 1.48,00:00:27.5 00:00:04.7,5
17,11,Grzyb  Grzegorz  /  Binięda  Adam  Škoda Fabia Rally2 Evo,RC2,00:10:20.0,107.65 1.52,00:00:28.2 00:00:00.7,5
18,16,László  Martin  /  Berendi  Dávid  Škoda Fabia Rally2 Evo,RC2,00:10:23.1,107.12 1.69,00:00:31.3 00:00:03.1,5
19,17,Plachytka  S.  /  Gerber  Jakub  Škoda Fabia Rally2 Evo,RC2,00:10:27.3,106.40 1.91,00:00:35.5 00:00:04.2,5
20,31,Armstrong  Jon  /  Fair  Cameron  Ford Fiesta Rally3,RC3,00:10:27.7,106.33 1.94,00:00:35.9 00:00:00.4,5
21,19,Byśkiniewicz  Ł.  /  Siatkowski  D.  Škoda Fabia Rally2 Evo,RC2,00:10:30.3,105.89 2.08,00:00:38.5 00:00:02.6,5
22,26,Kołtun  J.  /  Pleskot  I.  Ford Fiesta Rally2 MkII,RC2,00:10:39.2,104.42 2.56,00:00:47.4 00:00:08.9,5
23,34,Soria  Paulo  /  Coronado  Axel  Renault Clio Rally3,RC3,00:10:58.5,101.36 3.60,00:01:06.7 00:00:19.3,5
