0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
No.,Crew,Group,Race,,,,,,,,,,,,,,,,
1,Paddon  Ha,RC2,Poland,2,2,1,1,2,2,2,1,1,2,6,2,6,8,13,3
2,Llarena  E,RC2,Poland,4,11,11,10,11,12,9,4,16,17,15,16,10,10,11,7
3,Østberg  M,RC2,Poland,16,7,6,5,4,6,3,13,7,4,4,4,4,3,1,1
4,Kristensso,RC2,Poland,6,55,56,52,-,-,-,-,-,-,-,-,-,-,-,-
5,Mabellini ,RC2,Poland,7,8,7,6,10,3,5,4,9,10,8,9,8,-,-,-
6,Marczyk  M,RC2,Poland,1,12,2,3,3,5,4,8,3,3,2,2,2,2,4,10
7,Franceschi,RC2,Poland,9,6,7,7,7,4,6,13,6,6,7,7,5,5,7,3
8,Sesks  M. ,RC2,Poland,22,1,3,2,1,1,1,7,2,1,1,1,3,1,3,5
9,Nucita  An,RC2,Poland,10,22,16,52,48,-,-,-,-,-,-,-,-,-,-,-
10,Heikkilä  ,RC2,Poland,11,3,9,9,6,10,7,23,4,5,5,5,1,4,1,2
11,Grzyb  Grz,RC2,Poland,5,13,14,12,17,16,15,6,21,20,14,17,16,16,14,14
12,Tempestini,RC2,Poland,7,5,4,8,12,8,11,1,8,8,9,10,12,9,9,6
14,Mareš  Fil,RC2,Poland,13,9,10,24,8,11,14,3,11,15,12,8,14,12,5,9
15,Tidemand  ,RC2,Poland,15,15,13,13,14,15,12,15,20,19,20,18,13,18,12,15
16,László  Ma,RC2,Poland,11,23,23,19,18,14,16,8,14,11,9,11,-,-,-,-
17,Plachytka ,RC2,Poland,18,18,25,17,19,22,20,21,22,21,22,22,17,17,20,13
19,Byśkiniewi,RC2,Poland,14,20,18,18,21,19,19,11,17,18,21,14,21,19,17,20
21,McErlean  ,RC2,Poland,16,4,5,4,9,7,8,10,5,7,3,6,18,5,10,8
22,Cais  Erik,RC2,Poland,3,10,12,11,5,9,9,11,12,13,11,12,7,7,6,12
23,Pryce  Osi,RC2,Poland,20,19,21,20,16,18,17,18,15,13,19,15,15,13,18,19
24,Campedelli,RC2,Poland,19,16,15,14,13,13,13,17,19,22,18,20,11,20,8,16
25,Rådström  ,RC2,Poland,21,14,17,15,15,17,18,20,10,9,13,12,9,11,15,11
26,Kołtun  J.,RC2,Poland,23,25,20,21,22,21,21,15,23,24,23,23,22,21,21,21
28,Somaschini,RC2,Poland,30,42,40,42,27,33,31,24,36,39,32,29,30,31,24,24
29,Cuzma  Bog,RC2,Poland,27,28,30,52,48,45,-,-,-,-,-,-,-,-,-,-
30,Bertolotti,RC2,Poland,31,31,27,35,32,45,43,43,37,35,39,36,35,32,28,34
31,Armstrong ,RC3,Poland,24,21,22,16,20,20,42,19,18,16,17,19,20,15,16,18
32,Parys  Pio,RC3,Poland,25,26,29,23,52,49,46,46,25,23,24,26,23,26,39,22
33,Matulka  J,RC3,Poland,29,27,24,25,24,24,22,22,24,50,50,50,24,23,22,23
34,Soria  Pau,RC3,Poland,28,24,54,22,23,23,46,46,-,-,-,-,-,-,-,-
