0,,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
No.,Crew,Group,Race,,,,,,,,,,,,,,,,
1,Paddon  Ha,RC2,Poland,00:01:48.6,00:09:55.1,00:06:49.5,00:08:18.7,00:09:59.4,00:06:48.4,00:08:18.5,00:01:48.1,00:05:12.0,00:06:35.1,00:05:29.7,00:03:30.2,00:05:20.9,00:06:37.6,00:03:40.2,00:05:25.4
2,Llarena  E,RC2,Poland,00:01:49.0,00:10:13.3,00:07:00.1,00:08:28.6,00:10:10.2,00:06:56.5,00:08:27.7,00:01:49.2,00:05:29.7,00:06:55.2,00:05:41.7,00:03:39.5,00:05:25.5,00:06:40.8,00:03:39.3,00:05:28.8
3,Østberg  M,RC2,Poland,00:01:50.8,00:10:09.3,00:06:57.6,00:08:25.8,00:10:02.7,00:06:52.9,00:08:20.8,00:01:49.8,00:05:19.5,00:06:36.9,00:05:29.0,00:03:30.7,00:05:18.1,00:06:31.6,00:03:31.5,00:05:23.7
4,Kristensso,RC2,Poland,00:01:49.8,00:13:13.2,00:16:49.5,00:18:18.7,-,-,-,-,-,-,-,-,-,-,-,-
5,Mabellini ,RC2,Poland,00:01:49.9,00:10:10.2,00:06:58.1,00:08:27.4,00:10:07.5,00:06:50.9,00:08:21.7,00:01:49.2,00:05:23.0,00:06:46.5,00:05:36.1,00:03:36.0,00:05:23.2,-,-,-
6,Marczyk  M,RC2,Poland,00:01:47.7,00:10:13.5,00:06:50.4,00:08:25.1,00:09:59.7,00:06:52.1,00:08:21.5,00:01:49.5,00:05:15.2,00:06:35.9,00:05:28.2,00:03:30.2,00:05:17.0,00:06:31.5,00:03:34.4,00:05:30.8
7,Franceschi,RC2,Poland,00:01:50.0,00:10:07.8,00:06:58.1,00:08:27.5,00:10:05.5,00:06:51.1,00:08:21.8,00:01:49.8,00:05:18.8,00:06:38.2,00:05:30.2,00:03:34.0,00:05:19.7,00:06:33.4,00:03:36.1,00:05:25.4
8,Sesks  M. ,RC2,Poland,00:01:52.0,00:09:51.9,00:06:50.5,00:08:18.9,00:09:51.8,00:06:46.7,00:08:16.9,00:01:49.4,00:05:12.8,00:06:29.2,00:05:25.3,00:03:28.7,00:05:17.1,00:06:27.9,00:03:32.7,00:05:26.0
9,Nucita  An,RC2,Poland,00:01:50.1,00:10:28.7,00:07:06.9,00:18:18.7,00:19:51.8,-,-,-,-,-,-,-,-,-,-,-
10,Heikkilä  ,RC2,Poland,00:01:50.3,00:10:03.4,00:06:58.9,00:08:28.0,00:10:03.4,00:06:54.7,00:08:24.1,00:01:52.5,00:05:17.1,00:06:38.0,00:05:29.3,00:03:31.1,00:05:16.0,00:06:32.2,00:03:31.5,00:05:24.0
11,Grzyb  Grz,RC2,Poland,00:01:49.7,00:10:16.1,00:07:05.2,00:08:32.4,00:10:20.0,00:07:02.7,00:08:36.5,00:01:49.3,00:05:32.5,00:07:03.2,00:05:41.3,00:03:40.7,00:05:32.4,00:06:51.8,00:03:42.0,00:05:36.0
