,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
No,Crew,Gr/Cl,,,,,,,,,,,,,,,,
#1,Paddon Hayden  - Kennard John Hyundai i20 N Rally2,RC2,1:48.6,9:55.1,6:49.5,8:18.7,9:59.4,6:48.4,8:18.5,1:48.1,5:12.0,6:35.1,5:29.7,3:30.2,5:20.9,6:37.6,3:40.2,5:25.4
#10,Heikkilä Mikko  - Vaaleri Samu Škoda Fabia Rally2 evo,RC2,1:50.3,10:03.4,6:58.9,8:28.0,10:03.4,6:54.7,8:24.1,1:52.5,5:17.1,6:38.0,5:29.3,3:31.1,5:16.0,6:32.2,3:31.5,5:24.0
#11,Grzyb Grzegorz  - Binięda Adam Škoda Fabia Rally2 evo,RC2 2,1:49.7,10:16.1,7:05.2,8:32.4,10:20.0,7:02.7,8:36.5,1:49.3,5:32.5,7:03.2,5:41.3,3:40.7,5:32.4,6:51.8,3:42.0,5:36.1
#12,Tempestini Simone  - Itu Sergiu Škoda Fabia Rally2 evo,RC2,1:49.9,10:05.5,6:52.9,8:27.7,10:10.8,6:54.0,8:28.0,1:48.1,5:21.3,6:44.8,5:36.6,3:36.3,5:26.2,6:37.8,3:38.5,5:28.6
#14,Mareš Filip  - Bucha Radovan Škoda Fabia Rally2 evo,RC2,1:50.4,10:10.8,6:59.4,9:08.5,10:05.8,6:55.0,8:32.0,1:48.4,5:25.0,6:52.2,5:39.8,3:35.9,5:29.7,6:41.3,3:34.5,5:30.3
#15,Tidemand Pontus  - Thulin Julia Ford Fiesta Rally2,RC2,1:50.7,10:20.1,7:03.5,8:32.7,10:13.6,7:02.1,8:30.7,1:50.0,5:32.1,6:59.4,5:44.8,3:40.8,5:29.6,6:53.9,3:39.4,5:36.4
#16,László Martin  - Berendi Dávid Škoda Fabia Rally2 evo,RC2,1:50.3,10:32.1,7:15.6,8:49.9,10:23.1,7:01.2,8:39.0,1:49.5,5:28.3,6:48.6,5:36.6,3:37.6,-,-,-,-
#17,Płachytka Sylwester  - Gerber J. Škoda Fabia Rally2 evo,RC2 2,1:50.9,10:24.2,7:30.2,8:45.5,10:27.3,7:14.6,8:57.3,1:51.9,5:37.6,7:03.4,5:47.6,3:49.4,5:33.8,6:53.8,3:48.1,5:34.9
#19,Byśkiniewicz Ł.  - Siatkowski D. Škoda Fabia Rally2 evo,RC2 2,1:50.6,10:26.8,7:09.4,8:46.0,10:30.3,7:10.6,8:47.7,1:49.7,5:30.6,6:56.9,5:44.9,3:38.4,5:45.3,6:54.7,3:44.6,5:45.4
#2,Llarena Efrén  - Fernández Sara Škoda Fabia RS Rally2,RC2,1:49.0,10:13.3,7:00.1,8:28.6,10:10.2,6:56.5,8:27.7,1:49.2,5:29.7,6:55.2,5:41.7,3:39.5,5:25.5,6:40.8,3:39.3,5:28.9
#21,McErlean Josh  - Rowan John Hyundai i20 N Rally2,RC2,1:50.8,10:03.9,6:53.7,8:25.6,10:06.2,6:53.3,8:25.1,1:49.6,5:17.3,6:40.7,5:28.9,3:32.0,5:35.9,6:33.4,3:38.7,5:29.6
