Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#6,Marczyk M.  - Gospodarczyk S. Škoda Fabia RS Rally2,RC2 2,1:47.7,,83.6,1
2,#1,Paddon Hayden  - Kennard John Hyundai i20 N Rally2,RC2,1:48.6,+0.9 +  0.9,82.9 0.36,1
3,#22,Cais Erik  - Bacigál Igor Škoda Fabia RS Rally2,RC2,1:48.8,+1.1 +  0.2,82.7 0.44,1
4,#2,Llarena Efrén  - Fernández Sara Škoda Fabia RS Rally2,RC2,1:49.0,+1.3 +  0.2,82.6 0.52,1
5,#11,Grzyb Grzegorz  - Binięda Adam Škoda Fabia Rally2 evo,RC2 2,1:49.7,+2.0 +  0.7,82.0 0.80,1
6,#4,Kristensson Tom  - Johansson A. Citroën C3 Rally2,RC2,1:49.8,+2.1 +  0.1,82.0 0.84,1
7,#5,Mabellini Andrea  - Lenzi Virginia Škoda Fabia Rally2 evo,RC2,1:49.9,+2.2 +  0.1,81.9 0.88,1
7,#12,Tempestini Simone  - Itu Sergiu Škoda Fabia Rally2 evo,RC2,1:49.9,+2.2 +  0.0,81.9 0.88,1
9,#7,Franceschi M.  - Escartefigue J. Škoda Fabia Rally2 evo,RC2,1:50.0,+2.3 +  0.1,81.8 0.92,1
10,#9,Nucita Andrea  - Fenoli Manuel Hyundai i20 N Rally2,RC2,1:50.1,+2.4 +  0.1,81.7 0.96,1
11,#10,Heikkilä Mikko  - Vaaleri Samu Škoda Fabia Rally2 evo,RC2,1:50.3,+2.6 +  0.2,81.6 1.04,1
11,#16,László Martin  - Berendi Dávid Škoda Fabia Rally2 evo,RC2,1:50.3,+2.6 +  0.0,81.6 1.04,1
13,#14,Mareš Filip  - Bucha Radovan Škoda Fabia Rally2 evo,RC2,1:50.4,+2.7 +  0.1,81.5 1.08,1
14,#19,Byśkiniewicz Ł.  - Siatkowski D. Škoda Fabia Rally2 evo,RC2 2,1:50.6,+2.9 +  0.2,81.4 1.16,1
15,#15,Tidemand Pontus  - Thulin Julia Ford Fiesta Rally2,RC2,1:50.7,+3.0 +  0.1,81.3 1.20,1
16,#3,Østberg Mads  - Barth Patrik Citroën C3 Rally2,RC2,1:50.8,+3.1 +  0.1,81.2 1.24,1
16,#21,McErlean Josh  - Rowan John Hyundai i20 N Rally2,RC2,1:50.8,+3.1 +  0.0,81.2 1.24,1
18,#17,Płachytka Sylwester  - Gerber J. Škoda Fabia Rally2 evo,RC2 2,1:50.9,+3.2 +  0.1,81.2 1.28,1
19,#24,Campedelli Simone  - Canton Tania Škoda Fabia Rally2 evo,RC2,1:51.0,+3.3 +  0.1,81.1 1.32,1
20,#23,Pryce Osian  - Prévot Stéphane Škoda Fabia Rally2 evo,RC2,1:51.1,+3.4 +  0.1,81.0 1.36,1
21,#25,Rådström Dennis  - Johansson J. Ford Fiesta Rally2,RC2,1:51.9,+4.2 +  0.8,80.4 1.68,1
22,#8,Sesks Mārtiņš  - Francis R. Škoda Fabia RS Rally2,RC2 2,1:52.0,+4.3 +  0.1,80.4 1.72,1
23,#71,Kotarba Łukasz  - Kotarba Tomasz Citroën C3 Rally2,2,1:52.1,+4.4 +  0.1,80.3 1.76,1
24,#26,Kołtun Jarosław  - Pleskot I. Ford Fiesta Rally2,RC2 2,1:52.5,+4.8 +  0.4,80.0 1.92,1
25,#31,Armstrong Jon  - Fair Cameron Ford Fiesta Rally3,RC3,1:54.2,+6.5 +  1.7,78.8 2.60,1
26,#73,Krotoszyński Piotr  - Martynek M. Ford Fiesta Rally3,3,1:55.0,+7.3 +  0.8,78.3 2.92,1
27,#32,Parys Piotr  - Syty Damian Ford Fiesta Rally3,RC3 3,1:55.5,+7.8 +  0.5,77.9 3.12,1
28,#60,Szeja Jarosław  - Szeja Marcin Hyundai i20 R5,RC2 2,1:55.8,+8.1 +  0.3,77.7 3.24,1
29,#29,Cuzma Bogdan  - Minor Ilka Škoda Fabia RS Rally2,RC2,1:56.2,+8.5 +  0.4,77.5 3.40,1
30,#72,Ociepa Tomasz  - Kuśnierz Michał Škoda Fabia Rally2 evo,2,1:56.3,+8.6 +  0.1,77.4 3.44,1
31,#34,Soria P.  - Coronado Jiménez A. Renault Clio Rally3,RC3,1:56.5,+8.8 +  0.2,77.3 3.52,1
32,#33,Matulka Jakub  - Dymurski Daniel Ford Fiesta Rally3,RC3 3,1:56.9,+9.2 +  0.4,77.0 3.68,1
33,#76,Abramowski Wiktor  - Poradzisz M. Ford Fiesta Rally3,3,1:57.2,+9.5 +  0.3,76.8 3.80,1
34,#28,Somaschini Rachele  - Arena Nicola Citroën C3 Rally2,RC2,1:57.5,+9.8 +  0.3,76.6 3.92,1
35,#74,Roefler Marek  - Bała Marek Ford Fiesta Rally3,3,1:57.6,+9.9 +  0.1,76.5 3.96,1
36,#79,Predko Gracjan  - Jurgała Michał Peugeot 208 Rally4,4,1:58.6,+10.9 +  1.0,75.9 4.36,1
37,#30,Bertolotti Simone  - Capilli F. Citroën C3 Rally2,RC2,2:01.5,+13.8 +  2.9,74.1 5.52,1
37,#41,Johansson Mille  - Grönvall Johan Ford Fiesta Rally4,RC4,2:01.5,+13.8 +  0.0,74.1 5.52,1
39,#75,Kowal Marcin  - Lenkowski S. Ford Fiesta Rally3,3,2:01.8,+14.1 +  0.3,73.9 5.64,1
40,#37,McRae Max  - Kierans Mac Opel Corsa Rally4,RC4,2:01.9,+14.2 +  0.1,73.8 5.68,1
41,#35,Daprà Roberto  - Guglielmetti L. Peugeot 208 Rally4,RC4,2:02.3,+14.6 +  0.4,73.6 5.84,1
42,#54,Otake Nao  - Salminen Marko Renault Clio Rally4,RC4,2:02.4,+14.7 +  0.1,73.5 5.88,1
43,#43,Maior Norbert  - Maior F. Peugeot 208 Rally4,RC4,2:02.5,+14.8 +  0.1,73.5 5.92,1
44,#40,Herczig Patrik  - Varga Kristóf Peugeot 208 Rally4,RC4,2:02.6,+14.9 +  0.1,73.4 5.96,1
44,#80,Kowalczyk Hubert  - Hryniuk J. Peugeot 208 Rally4,4,2:02.6,+14.9 +  0.0,73.4 5.96,1
46,#82,Długosz Artur  - Majewski Michał Peugeot 208 Rally4,4,2:02.8,+15.1 +  0.2,73.3 6.04,1
47,#45,Nore Ola jnr.  - Eilertsen Rune Renault Clio Rally4,RC4,2:03.4,+15.7 +  0.6,72.9 6.28,1
47,#47,Schulz Timo  - Wenzel Michael Opel Corsa Rally4,RC4,2:03.4,+15.7 +  0.0,72.9 6.28,1
49,#38,Andersson Simon  - Jönsson J. Peugeot 208 Rally4,RC4,2:03.9,+16.2 +  0.5,72.6 6.48,1
50,#44,Noller René  - Solbach-Schmidt N. Peugeot 208 Rally4,RC4,2:04.4,+16.7 +  0.5,72.3 6.68,1
51,#56,Nowak Marek  - Sadowski Adrian Opel Corsa Rally4,RC4 4,2:04.6,+16.9 +  0.2,72.2 6.76,1
51,#85,Geradzhiev G.  - Gadzhev G. Ford Fiesta Rally4,4,2:04.6,+16.9 +  0.0,72.2 6.76,1
53,#42,Kramer A.  - Kvick Andersson J. Peugeot 208 Rally4,RC4,2:04.7,+17.0 +  0.1,72.2 6.80,1
54,#55,Kogure Hikaru  - Luhtinen T. Renault Clio Rally4,RC4,2:05.1,+17.4 +  0.4,71.9 6.96,1
55,#58,Jocz Tymoteusz  - Judycki Maciej Ford Fiesta Rally4,RC4 4,2:05.3,+17.6 +  0.2,71.8 7.04,1
55,#83,Gazda Błażej  - Mikuliszyn M. Renault Clio Rally4,4,2:05.3,+17.6 +  0.0,71.8 7.04,1
57,#62,Ravenščak M.  - Ravenščak D. Ford Fiesta Rally3,RC3,2:05.5,+17.8 +  0.2,71.7 7.12,1
58,#50,Zeiringer Fabian  - Letz Angelika Opel Corsa Rally4,RC4,2:05.8,+18.1 +  0.3,71.5 7.24,1
59,#48,Spitalier Patrice  - Spitalier N. Peugeot 208 Rally4,RC4,2:05.9,+18.2 +  0.1,71.5 7.28,1
59,#84,Nazaruk K.  - Kędzierski A. Peugeot 208 R2,4R2,2:05.9,+18.2 +  0.0,71.5 7.28,1
61,#36,Jalava Miko  - Hokkanen Riikka Ford Fiesta Rally4,RC4,2:06.4,+18.7 +  0.5,71.2 7.48,1
61,#49,Zanin Mattia  - Pizzol Fabio Peugeot 208 Rally4,RC4,2:06.4,+18.7 +  0.0,71.2 7.48,1
63,#78,Musiał Wojciech  - Jermakow W. Subaru Impreza STi R4,NAT2,2:06.5,+18.8 +  0.1,71.1 7.52,1
64,#39,Hansen Victor  - Johansson Victor Peugeot 208 Rally4,RC4,2:06.6,+18.9 +  0.1,71.1 7.56,1
65,#81,Pindel Filip  - Pietruszka K. Peugeot 208 Rally4,4,2:07.3,+19.6 +  0.7,70.7 7.84,1
66,#86,Bieńko Tadeusz  - Brzeziński J. Peugeot 208 R2,4R2,2:07.5,+19.8 +  0.2,70.6 7.92,1
67,#57,Rossi Ghjuvanni  - Blanc Nicolas Peugeot 208 Rally4,RC4,2:07.6,+19.9 +  0.1,70.5 7.96,1
68,#59,Brugger Christoph  - Lutz Tamara Opel Corsa Rally4,RC4,2:08.1,+20.4 +  0.5,70.3 8.16,1
69,#51,Kreuter Norman  - Lade Maresa Peugeot 208 Rally4,RC4,2:09.0,+21.3 +  0.9,69.8 8.52,1
70,#63,Domin Mateusz  - Komar Kevin Ford Fiesta Rally4,RC4 4,2:09.3,+21.6 +  0.3,69.6 8.64,1
71,#77,Ćwikliński Piotr  - Pryczek M. Subaru Impreza STi N10,NAT2,2:10.3,+22.6 +  1.0,69.1 9.04,1
71,#89,Janowski Sergiusz  - Grzenia K. Citroën C2 R2,NAT4,2:10.3,+22.6 +  0.0,69.1 9.04,1
73,#46,Raftery Aoife  - Williams Claire Peugeot 208 Rally4,RC4,2:11.8,+24.1 +  1.5,68.3 9.64,1
74,#52,Hangodi Bendegúz  - Bunkoczi L. Peugeot 208 Rally4,RC4,2:12.0 [N],+24.3 +  0.2,68.2 9.72,1
75,#91,Latos Oliwier  - Latos Paweł Honda Civic Type-R EP3,HR3,2:14.6,+26.9 +  2.6,66.9 10.8,1
76,#90,Kalitowicz A.  - Wisławski M. Toyota Celica GT-Four (ST205),Historic,2:20.6,+32.9 +  6.0,64.0 13.2,1
77,#87,Michalski Jacek  - Wach Sebastian Fiat Grande Punto R3D,NAT3,2:29.7,+42.0 +  9.1,60.1 16.8,1
78,#61,Uger Sergey  - Uger Obolenskaya M. Ford Fiesta R5,RC2,2:37.8,+50.1 +  8.1,57.0 20.0,1
79,#53,Yamamoto Yuki  - Teiskonen Miika Renault Clio Rally4  [SR],RC4,12:01.5 [N],+10:13.8 +  9:23.7,12.5 245.5,1
80,#88,Jakubowiak Damian  - Kempa M. BMW 330i E46  [SR],NAT3,12:29.7 [N],+10:42.0 +  28.2,12.0 256.8,1
1,#8,Sesks Mārtiņš  - Francis R. Škoda Fabia RS Rally2,RC2 2,9:51.9,,112.8,2
2,#1,Paddon Hayden  - Kennard John Hyundai i20 N Rally2,RC2,9:55.1,+3.2 +  3.2,112.2 0.17,2
3,#10,Heikkilä Mikko  - Vaaleri Samu Škoda Fabia Rally2 evo,RC2,10:03.4,+11.5 +  8.3,110.6 0.62,2
4,#21,McErlean Josh  - Rowan John Hyundai i20 N Rally2,RC2,10:03.9,+12.0 +  0.5,110.5 0.65,2
5,#12,Tempestini Simone  - Itu Sergiu Škoda Fabia Rally2 evo,RC2,10:05.5,+13.6 +  1.6,110.2 0.73,2
6,#7,Franceschi M.  - Escartefigue J. Škoda Fabia Rally2 evo,RC2,10:07.8,+15.9 +  2.3,109.8 0.86,2
7,#3,Østberg Mads  - Barth Patrik Citroën C3 Rally2,RC2,10:09.3,+17.4 +  1.5,109.5 0.94,2
8,#5,Mabellini Andrea  - Lenzi Virginia Škoda Fabia Rally2 evo,RC2,10:10.2,+18.3 +  0.9,109.4 0.99,2
9,#14,Mareš Filip  - Bucha Radovan Škoda Fabia Rally2 evo,RC2,10:10.8,+18.9 +  0.6,109.3 1.02,2
10,#22,Cais Erik  - Bacigál Igor Škoda Fabia RS Rally2,RC2,10:10.9,+19.0 +  0.1,109.3 1.02,2
11,#2,Llarena Efrén  - Fernández Sara Škoda Fabia RS Rally2,RC2,10:13.3,+21.4 +  2.4,108.8 1.15,2
12,#6,Marczyk M.  - Gospodarczyk S. Škoda Fabia RS Rally2,RC2 2,10:13.5,+21.6 +  0.2,108.8 1.17,2
13,#11,Grzyb Grzegorz  - Binięda Adam Škoda Fabia Rally2 evo,RC2 2,10:16.1,+24.2 +  2.6,108.3 1.31,2
14,#25,Rådström Dennis  - Johansson J. Ford Fiesta Rally2,RC2,10:16.6,+24.7 +  0.5,108.2 1.33,2
15,#15,Tidemand Pontus  - Thulin Julia Ford Fiesta Rally2,RC2,10:20.1,+28.2 +  3.5,107.6 1.52,2
16,#24,Campedelli Simone  - Canton Tania Škoda Fabia Rally2 evo,RC2,10:20.7,+28.8 +  0.6,107.5 1.55,2
17,#60,Szeja Jarosław  - Szeja Marcin Hyundai i20 R5,RC2 2,10:23.7,+31.8 +  3.0,107.0 1.72,2
18,#17,Płachytka Sylwester  - Gerber J. Škoda Fabia Rally2 evo,RC2 2,10:24.2,+32.3 +  0.5,106.9 1.74,2
19,#23,Pryce Osian  - Prévot Stéphane Škoda Fabia Rally2 evo,RC2,10:25.1,+33.2 +  0.9,106.8 1.79,2
20,#19,Byśkiniewicz Ł.  - Siatkowski D. Škoda Fabia Rally2 evo,RC2 2,10:26.8,+34.9 +  1.7,106.5 1.88,2
21,#31,Armstrong Jon  - Fair Cameron Ford Fiesta Rally3,RC3,10:27.1,+35.2 +  0.3,106.4 1.90,2
22,#9,Nucita Andrea  - Fenoli Manuel Hyundai i20 N Rally2,RC2,10:28.7,+36.8 +  1.6,106.2 1.98,2
23,#16,László Martin  - Berendi Dávid Škoda Fabia Rally2 evo,RC2,10:32.1,+40.2 +  3.4,105.6 2.17,2
24,#34,Soria P.  - Coronado Jiménez A. Renault Clio Rally3,RC3,10:39.8,+47.9 +  7.7,104.3 2.58,2
25,#26,Kołtun Jarosław  - Pleskot I. Ford Fiesta Rally2,RC2 2,10:41.5,+49.6 +  1.7,104.0 2.68,2
26,#32,Parys Piotr  - Syty Damian Ford Fiesta Rally3,RC3 3,10:56.0,+1:04.1 +  14.5,101.7 3.46,2
27,#33,Matulka Jakub  - Dymurski Daniel Ford Fiesta Rally3,RC3 3,10:57.2,+1:05.3 +  1.2,101.6 3.52,2
28,#29,Cuzma Bogdan  - Minor Ilka Škoda Fabia RS Rally2,RC2,10:57.7,+1:05.8 +  0.5,101.5 3.55,2
29,#45,Nore Ola jnr.  - Eilertsen Rune Renault Clio Rally4,RC4,11:18.7,+1:26.8 +  21.0,98.3 4.68,2
30,#53,Yamamoto Yuki  - Teiskonen Miika Renault Clio Rally4  [SR],RC4,11:19.7,+1:27.8 +  1.0,98.2 4.74,2
31,#30,Bertolotti Simone  - Capilli F. Citroën C3 Rally2,RC2,11:22.2,+1:30.3 +  2.5,97.8 4.87,2
32,#40,Herczig Patrik  - Varga Kristóf Peugeot 208 Rally4,RC4,11:27.2,+1:35.3 +  5.0,97.1 5.14,2
33,#74,Roefler Marek  - Bała Marek Ford Fiesta Rally3,3,11:28.7,+1:36.8 +  1.5,96.9 5.22,2
34,#35,Daprà Roberto  - Guglielmetti L. Peugeot 208 Rally4,RC4,11:29.9,+1:38.0 +  1.2,96.7 5.29,2
35,#38,Andersson Simon  - Jönsson J. Peugeot 208 Rally4,RC4,11:32.7,+1:40.8 +  2.8,96.4 5.44,2
35,#58,Jocz Tymoteusz  - Judycki Maciej Ford Fiesta Rally4,RC4 4,11:32.7,+1:40.8 +  0.0,96.4 5.44,2
37,#43,Maior Norbert  - Maior F. Peugeot 208 Rally4,RC4,11:34.0,+1:42.1 +  1.3,96.2 5.51,2
38,#39,Hansen Victor  - Johansson Victor Peugeot 208 Rally4,RC4,11:34.4,+1:42.5 +  0.4,96.1 5.53,2
39,#47,Schulz Timo  - Wenzel Michael Opel Corsa Rally4,RC4,11:34.5,+1:42.6 +  0.1,96.1 5.53,2
40,#55,Kogure Hikaru  - Luhtinen T. Renault Clio Rally4,RC4,11:35.9,+1:44.0 +  1.4,95.9 5.61,2
41,#41,Johansson Mille  - Grönvall Johan Ford Fiesta Rally4,RC4,11:36.3,+1:44.4 +  0.4,95.9 5.63,2
