Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,5,Sesks  M.  /  Francis  Renārs  Škoda Fabia RS Rally2,RC2,00:14:30.5,113.98 0.00,00:00:00.0 00:00:00.0,1
2,2,Østberg  Mads  /  Barth  Patrik  Citroën C3 Rally2,RC2,00:14:46.9,111.87 0.60,00:00:16.4 00:00:16.4,1
3,14,Virves  Robert  /  Drew  Craig  Ford Fiesta Rally2 MkII,RC2,00:14:48.2,111.70 0.64,00:00:17.7 00:00:01.3,1
4,1,Paddon  Hayden  /  Kennard  John  Hyundai i20 N Rally2,RC2,00:14:52.4,111.18 0.79,00:00:21.9 00:00:04.2,1
5,3,Llarena  Efrén  /  Fernandez  Sara  Škoda Fabia Rally2 Evo,RC2,00:14:57.0,110.61 0.96,00:00:26.5 00:00:04.6,1
5,8,Linnamäe  Georg  /  Morgan  James  Hyundai i20 N Rally2,RC2,00:14:57.0,110.61 0.96,00:00:26.5 00:00:00.0,1
7,7,Heikkilä  Mikko  /  Vaaleri  Samu  Škoda Fabia Rally2 Evo,RC2,00:15:04.2,109.73 1.22,00:00:33.7 00:00:07.2,1
8,15,Campedelli  S.  /  Canton  Tania  Škoda Fabia Rally2 Evo,RC2,00:15:05.6,109.56 1.27,00:00:35.1 00:00:01.4,1
9,6,Franceschi  M.  /  Escartefigue  J.  Škoda Fabia Rally2 Evo,RC2,00:15:05.9,109.52 1.28,00:00:35.4 00:00:00.3,1
10,9,McErlean  Joshua  /  Fulton  James  Hyundai i20 N Rally2,RC2,00:15:06.4,109.46 1.30,00:00:35.9 00:00:00.5,1
11,11,Cais  Erik  /  Bacigál  Igor  Škoda Fabia RS Rally2,RC2,00:15:14.4,108.50 1.59,00:00:43.9 00:00:08.0,1
12,18,Battistolli  A.  /  Scattolin  S.  Škoda Fabia RS Rally2,RC2,00:15:17.1,108.18 1.69,00:00:46.6 00:00:02.7,1
13,17,Pryce  Osian  /  Prévot  S.  Škoda Fabia Rally2 Evo,RC2,00:15:18.7,108.00 1.75,00:00:48.2 00:00:01.6,1
14,12,Rådström  D.  /  Johansson  Johan  Ford Fiesta Rally2 MkII,RC2,00:15:19.5,107.90 1.78,00:00:49.0 00:00:00.8,1
15,53,Terlecki  A.  /  Szeja  Marcin  Škoda Fabia Rally2 Evo,RC2,00:15:25.0,107.26 1.98,00:00:54.5 00:00:05.5,1
16,4,Mabellini  A.  /  Lenzi  Virginia  Škoda Fabia Rally2 Evo,RC2,00:15:27.9,106.93 2.08,00:00:57.4 00:00:02.9,1
