Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,5,Sesks  M.  /  Francis  Renārs  Škoda Fabia RS Rally2,RC2,00:09:37.2,118.19 0.00,00:00:00.0 00:00:00.0,8
2,7,Heikkilä  Mikko  /  Vaaleri  Samu  Škoda Fabia Rally2 Evo,RC2,00:09:41.5,117.32 0.23,00:00:04.3 00:00:04.3,8
3,1,Paddon  Hayden  /  Kennard  John  Hyundai i20 N Rally2,RC2,00:09:42.4,117.14 0.27,00:00:05.2 00:00:00.9,8
4,10,Mareš  Filip  /  Bucha  Radovan  Škoda Fabia Rally2 Evo,RC2,00:09:44.6,116.70 0.39,00:00:07.4 00:00:02.2,8
5,6,Franceschi  M.  /  Escartefigue  J.  Škoda Fabia Rally2 Evo,RC2,00:09:45.5,116.52 0.44,00:00:08.3 00:00:00.9,8
6,9,McErlean  Joshua  /  Fulton  James  Hyundai i20 N Rally2,RC2,00:09:46.7,116.28 0.50,00:00:09.5 00:00:01.2,8
7,8,Linnamäe  Georg  /  Morgan  James  Hyundai i20 N Rally2,RC2,00:09:47.4,116.14 0.54,00:00:10.2 00:00:00.7,8
8,2,Østberg  Mads  /  Barth  Patrik  Citroën C3 Rally2,RC2,00:09:48.1,116.00 0.58,00:00:10.9 00:00:00.7,8
9,11,Cais  Erik  /  Bacigál  Igor  Škoda Fabia RS Rally2,RC2,00:09:48.6,115.90 0.60,00:00:11.4 00:00:00.5,8
10,14,Virves  Robert  /  Drew  Craig  Ford Fiesta Rally2 MkII,RC2,00:09:48.8,115.86 0.61,00:00:11.6 00:00:00.2,8
11,4,Mabellini  A.  /  Lenzi  Virginia  Škoda Fabia Rally2 Evo,RC2,00:09:52.6,115.12 0.81,00:00:15.4 00:00:03.8,8
12,17,Pryce  Osian  /  Prévot  S.  Škoda Fabia Rally2 Evo,RC2,00:09:55.4,114.58 0.96,00:00:18.2 00:00:02.8,8
13,3,Llarena  Efrén  /  Fernandez  Sara  Škoda Fabia Rally2 Evo,RC2,00:09:55.8,114.50 0.98,00:00:18.6 00:00:00.4,8
14,15,Campedelli  S.  /  Canton  Tania  Škoda Fabia Rally2 Evo,RC2,00:09:56.7,114.33 1.03,00:00:19.5 00:00:00.9,8
15,16,László  Martin  /  Berendi  Dávid  Škoda Fabia Rally2 Evo,RC2,00:10:03.5,113.04 1.39,00:00:26.3 00:00:06.8,8
