0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,,1,3,4,5,6,7,8,9,10
No.,Crew,Group,Race,,,,,,,,,
1,Paddon  Ha,RC2,Latvia,4,3,2,3,7,3,3,8,1
2,Østberg  M,RC2,Latvia,2,12,3,5,8,6,8,2,6
3,Llarena  E,RC2,Latvia,5,7,9,9,4,14,13,14,12
4,Mabellini ,RC2,Latvia,16,14,11,18,1,13,11,10,10
5,Sesks  M. ,RC2,Latvia,1,1,1,1,13,1,1,3,1
6,Franceschi,RC2,Latvia,9,9,5,7,11,5,5,4,5
7,Heikkilä  ,RC2,Latvia,7,6,4,2,18,2,2,1,7
8,Linnamäe  ,RC2,Latvia,5,7,7,4,16,15,7,11,11
9,McErlean  ,RC2,Latvia,10,5,8,6,5,4,6,6,3
10,Mareš  Fil,RC2,Latvia,20,4,12,14,2,7,4,9,4
11,Cais  Erik,RC2,Latvia,11,11,13,16,5,11,9,12,8
12,Rådström  ,RC2,Latvia,14,13,15,13,14,16,17,21,14
14,Virves  Ro,RC2,Latvia,3,2,6,8,3,7,10,5,13
15,Campedelli,RC2,Latvia,8,15,14,12,10,10,14,7,9
16,László  Ma,RC2,Latvia,19,18,17,15,15,17,15,16,17
17,Pryce  Osi,RC2,Latvia,13,16,10,10,17,9,12,13,16
18,Battistoll,RC2,Latvia,12,17,16,11,9,12,16,15,15
19,Kołtun  J.,RC2,Latvia,32,20,19,19,21,19,23,17,18
20,Cuzma  Bog,RC2,Latvia,36,34,27,55,39,30,29,28,25
21,Bertolotti,RC2,Latvia,43,30,42,34,27,38,45,29,33
22,Armstrong ,RC3,Latvia,18,10,18,17,23,18,21,19,19
23,Matulka  J,RC3,Latvia,24,19,23,23,24,24,22,20,22
24,Parys  Pio,RC3,Latvia,22,24,20,21,22,20,19,27,24
25,Soria  Pau,RC3,Latvia,23,29,25,22,25,21,20,22,21
26,Nore  Ola ,RC4,Latvia,33,50,29,29,44,31,35,37,40
27,Maior  Nor,RC4,Latvia,37,55,36,38,35,42,31,31,32
28,Hansen  Vi,RC4,Latvia,40,36,31,31,46,37,30,42,36
29,Daprà  Rob,RC4,Latvia,38,38,45,43,37,44,40,47,39
30,Jalava  Mi,RC4,Latvia,41,42,41,39,42,40,-,-,-
31,McRae  Max,RC4,Latvia,34,31,37,37,40,33,38,33,38
32,Raftery  A,RC4,Latvia,50,52,52,44,51,51,49,46,43
33,Zanin  Mat,RC4,Latvia,44,47,51,49,41,49,47,45,41
34,Schulz  Ti,RC4,Latvia,53,39,46,41,53,41,37,32,30
35,Johansson ,RC4,Latvia,54,28,40,54,45,43,41,39,35
36,Andersson ,RC4,Latvia,55,44,53,50,34,52,42,50,48
37,Vaher  Jas,RC4,Latvia,31,25,30,27,-,-,-,-,-
38,Sei  Karl-,RC4,Latvia,56,32,34,36,36,46,34,-,-
39,Noller  Re,RC4,Latvia,45,46,54,51,50,53,48,52,49
40,Zeiringer ,RC4,Latvia,57,57,57,56,55,-,-,-,-
41,Kramer  A.,RC4,Latvia,52,48,56,52,49,55,52,51,46
44,Tiits  M. ,RC4,Latvia,38,41,43,42,47,39,28,35,34
45,Kreuter  N,RC4,Latvia,51,53,55,53,42,56,53,49,45
46,Hangodi  B,RC4,Latvia,42,45,48,48,28,50,32,43,31
47,Kogure  Hi,RC4,Latvia,30,43,38,28,33,32,-,-,-
48,Yamamoto  ,RC4,Latvia,25,35,32,30,30,34,33,41,-
49,Otake  Nao,RC4,Latvia,28,37,39,40,26,35,39,40,-
50,Tiramani  ,RC2,Latvia,47,56,24,26,20,26,26,23,-
51,Uger  Serg,RC2,Latvia,46,54,48,45,54,47,46,36,42
52,Mauro  Ale,RC2,Latvia,21,33,28,32,31,27,43,25,27
53,Terlecki  ,RC2,Latvia,15,23,22,20,11,23,24,24,23
54,Potiiko  S,RC2,Latvia,29,27,33,33,38,29,27,30,29
55,Korzun  An,RC2,Latvia,27,26,35,35,48,28,50,38,28
56,Laskowski ,RC3,Latvia,17,21,21,24,19,21,18,18,20
57,Kelly  Eam,RC3,Latvia,25,22,26,25,28,25,25,26,26
58,Fontana  M,RC4,Latvia,35,40,44,46,32,36,36,34,37
59,Schwarz  F,RC4,Latvia,57,57,57,56,55,45,-,-,-
60,Orgus  Kei,RC4,Latvia,48,49,47,47,55,48,44,44,47
61,Zakmans  I,RC2,Latvia,49,51,50,58,52,54,51,48,44
