0,,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
ss,,,,1,3,4,5,6,7,8,9,10
No.,Crew,Group,Race,,,,,,,,,
1,Paddon  Ha,RC2,Latvia,00:14:52.4,00:05:47.4,00:13:29.9,00:07:24.6,00:02:20.0,00:10:09.5,00:09:42.4,00:10:18.4,00:09:24.1
2,Østberg  M,RC2,Latvia,00:14:46.9,00:05:56.0,00:13:32.4,00:07:26.7,00:02:20.6,00:10:16.1,00:09:48.1,00:10:10.8,00:09:33.7
3,Llarena  E,RC2,Latvia,00:14:57.0,00:05:54.3,00:13:52.1,00:07:34.0,00:02:19.3,00:10:23.3,00:09:55.8,00:10:30.3,00:09:39.5
4,Mabellini ,RC2,Latvia,00:15:27.9,00:05:59.1,00:13:57.7,00:07:51.2,00:02:17.9,00:10:22.7,00:09:52.6,00:10:22.3,00:09:37.0
5,Sesks  M. ,RC2,Latvia,00:14:30.5,00:05:46.6,00:13:24.0,00:07:21.8,00:02:23.1,00:10:08.8,00:09:37.2,00:10:11.2,00:09:24.1
6,Franceschi,RC2,Latvia,00:15:05.9,00:05:54.7,00:13:41.4,00:07:30.5,00:02:22.7,00:10:12.8,00:09:45.5,00:10:11.8,00:09:31.6
7,Heikkilä  ,RC2,Latvia,00:15:04.2,00:05:53.0,00:13:38.1,00:07:22.2,00:02:25.0,00:10:09.1,00:09:41.5,00:10:08.6,00:09:34.1
8,Linnamäe  ,RC2,Latvia,00:14:57.0,00:05:54.3,00:13:44.0,00:07:25.4,00:02:24.1,00:10:24.0,00:09:47.4,00:10:24.1,00:09:38.5
9,McErlean  ,RC2,Latvia,00:15:06.4,00:05:52.7,00:13:45.1,00:07:28.7,00:02:19.9,00:10:09.7,00:09:46.7,00:10:15.4,00:09:26.6
10,Mareš  Fil,RC2,Latvia,00:15:36.2,00:05:52.1,00:13:59.1,00:07:38.1,00:02:18.3,00:10:19.0,00:09:44.6,00:10:19.4,00:09:30.9
11,Cais  Erik,RC2,Latvia,00:15:14.4,00:05:55.8,00:14:00.3,00:07:44.5,00:02:19.9,00:10:22.0,00:09:48.6,00:10:24.4,00:09:34.6
12,Rådström  ,RC2,Latvia,00:15:19.5,00:05:57.0,00:14:01.3,00:07:36.7,00:02:23.7,00:10:26.1,00:10:09.4,00:11:09.4,00:09:44.9
14,Virves  Ro,RC2,Latvia,00:14:48.2,00:05:46.9,00:13:43.5,00:07:30.9,00:02:19.0,00:10:19.0,00:09:48.8,00:10:14.8,00:09:44.0
15,Campedelli,RC2,Latvia,00:15:05.6,00:05:59.2,00:14:00.5,00:07:36.5,00:02:21.8,00:10:21.9,00:09:56.7,00:10:15.8,00:09:36.7
16,László  Ma,RC2,Latvia,00:15:33.0,00:06:04.2,00:14:08.6,00:07:42.7,00:02:23.8,00:10:41.7,00:10:03.5,00:10:46.9,00:09:48.7
17,Pryce  Osi,RC2,Latvia,00:15:18.7,00:06:01.0,00:13:55.1,00:07:34.3,00:02:24.9,00:10:21.8,00:09:55.4,00:10:29.6,00:09:48.0
18,Battistoll,RC2,Latvia,00:15:17.1,00:06:02.8,00:14:04.1,00:07:36.4,00:02:21.1,00:10:22.4,00:10:05.9,00:10:39.2,00:09:46.1
19,Kołtun  J.,RC2,Latvia,00:16:08.3,00:06:08.9,00:14:40.6,00:08:04.0,00:02:26.4,00:10:52.4,00:10:31.6,00:10:50.6,00:09:53.1
20,Cuzma  Bog,RC2,Latvia,00:16:20.8,00:06:34.4,00:15:16.9,00:11:53.0,00:02:35.0,00:11:38.5,00:11:00.0,00:11:36.8,00:10:18.6
21,Bertolotti,RC2,Latvia,00:16:42.1,00:06:33.1,00:15:46.1,00:08:37.8,00:02:28.3,00:11:53.0,00:11:24.0,00:11:41.1,00:10:36.2
22,Armstrong ,RC3,Latvia,00:15:32.4,00:05:55.1,00:14:14.3,00:07:48.5,00:02:26.7,00:10:45.8,00:10:23.8,00:10:54.7,00:09:57.0
23,Matulka  J,RC3,Latvia,00:15:47.7,00:06:07.8,00:14:52.3,00:08:08.3,00:02:26.9,00:11:06.2,00:10:25.6,00:11:02.2,00:10:04.6
24,Parys  Pio,RC3,Latvia,00:15:45.0,00:06:23.1,00:14:44.8,00:08:05.7,00:02:26.6,00:10:57.5,00:10:20.4,00:11:20.8,00:10:15.9
25,Soria  Pau,RC3,Latvia,00:15:46.9,00:06:32.4,00:15:03.2,00:08:08.1,00:02:27.8,00:10:58.3,00:10:22.6,00:11:10.2,00:10:03.7
