,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,3,4,5,6,7,8,9,10
No,Crew,Gr/Cl,,,,,,,,,
#1,Paddon Hayden  - Kennard John Hyundai i20 N Rally2,RC2,14:52.4,5:47.4,13:29.9,7:24.6,2:20.0,10:09.5,9:42.4,10:18.4,9:24.1
#10,MareÅ¡ Filip  - Bucha Radovan Å koda Fabia Rally2 evo,RC2,15:36.2,5:52.1,13:59.1,7:38.1,2:18.3,10:19.0,9:44.6,10:19.4,9:30.9
#11,Cais Erik  - BacigÃ¡l Igor Å koda Fabia RS Rally2,RC2,15:14.4,5:55.8,14:00.3,7:44.5,2:19.9,10:22.0,9:48.6,10:24.4,9:34.6
#12,RÃ¥dstrÃ¶m Dennis  - Johansson J. Ford Fiesta Rally2,RC2,15:19.5,5:57.0,14:01.3,7:36.7,2:23.7,10:26.1,10:09.4,11:09.4,9:44.9
#14,Virves Robert  - Drew Craig Ford Fiesta Rally2,RC2,14:48.2,5:46.9,13:43.5,7:30.9,2:19.0,10:19.0,9:48.8,10:14.8,9:44.0
#15,Campedelli Simone  - Canton Tania Å koda Fabia Rally2 evo,RC2,15:05.6,5:59.2,14:00.5,7:36.5,2:21.8,10:21.9,9:56.7,10:15.8,9:36.7
#16,LÃ¡szlÃ³ Martin  - Berendi DÃ¡vid Å koda Fabia Rally2 evo,RC2,15:33.0,6:04.2,14:08.6,7:42.7,2:23.8,10:41.7,10:03.5,10:46.9,9:48.7
#17,Pryce Osian  - PrÃ©vot StÃ©phane Å koda Fabia Rally2 evo,RC2,15:18.7,6:01.0,13:55.1,7:34.3,2:24.9,10:21.8,9:55.4,10:29.6,9:48.0
#18,Battistolli A.  - Scattolin S. Å koda Fabia RS Rally2,RC2,15:17.1,6:02.8,14:04.1,7:36.4,2:21.1,10:22.4,10:05.9,10:39.2,9:46.1
#19,KoÅtun JarosÅaw  - Pleskot I. Ford Fiesta Rally2,RC2,16:08.3,6:08.9,14:40.6,8:04.0,2:26.4,10:52.4,10:31.6,10:50.6,9:53.1
#2,Ãstberg Mads  - Barth Patrik CitroÃ«n C3 Rally2,RC2,14:46.9,5:56.0,13:32.4,7:26.7,2:20.6,10:16.1,9:48.1,10:10.8,9:33.7
#20,Cuzma Bogdan  - Minor Ilka Å koda Fabia RS Rally2,RC2,16:20.8,6:34.4,15:16.9,11:53.0,2:35.0,11:38.5,11:00.0,11:36.8,10:18.6
#21,Bertolotti Simone  - Capilli F. CitroÃ«n C3 Rally2,RC2,16:42.1,6:33.1,15:46.1,8:37.8,2:28.3,11:53.0,11:24.0,11:41.1,10:36.2
#22,Armstrong Jon  - Fair Cameron Ford Fiesta Rally3,RC3,15:32.4,5:55.1,14:14.3,7:48.5 [N],2:26.7,10:45.8,10:23.8,10:54.7,9:57.0
#23,Matulka Jakub  - Dymurski Daniel Ford Fiesta Rally3,RC3,15:47.7,6:07.8,14:52.3,8:08.3,2:26.9,11:06.2,10:25.6,11:02.2,10:04.6
#24,Parys Piotr  - Syty Damian Ford Fiesta Rally3,RC3,15:45.0,6:23.1,14:44.8,8:05.7,2:26.6,10:57.5,10:20.4,11:20.8,10:15.9
#25,Soria Paulo  - Itu Sergiu Renault Clio Rally3,RC3,15:46.9,6:32.4,15:03.2,8:08.1,2:27.8,10:58.3,10:22.6,11:10.2,10:03.7
#26,Nore Ola Jr.  - Eriksen Torstein Renault Clio Rally4,RC4,16:08.4,6:54.7,15:21.8,8:35.9,2:37.4,11:40.0,11:05.3,11:57.1,10:49.7
#27,Maior Norbert  - Maior F. Peugeot 208 Rally4,RC4,16:22.2,7:16.1,15:33.4,8:40.7,2:32.9,11:56.7,11:00.8,11:44.8,10:33.2
#28,Hansen Victor  - Johansson Victor Peugeot 208 Rally4,RC4,16:36.2,6:36.0,15:26.0,8:36.6,2:38.9,11:49.9,11:00.7,12:12.0,10:37.9
#29,DaprÃ Roberto  - Guglielmetti L. Peugeot 208 Rally4,RC4,16:28.4,6:37.6,15:57.0,8:49.2,2:33.6,12:06.1,11:11.7,12:36.9,10:45.7
#3,Llarena EfrÃ©n  - FernÃ¡ndez Sara Å koda Fabia Rally2 evo,RC2,14:57.0,5:54.3,13:52.1,7:34.0,2:19.3,10:23.3,9:55.8,10:30.3,9:39.5
#30,Jalava Miko  - Peippo Matias Ford Fiesta Rally4,RC4,16:37.6,6:41.0,15:44.8,8:43.0,2:36.7,11:54.7,-,-,-
#31,McRae Max  - Kierans Mac Opel Corsa Rally4,RC4,16:14.3,6:33.4,15:34.4,8:39.8,2:35.3,11:45.6,11:10.7,11:47.9,10:45.6
#32,Raftery Aoife  - Williams Claire Peugeot 208 Rally4,RC4,16:50.9,6:58.1,16:19.2,8:54.4,2:49.2,12:23.4,11:36.5,12:30.7,11:02.9
#33,Zanin Mattia  - Pizzol Fabio Peugeot 208 Rally4,RC4,16:45.3,6:50.4,16:16.1,9:03.2,2:36.3,12:15.4,11:31.6,12:21.5,10:53.0
#34,Schulz Timo  - Wenzel Michael Opel Corsa Rally4,RC4,17:11.6,6:39.3,15:58.5,8:45.4,2:51.4,11:56.4,11:06.6,11:46.1,10:29.8
#35,Johansson Mille  - GrÃ¶nvall Johan Ford Fiesta Rally4,RC4,17:20.1,6:32.2,15:42.9,11:26.7,2:37.6,12:02.1,11:12.7,12:01.0,10:37.7
#36,Andersson Simon  - JÃ¶nsson J. Peugeot 208 Rally4,RC4,18:01.4,6:44.2,16:20.3,9:05.6,2:31.8,12:26.7,11:14.7,12:48.5,11:49.2
#37,Vaher Jaspar  - Mitendorf Evelin Ford Fiesta Rally4,RC4,16:06.4,6:24.4,15:25.6,8:29.4,-,-,-,-,-
#38,Sei Karl-Markus  - Leotoots Martin Peugeot 208 Rally4,RC4,19:21.3,6:33.6,15:31.2,8:39.4,2:33.2,12:08.1,11:04.8,-,-
#39,Noller RenÃ©  - Solbach-Schmidt N. Peugeot 208 Rally4,RC4,16:46.3,6:47.0,16:25.9,9:09.6,2:42.8,12:34.6,11:35.0,13:01.9,14:10.1
#4,Mabellini Andrea  - Lenzi Virginia Å koda Fabia Rally2 evo,RC2,15:27.9,5:59.1,13:57.7,7:51.2,2:17.9,10:22.7,9:52.6,10:22.3,9:37.0
