Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#5,Sesks MÄrtiÅÅ¡  - Francis R. Å koda Fabia RS Rally2,RC2,14:30.5,,114.0,1
2,#2,Ãstberg Mads  - Barth Patrik CitroÃ«n C3 Rally2,RC2,14:46.9,+16.4 +  16.4,111.9 0.60,1
3,#14,Virves Robert  - Drew Craig Ford Fiesta Rally2,RC2,14:48.2,+17.7 +  1.3,111.7 0.64,1
4,#1,Paddon Hayden  - Kennard John Hyundai i20 N Rally2,RC2,14:52.4,+21.9 +  4.2,111.2 0.79,1
5,#3,Llarena EfrÃ©n  - FernÃ¡ndez Sara Å koda Fabia Rally2 evo,RC2,14:57.0,+26.5 +  4.6,110.6 0.96,1
5,#8,LinnamÃ¤e Georg  - Morgan James Hyundai i20 N Rally2,RC2,14:57.0,+26.5 +  0.0,110.6 0.96,1
7,#7,HeikkilÃ¤ Mikko  - Vaaleri Samu Å koda Fabia Rally2 evo,RC2,15:04.2,+33.7 +  7.2,109.7 1.22,1
8,#15,Campedelli Simone  - Canton Tania Å koda Fabia Rally2 evo,RC2,15:05.6,+35.1 +  1.4,109.6 1.27,1
9,#6,Franceschi M.  - Escartefigue J. Å koda Fabia Rally2 evo,RC2,15:05.9,+35.4 +  0.3,109.5 1.28,1
10,#9,McErlean Josh  - Fulton James Hyundai i20 N Rally2,RC2,15:06.4,+35.9 +  0.5,109.5 1.30,1
11,#11,Cais Erik  - BacigÃ¡l Igor Å koda Fabia RS Rally2,RC2,15:14.4,+43.9 +  8.0,108.5 1.59,1
12,#18,Battistolli A.  - Scattolin S. Å koda Fabia RS Rally2,RC2,15:17.1,+46.6 +  2.7,108.2 1.69,1
13,#17,Pryce Osian  - PrÃ©vot StÃ©phane Å koda Fabia Rally2 evo,RC2,15:18.7,+48.2 +  1.6,108.0 1.75,1
14,#12,RÃ¥dstrÃ¶m Dennis  - Johansson J. Ford Fiesta Rally2,RC2,15:19.5,+49.0 +  0.8,107.9 1.78,1
15,#53,Terlecki Aleksander  - Szeja M. Å koda Fabia Rally2 evo,RC2,15:25.0,+54.5 +  5.5,107.3 1.98,1
16,#4,Mabellini Andrea  - Lenzi Virginia Å koda Fabia Rally2 evo,RC2,15:27.9,+57.4 +  2.9,106.9 2.08,1
17,#56,Laskowski Hubert  - KuÅnierz M. Ford Fiesta Rally3,RC3,15:28.9,+58.4 +  1.0,106.8 2.12,1
18,#22,Armstrong Jon  - Fair Cameron Ford Fiesta Rally3,RC3,15:32.4,+1:01.9 +  3.5,106.4 2.25,1
19,#16,LÃ¡szlÃ³ Martin  - Berendi DÃ¡vid Å koda Fabia Rally2 evo,RC2,15:33.0,+1:02.5 +  0.6,106.3 2.27,1
20,#10,MareÅ¡ Filip  - Bucha Radovan Å koda Fabia Rally2 evo,RC2,15:36.2,+1:05.7 +  3.2,106.0 2.38,1
21,#52,Mauro SÃ¡nchez A.  - Sanjuan de Eusebio D. Å koda Fabia Rally2 evo,RC2,15:42.3,+1:11.8 +  6.1,105.3 2.61,1
22,#24,Parys Piotr  - Syty Damian Ford Fiesta Rally3,RC3,15:45.0,+1:14.5 +  2.7,105.0 2.70,1
23,#25,Soria Paulo  - Itu Sergiu Renault Clio Rally3,RC3,15:46.9,+1:16.4 +  1.9,104.8 2.77,1
24,#23,Matulka Jakub  - Dymurski Daniel Ford Fiesta Rally3,RC3,15:47.7,+1:17.2 +  0.8,104.7 2.80,1
25,#48,Yamamoto Yuki  - Teiskonen Miika Renault Clio Rally4,RC4,15:50.3,+1:19.8 +  2.6,104.4 2.90,1
25,#57,Kelly Eamonn  - Mohan Conor Ford Fiesta Rally3,RC3,15:50.3,+1:19.8 +  0.0,104.4 2.90,1
27,#55,Korzun Anton  - Kononov Pavlo Å koda Fabia Rally2-Kit,RC2,15:51.8,+1:21.3 +  1.5,104.2 2.95,1
28,#49,Otake Nao  - Salminen Marko Renault Clio Rally4,RC4,15:55.4,+1:24.9 +  3.6,103.8 3.08,1
29,#54,Potiiko Serhii  - Mishyn Ivan Å koda Fabia Rally2-Kit,RC2,15:57.6,+1:27.1 +  2.2,103.6 3.16,1
30,#47,Kogure Hikaru  - Luhtinen T. Renault Clio Rally4,RC4,16:02.3,+1:31.8 +  4.7,103.1 3.33,1
31,#37,Vaher Jaspar  - Mitendorf Evelin Ford Fiesta Rally4,RC4,16:06.4,+1:35.9 +  4.1,102.7 3.48,1
32,#19,KoÅtun JarosÅaw  - Pleskot I. Ford Fiesta Rally2,RC2,16:08.3,+1:37.8 +  1.9,102.5 3.55,1
33,#26,Nore Ola Jr.  - Eriksen Torstein Renault Clio Rally4,RC4,16:08.4,+1:37.9 +  0.1,102.5 3.55,1
34,#31,McRae Max  - Kierans Mac Opel Corsa Rally4,RC4,16:14.3,+1:43.8 +  5.9,101.8 3.77,1
35,#58,Fontana Matteo  - Arena Nicola Peugeot 208 Rally4,RC4,16:16.9,+1:46.4 +  2.6,101.6 3.86,1
36,#20,Cuzma Bogdan  - Minor Ilka Å koda Fabia RS Rally2,RC2,16:20.8,+1:50.3 +  3.9,101.2 4.00,1
37,#27,Maior Norbert  - Maior F. Peugeot 208 Rally4,RC4,16:22.2,+1:51.7 +  1.4,101.0 4.05,1
38,#29,DaprÃ Roberto  - Guglielmetti L. Peugeot 208 Rally4,RC4,16:28.4,+1:57.9 +  6.2,100.4 4.28,1
38,#44,Tiits Mark-Egert  - Viilo Jakko Ford Fiesta Rally4,RC4,16:28.4,+1:57.9 +  0.0,100.4 4.28,1
40,#28,Hansen Victor  - Johansson Victor Peugeot 208 Rally4,RC4,16:36.2,+2:05.7 +  7.8,99.6 4.56,1
41,#30,Jalava Miko  - Peippo Matias Ford Fiesta Rally4,RC4,16:37.6,+2:07.1 +  1.4,99.5 4.61,1
42,#46,Hangodi BendegÃºz  - Bunkoczi L. Peugeot 208 Rally4,RC4,16:38.0,+2:07.5 +  0.4,99.4 4.63,1
43,#21,Bertolotti Simone  - Capilli F. CitroÃ«n C3 Rally2,RC2,16:42.1,+2:11.6 +  4.1,99.0 4.78,1
44,#33,Zanin Mattia  - Pizzol Fabio Peugeot 208 Rally4,RC4,16:45.3,+2:14.8 +  3.2,98.7 4.89,1
45,#39,Noller RenÃ©  - Solbach-Schmidt N. Peugeot 208 Rally4,RC4,16:46.3,+2:15.8 +  1.0,98.6 4.93,1
46,#51,Uger Sergey  - Uger Obolenskaya M. Ford Fiesta R5,RC2,16:47.6,+2:17.1 +  1.3,98.5 4.97,1
47,#50,Tiramani Christian  - Grimaldi F. Å koda Fabia R5,RC2,16:48.8,+2:18.3 +  1.2,98.4 5.02,1
48,#60,Orgus Keiro  - Kraav Hendrik Ford Fiesta Rally4,RC4,16:49.3,+2:18.8 +  0.5,98.3 5.04,1
49,#61,Zakmans Ilja  - Å½akmane Estere Mitsubishi Lancer Evo X,RC2,16:50.5,+2:20.0 +  1.2,98.2 5.08,1
50,#32,Raftery Aoife  - Williams Claire Peugeot 208 Rally4,RC4,16:50.9,+2:20.4 +  0.4,98.1 5.09,1
51,#45,Kreuter Norman  - Seidl Anna-Maria Peugeot 208 Rally4,RC4,17:00.3,+2:29.8 +  9.4,97.2 5.44,1
52,#41,Kramer A.  - Kvick Andersson J. Peugeot 208 Rally4,RC4,17:00.7,+2:30.2 +  0.4,97.2 5.45,1
53,#34,Schulz Timo  - Wenzel Michael Opel Corsa Rally4,RC4,17:11.6,+2:41.1 +  10.9,96.2 5.85,1
54,#35,Johansson Mille  - GrÃ¶nvall Johan Ford Fiesta Rally4,RC4,17:20.1,+2:49.6 +  8.5,95.4 6.15,1
55,#36,Andersson Simon  - JÃ¶nsson J. Peugeot 208 Rally4,RC4,18:01.4,+3:30.9 +  41.3,91.7 7.65,1
56,#38,Sei Karl-Markus  - Leotoots Martin Peugeot 208 Rally4,RC4,19:21.3,+4:50.8 +  1:19.9,85.4 10.6,1
57,#40,Zeiringer Fabian  - Letz Angelika Opel Corsa Rally4  [SR],RC4,25:50.3,+11:19.8 +  6:29.0,64.0 24.7,1
57,#59,Schwarz Fabio  - Ettel Bernhard Ford Fiesta Rally4  [SR],RC4,25:50.3 [N],+11:19.8 +  0.0,64.0 24.7,1
1,#5,Sesks MÄrtiÅÅ¡  - Francis R. Å koda Fabia RS Rally2,RC2,5:46.6,,88.3,3
2,#14,Virves Robert  - Drew Craig Ford Fiesta Rally2,RC2,5:46.9,+0.3 +  0.3,88.2 0.04,3
3,#1,Paddon Hayden  - Kennard John Hyundai i20 N Rally2,RC2,5:47.4,+0.8 +  0.5,88.1 0.09,3
4,#10,MareÅ¡ Filip  - Bucha Radovan Å koda Fabia Rally2 evo,RC2,5:52.1,+5.5 +  4.7,86.9 0.65,3
5,#9,McErlean Josh  - Fulton James Hyundai i20 N Rally2,RC2,5:52.7,+6.1 +  0.6,86.8 0.72,3
6,#7,HeikkilÃ¤ Mikko  - Vaaleri Samu Å koda Fabia Rally2 evo,RC2,5:53.0,+6.4 +  0.3,86.7 0.75,3
7,#3,Llarena EfrÃ©n  - FernÃ¡ndez Sara Å koda Fabia Rally2 evo,RC2,5:54.3,+7.7 +  1.3,86.4 0.91,3
7,#8,LinnamÃ¤e Georg  - Morgan James Hyundai i20 N Rally2,RC2,5:54.3,+7.7 +  0.0,86.4 0.91,3
9,#6,Franceschi M.  - Escartefigue J. Å koda Fabia Rally2 evo,RC2,5:54.7,+8.1 +  0.4,86.3 0.95,3
10,#22,Armstrong Jon  - Fair Cameron Ford Fiesta Rally3,RC3,5:55.1,+8.5 +  0.4,86.2 1.00,3
11,#11,Cais Erik  - BacigÃ¡l Igor Å koda Fabia RS Rally2,RC2,5:55.8,+9.2 +  0.7,86.0 1.08,3
12,#2,Ãstberg Mads  - Barth Patrik CitroÃ«n C3 Rally2,RC2,5:56.0,+9.4 +  0.2,86.0 1.11,3
13,#12,RÃ¥dstrÃ¶m Dennis  - Johansson J. Ford Fiesta Rally2,RC2,5:57.0,+10.4 +  1.0,85.7 1.22,3
14,#4,Mabellini Andrea  - Lenzi Virginia Å koda Fabia Rally2 evo,RC2,5:59.1,+12.5 +  2.1,85.2 1.47,3
15,#15,Campedelli Simone  - Canton Tania Å koda Fabia Rally2 evo,RC2,5:59.2,+12.6 +  0.1,85.2 1.48,3
16,#17,Pryce Osian  - PrÃ©vot StÃ©phane Å koda Fabia Rally2 evo,RC2,6:01.0,+14.4 +  1.8,84.8 1.69,3
17,#18,Battistolli A.  - Scattolin S. Å koda Fabia RS Rally2,RC2,6:02.8,+16.2 +  1.8,84.3 1.91,3
18,#16,LÃ¡szlÃ³ Martin  - Berendi DÃ¡vid Å koda Fabia Rally2 evo,RC2,6:04.2,+17.6 +  1.4,84.0 2.07,3
19,#23,Matulka Jakub  - Dymurski Daniel Ford Fiesta Rally3,RC3,6:07.8,+21.2 +  3.6,83.2 2.49,3
20,#19,KoÅtun JarosÅaw  - Pleskot I. Ford Fiesta Rally2,RC2,6:08.9,+22.3 +  1.1,82.9 2.62,3
21,#56,Laskowski Hubert  - KuÅnierz M. Ford Fiesta Rally3,RC3,6:11.8,+25.2 +  2.9,82.3 2.96,3
22,#57,Kelly Eamonn  - Mohan Conor Ford Fiesta Rally3,RC3,6:16.3,+29.7 +  4.5,81.3 3.49,3
23,#53,Terlecki Aleksander  - Szeja M. Å koda Fabia Rally2 evo,RC2,6:20.3,+33.7 +  4.0,80.5 3.96,3
24,#24,Parys Piotr  - Syty Damian Ford Fiesta Rally3,RC3,6:23.1,+36.5 +  2.8,79.9 4.29,3
25,#37,Vaher Jaspar  - Mitendorf Evelin Ford Fiesta Rally4,RC4,6:24.4,+37.8 +  1.3,79.6 4.45,3
