Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,5,Solberg  Oliver  /  Edmondson  E.  Volkswagen Polo Gti R5,RC2,00:04:16.2,133.77 0.00,00:00:00.0 00:00:00.0,14
2,6,Sesks  M.  /  Francis  Renārs  Škoda Fabia RS Rally2,RC2,00:04:18.5,132.58 0.24,00:00:02.3 00:00:02.3,14
3,18,Joona  Lauri  /  Hussi  Janni  Škoda Fabia RS Rally2,RC2,00:04:18.8,132.43 0.27,00:00:02.6 00:00:00.3,14
4,1,Paddon  Hayden  /  Kennard  John  Hyundai i20 N Rally2,RC2,00:04:19.9,131.87 0.39,00:00:03.7 00:00:01.1,14
5,19,Gryazin  Nikolay  /  Aleksandrov  K.  Škoda Fabia RS Rally2,RC2,00:04:20.8,131.41 0.48,00:00:04.6 00:00:00.9,14
6,47,Åhlin  Fredrik  /  Sjöberg  Joakim  Škoda Fabia R5,RC2,00:04:22.5,130.56 0.66,00:00:06.3 00:00:01.7,14
7,48,Åkesson  Jonas  /  Bengtsson  Maja  Škoda Fabia R5,RC2,00:04:23.1,130.26 0.72,00:00:06.9 00:00:00.6,14
8,2,Østberg  Mads  /  Barth  Patrik  Citroën C3 Rally2,RC2,00:04:23.4,130.11 0.76,00:00:07.2 00:00:00.2,14
9,23,Gustafsson  K.  /  Nilsson  Magnus  Ford Fiesta Rally2 MkII,RC2,00:04:24.0,129.82 0.82,00:00:07.8 00:00:00.6,14
10,10,Mareš  Filip  /  Bucha  Radovan  Škoda Fabia Rally2 Evo,RC2,00:04:24.1,129.77 0.83,00:00:07.9 00:00:00.1,14
11,9,McErlean  Joshua  /  Fulton  James  Hyundai i20 N Rally2,RC2,00:04:24.3,129.67 0.85,00:00:08.1 00:00:00.1,14
12,7,Franceschi  M.  /  Escartefigue  J.  Škoda Fabia Rally2 Evo,RC2,00:04:24.4,129.62 0.86,00:00:08.2 00:00:00.0,14
13,4,Mabellini  A.  /  Lenzi  Virginia  Škoda Fabia Rally2 Evo,RC2,00:04:25.6,129.04 0.99,00:00:09.4 00:00:01.2,14
14,17,Armstrong  Jon  /  Thulin  Julia  Ford Fiesta Rally2 MkII,RC2,00:04:26.9,128.41 1.12,00:00:10.7 00:00:01.3,14
15,15,Battistolli  A.  /  Scattolin  S.  Škoda Fabia RS Rally2,RC2,00:04:28.2,127.79 1.26,00:00:12.0 00:00:01.3,14
16,26,Creighton  W.  /  Regan  Liam  Ford Fiesta Rally3,RC3,00:04:35.9,124.22 2.07,00:00:19.7 00:00:07.7,14
17,12,László  Martin  /  Berendi  Dávid  Škoda Fabia Rally2 Evo,RC2,00:04:39.1,122.79 2.41,00:00:22.9 00:00:03.2,14
18,25,Al-Rashed  Rakan  /  Haapala  Antti  Škoda Fabia RS Rally2,RC2,00:04:43.4,120.93 2.86,00:00:27.2 00:00:04.3,14
19,44,Reiersen  Isak  /  Karlsson  Lucas  Ford Fiesta Rally4,RC4,00:04:44.8,120.34 3.00,00:00:28.6 00:00:01.4,14
20,50,O'Brien  Patrick  /  O'Brien  Stephen  Škoda Fabia R5,RC2,00:04:45.6,120.00 3.09,00:00:29.4 00:00:00.8,14
21,45,Hallberg  Patrik  /  Stigh  John  Ford Fiesta Rally4,RC4,00:04:48.0,119.00 3.34,00:00:31.8 00:00:02.4,14
22,39,Johansson  Mille  /  Grönvall  Johan  Ford Fiesta Rally4,RC4,00:04:48.1,118.96 3.35,00:00:31.9 00:00:00.1,14
23,30,Maior  Norbert  /  Maior  Francesca  Peugeot 208 Rally4,RC4,00:04:49.6,118.34 3.51,00:00:33.4 00:00:01.5,14
24,31,Daprà  Roberto  /  Guglielmetti  L.  Peugeot 208 Rally4,RC4,00:04:50.0,118.18 3.55,00:00:33.8 00:00:00.3,14
25,35,Tiits  M.  /  Viilo  Jakko  Ford Fiesta Rally4,RC4,00:04:50.9,117.81 3.64,00:00:34.7 00:00:00.8,14
26,32,McRae  Max  /  Kierans  M.  Opel Corsa Rally4,RC4,00:04:51.4,117.61 3.70,00:00:35.2 00:00:00.5,14
27,28,Nore  Ola jun.  /  Eilertsen  Rune  Renault Clio Rally4,RC4,00:04:51.9,117.41 3.75,00:00:35.7 00:00:00.5,14
28,21,Somaschini  R.  /  Arena  Nicola  Citroën C3 Rally2,RC2,00:04:54.0,116.57 3.97,00:00:37.8 00:00:02.1,14
29,41,Andersson  Simon  /  Jonsson  Jörgen  Renault Clio Rally4,RC4,00:04:54.9,116.22 4.07,00:00:38.7 00:00:00.8,14
30,37,Schulz  Timo  /  Wenzel  Michael  Opel Corsa Rally4,RC4,00:04:56.8,115.47 4.26,00:00:40.6 00:00:01.9,14
31,29,Hansen  Victor  /  Johansson  V.  Peugeot 208 Rally4,RC4,00:04:58.4,114.85 4.43,00:00:42.2 00:00:01.6,14
32,20,Cuzma  Bogdan  /  Minor  Ilka  Škoda Fabia RS Rally2,RC2,00:04:58.9,114.66 4.49,00:00:42.7 00:00:00.5,14
