,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
No,Crew,Gr/Cl,,,,,,,,,,,,,,,,
#1,Paddon Hayden  - Kennard John Hyundai i20 N Rally2,RC2,4:15.0,9:48.9,7:21.5,4:31.5,4:09.4,9:38.2,7:11.4,4:26.7,4:47.0,4:20.6 [N],5:29.2,4:47.8,4:41.3,4:19.9,5:30.7,4:39.8
#10,Mareš Filip  - Bucha Radovan Škoda Fabia Rally2 evo,RC2,4:26.5,10:07.7,7:35.5,4:38.1,4:16.9,9:48.4,7:20.6,4:32.1,4:58.8,4:34.1,5:42.2,4:56.0,4:49.7,4:24.1,5:27.6,4:46.8
#11,Rådström Dennis  - Johansson J. Ford Fiesta Rally2,RC2,4:25.9,10:18.4,7:47.8,4:49.3,4:24.8,-,-,-,-,-,-,-,-,-,-,-
#12,László Martin  - Berendi Dávid Škoda Fabia Rally2 evo,RC2,4:32.0,11:23.1,8:09.4,5:04.7,4:28.5,10:13.0,7:38.2,4:45.6,5:03.7,4:41.7,5:49.8,5:31.3,5:00.3,4:39.1,5:43.5,5:14.7
#14,Campedelli Simone  - Canton Tania Škoda Fabia Rally2 evo,RC2,24:19.3,10:20.1,7:41.0,4:41.6,4:18.7,9:57.3,7:25.5,4:34.8,5:01.5,-,-,-,-,-,-,-
#15,Battistolli A.  - Scattolin S. Škoda Fabia RS Rally2,RC2,4:27.8,10:25.3,7:55.1,4:53.7,4:23.5,10:07.0,7:35.4,4:43.1,5:00.8,4:54.8,5:40.4,4:57.1,4:51.9,4:28.2,5:34.7,4:54.5
#16,Veiby O.  - Andersson J. Volkswagen Polo GTI R5,RC2,4:24.2,10:09.7,8:00.2,4:41.1,4:18.6,9:54.8,7:23.1,4:30.3,5:39.2,-,-,-,-,-,-,-
#17,Armstrong Jon  - Thulin Julia Ford Fiesta Rally2,RC2,4:25.8,10:17.4,7:46.7,4:42.0,4:26.7,10:00.2,7:28.3,4:34.8,4:57.8,4:37.6,5:40.6,4:57.1,4:52.6,4:26.9,5:31.3,4:50.2
#18,Joona Lauri  - Hussi Janni Škoda Fabia RS Rally2,RC2,4:22.1,10:00.7,7:29.5,4:36.0,4:13.2,9:42.2,7:17.7,4:29.7,4:53.7,4:28.5,5:33.1,4:50.8,4:43.7,4:18.8,5:24.1,4:45.1
#19,Gryazin Nikolay  - Aleksandrov K. Škoda Fabia RS Rally2,RC2,4:17.6,10:00.4,7:28.9,4:35.0,4:13.7,9:43.3,7:16.2,4:27.8,4:52.0,4:26.7,5:29.8,4:48.4,4:43.7,4:20.8,5:21.6,4:43.1
#2,Østberg Mads  - Barth Patrik Citroën C3 Rally2,RC2,4:25.5,10:13.5,7:38.1,4:39.6,4:17.7,9:54.0,7:23.7,4:32.5,4:59.0,4:31.5,5:40.1,4:51.6,4:47.4,4:23.4,5:28.5,4:46.3
#20,Cuzma Bogdan  - Minor Ilka Škoda Fabia RS Rally2,RC2,19:38.3,11:25.1,8:33.3,5:19.7,4:48.0,11:06.9,8:19.5,5:09.8,5:25.2,5:04.5,6:11.4,5:30.1,5:19.7,4:58.9,6:01.4,5:29.9
