Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#1,Paddon Hayden  - Kennard John Hyundai i20 N Rally2,RC2,4:15.0,,114.2,1
2,#5,Solberg Oliver  - Edmondson E. Volkswagen Polo GTI R5,RC2,4:15.4,+0.4 +  0.4,114.0 0.05,1
3,#19,Gryazin Nikolay  - Aleksandrov K. Škoda Fabia RS Rally2,RC2,4:17.6,+2.6 +  2.2,113.1 0.32,1
4,#6,Sesks Mārtiņš  - Francis R. Škoda Fabia RS Rally2,RC2,4:17.8,+2.8 +  0.2,113.0 0.35,1
4,#8,Heikkilä Mikko  - Vaaleri Samu Škoda Fabia Rally2 evo,RC2,4:17.8,+2.8 +  0.0,113.0 0.35,1
6,#22,Larsen Frank Tore  - Eriksen T. Volkswagen Polo GTI R5,RC2,4:19.0,+4.0 +  1.2,112.4 0.49,1
7,#9,McErlean Josh  - Fulton James Hyundai i20 N Rally2,RC2,4:20.0,+5.0 +  1.0,112.0 0.62,1
8,#48,Åkesson Jonas  - Bengtsson Maja Škoda Fabia R5,RC2,4:20.3,+5.3 +  0.3,111.9 0.66,1
9,#7,Franceschi M.  - Escartefigue J. Škoda Fabia Rally2 evo,RC2,4:21.3,+6.3 +  1.0,111.5 0.78,1
10,#18,Joona Lauri  - Hussi Janni Škoda Fabia RS Rally2,RC2,4:22.1,+7.1 +  0.8,111.1 0.88,1
11,#3,Llarena Efrén  - Fernández Sara Škoda Fabia Rally2 evo,RC2,4:22.6,+7.6 +  0.5,110.9 0.94,1
12,#47,Åhlin Fredrik  - Sjöberg Joakim Škoda Fabia R5,RC2,4:22.9,+7.9 +  0.3,110.8 0.98,1
13,#16,Veiby O.  - Andersson J. Volkswagen Polo GTI R5,RC2,4:24.2,+9.2 +  1.3,110.2 1.14,1
14,#4,Mabellini Andrea  - Lenzi Virginia Škoda Fabia Rally2 evo,RC2,4:25.1,+10.1 +  0.9,109.9 1.25,1
15,#2,Østberg Mads  - Barth Patrik Citroën C3 Rally2,RC2,4:25.5,+10.5 +  0.4,109.7 1.30,1
16,#17,Armstrong Jon  - Thulin Julia Ford Fiesta Rally2,RC2,4:25.8,+10.8 +  0.3,109.6 1.33,1
16,#23,Gustafsson Kalle  - Nilsson Magnus Ford Fiesta Rally2,RC2,4:25.8,+10.8 +  0.0,109.6 1.33,1
18,#11,Rådström Dennis  - Johansson J. Ford Fiesta Rally2,RC2,4:25.9,+10.9 +  0.1,109.5 1.35,1
19,#10,Mareš Filip  - Bucha Radovan Škoda Fabia Rally2 evo,RC2,4:26.5,+11.5 +  0.6,109.3 1.42,1
20,#15,Battistolli A.  - Scattolin S. Škoda Fabia RS Rally2,RC2,4:27.8,+12.8 +  1.3,108.8 1.58,1
21,#24,Binbach William  - Eriksen Jørgen Hyundai i20 R5,RC2,4:30.3,+15.3 +  2.5,107.7 1.89,1
22,#12,László Martin  - Berendi Dávid Škoda Fabia Rally2 evo,RC2,4:32.0,+17.0 +  1.7,107.1 2.10,1
23,#26,Creighton William  - Regan Liam Ford Fiesta Rally3,RC3,4:32.9,+17.9 +  0.9,106.7 2.21,1
24,#50,O'Brien Patrick  - O'Brien Stephen Škoda Fabia R5,RC2,4:36.1,+21.1 +  3.2,105.5 2.61,1
25,#44,Reiersen Isak  - Karlsson Lucas Ford Fiesta Rally4,RC4,4:37.9,+22.9 +  1.8,104.8 2.83,1
26,#49,Lassila Leevi  - Lukka Mikko Ford Fiesta Rally4,RC4,4:40.8,+25.8 +  2.9,103.7 3.19,1
27,#28,Nore Ola Jr.  - Eilertsen Rune Renault Clio Rally4,RC4,4:43.1,+28.1 +  2.3,102.9 3.47,1
28,#45,Hallberg Patrik  - Stigh John Ford Fiesta Rally4,RC4,4:43.3,+28.3 +  0.2,102.8 3.50,1
29,#31,Daprà Roberto  - Guglielmetti L. Peugeot 208 Rally4,RC4,4:43.6,+28.6 +  0.3,102.7 3.54,1
30,#32,McRae Max  - Kierans Mac Opel Corsa Rally4,RC4,4:43.7,+28.7 +  0.1,102.7 3.55,1
31,#27,Feofanov Dmitry  - Kokins Normunds Ford Fiesta Rally3,RC3,4:44.0,+29.0 +  0.3,102.5 3.58,1
32,#25,Al-Rashed Rakan  - Haapala Antti Škoda Fabia RS Rally2,RC2,4:45.9,+30.9 +  1.9,101.9 3.82,1
33,#30,Maior Norbert  - Maior F. Peugeot 208 Rally4,RC4,4:46.7,+31.7 +  0.8,101.6 3.92,1
34,#35,Tiits Mark-Egert  - Viilo Jakko Ford Fiesta Rally4,RC4,4:47.5,+32.5 +  0.8,101.3 4.02,1
34,#41,Andersson Simon  - Jönsson J. Renault Clio Rally4,RC4,4:47.5,+32.5 +  0.0,101.3 4.02,1
36,#39,Johansson Mille  - Grönvall Johan Ford Fiesta Rally4,RC4,4:47.7,+32.7 +  0.2,101.2 4.04,1
37,#29,Hansen Victor  - Johansson Victor Peugeot 208 Rally4,RC4,4:49.0,+34.0 +  1.3,100.8 4.20,1
38,#21,Somaschini Rachele  - Arena Nicola Citroën C3 Rally2,RC2,4:51.3,+36.3 +  2.3,100.0 4.49,1
39,#36,Jalava Miko  - Peippo Matias Ford Fiesta Rally4,RC4,4:52.9,+37.9 +  1.6,99.4 4.68,1
40,#34,Zanin Mattia  - Pizzol Fabio Peugeot 208 Rally4,RC4,4:54.5,+39.5 +  1.6,98.9 4.88,1
41,#40,Kramer A.  - Kvick Andersson J. Peugeot 208 Rally4,RC4,4:57.0,+42.0 +  2.5,98.1 5.19,1
42,#46,Kreuter Norman  - Lade Maresa Peugeot 208 Rally4,RC4,5:02.0,+47.0 +  5.0,96.4 5.81,1
43,#33,Raftery Aoife  - Kierans Arthur Peugeot 208 Rally4,RC4,5:02.4,+47.4 +  0.4,96.3 5.86,1
44,#38,Spitalier Patrice  - Spitalier N. Peugeot 208 Rally4,RC4,5:06.5,+51.5 +  4.1,95.0 6.37,1
45,#37,Schulz Timo  - Wenzel Michael Opel Corsa Rally4,RC4,5:14.5,+59.5 +  8.0,92.6 7.35,1
46,#20,Cuzma Bogdan  - Minor Ilka Škoda Fabia RS Rally2,RC2,19:38.3,+15:23.3 +  14:23.8,24.7 114.1,1
47,#14,Campedelli Simone  - Canton Tania Škoda Fabia Rally2 evo,RC2,24:19.3,+20:04.3 +  4:41.0,20.0 148.9,1
1,#1,Paddon Hayden  - Kennard John Hyundai i20 N Rally2,RC2,9:48.9,,123.5,2
2,#5,Solberg Oliver  - Edmondson E. Volkswagen Polo GTI R5,RC2,9:51.0,+2.1 +  2.1,123.0 0.10,2
3,#22,Larsen Frank Tore  - Eriksen T. Volkswagen Polo GTI R5,RC2,9:57.7,+8.8 +  6.7,121.7 0.44,2
4,#19,Gryazin Nikolay  - Aleksandrov K. Škoda Fabia RS Rally2,RC2,10:00.4,+11.5 +  2.7,121.1 0.57,2
5,#18,Joona Lauri  - Hussi Janni Škoda Fabia RS Rally2,RC2,10:00.7,+11.8 +  0.3,121.1 0.58,2
6,#8,Heikkilä Mikko  - Vaaleri Samu Škoda Fabia Rally2 evo,RC2,10:01.9,+13.0 +  1.2,120.8 0.64,2
7,#6,Sesks Mārtiņš  - Francis R. Škoda Fabia RS Rally2,RC2,10:03.9,+15.0 +  2.0,120.4 0.74,2
8,#10,Mareš Filip  - Bucha Radovan Škoda Fabia Rally2 evo,RC2,10:07.7,+18.8 +  3.8,119.7 0.93,2
9,#3,Llarena Efrén  - Fernández Sara Škoda Fabia Rally2 evo,RC2,10:08.4,+19.5 +  0.7,119.5 0.97,2
10,#7,Franceschi M.  - Escartefigue J. Škoda Fabia Rally2 evo,RC2,10:09.4,+20.5 +  1.0,119.3 1.01,2
10,#48,Åkesson Jonas  - Bengtsson Maja Škoda Fabia R5,RC2,10:09.4,+20.5 +  0.0,119.3 1.01,2
12,#16,Veiby O.  - Andersson J. Volkswagen Polo GTI R5,RC2,10:09.7,+20.8 +  0.3,119.3 1.03,2
13,#2,Østberg Mads  - Barth Patrik Citroën C3 Rally2,RC2,10:13.5,+24.6 +  3.8,118.5 1.22,2
14,#4,Mabellini Andrea  - Lenzi Virginia Škoda Fabia Rally2 evo,RC2,10:15.2,+26.3 +  1.7,118.2 1.30,2
14,#23,Gustafsson Kalle  - Nilsson Magnus Ford Fiesta Rally2,RC2,10:15.2,+26.3 +  0.0,118.2 1.30,2
16,#17,Armstrong Jon  - Thulin Julia Ford Fiesta Rally2,RC2,10:17.4,+28.5 +  2.2,117.8 1.41,2
17,#11,Rådström Dennis  - Johansson J. Ford Fiesta Rally2,RC2,10:18.4,+29.5 +  1.0,117.6 1.46,2
18,#9,McErlean Josh  - Fulton James Hyundai i20 N Rally2,RC2,10:19.8,+30.9 +  1.4,117.3 1.53,2
19,#14,Campedelli Simone  - Canton Tania Škoda Fabia Rally2 evo,RC2,10:20.1,+31.2 +  0.3,117.3 1.54,2
