0,,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
No.,Crew,Group,Race,,,,,,,,,,,,,,,,
1,Paddon  Ha,RC2,Scandinavia,00:04:15.0,00:09:48.9,00:07:21.5,00:04:31.5,00:04:09.4,00:09:38.2,00:07:11.4,00:04:26.7,00:04:47.0,00:04:20.6,00:05:29.2,00:04:47.8,00:04:41.3,00:04:19.9,00:05:30.7,00:04:39.8
2,Østberg  M,RC2,Scandinavia,00:04:25.5,00:10:13.5,00:07:38.1,00:04:39.6,00:04:17.7,00:09:54.0,00:07:23.7,00:04:32.5,00:04:59.0,00:04:31.5,00:05:40.1,00:04:51.6,00:04:47.4,00:04:23.4,00:05:28.5,00:04:46.3
3,Llarena  E,RC2,Scandinavia,00:04:22.6,00:10:08.4,00:07:42.4,00:04:42.7,00:04:18.1,00:09:54.1,00:07:24.5,00:04:31.1,00:05:01.7,-,-,-,-,-,-,-
4,Mabellini ,RC2,Scandinavia,00:04:25.1,00:10:15.2,00:07:38.9,00:04:41.8,00:04:16.0,00:09:52.4,00:07:23.9,00:04:33.2,00:05:04.5,00:04:33.9,00:05:44.1,00:04:58.3,00:04:50.5,00:04:25.6,00:05:31.5,00:04:46.9
5,Solberg  O,RC2,Scandinavia,00:04:15.4,00:09:51.0,00:07:17.2,00:04:29.4,00:04:10.6,00:09:34.8,00:07:09.6,00:04:24.4,00:04:49.8,00:04:21.1,00:05:28.9,00:04:44.8,00:04:39.6,00:04:16.2,00:05:20.6,00:04:43.0
6,Sesks  M. ,RC2,Scandinavia,00:04:17.8,00:10:03.9,00:07:29.1,00:04:38.0,00:04:11.6,00:09:41.3,00:07:14.6,00:04:26.7,00:04:51.8,00:04:26.3,00:05:32.7,00:04:49.1,00:04:40.7,00:04:18.5,00:05:22.3,00:04:41.3
7,Franceschi,RC2,Scandinavia,00:04:21.3,00:10:09.4,00:07:36.0,00:04:42.3,00:04:13.7,00:09:48.2,00:07:16.1,00:04:29.1,00:05:21.8,00:04:35.3,00:05:38.1,00:04:55.3,00:04:48.5,00:04:24.4,00:05:24.3,00:04:45.4
8,Heikkilä  ,RC2,Scandinavia,00:04:17.8,00:10:01.9,00:07:28.3,00:04:35.0,00:04:11.4,00:09:44.3,00:07:13.5,00:04:26.6,00:04:50.7,00:04:26.5,00:05:33.3,00:04:48.3,00:04:42.7,00:07:33.0,00:05:28.8,00:04:47.1
9,McErlean  ,RC2,Scandinavia,00:04:20.0,00:10:19.8,00:07:35.0,00:04:36.4,00:14:09.4,00:19:34.8,00:17:09.6,00:14:24.4,00:05:00.9,00:04:32.3,00:05:45.4,00:04:58.8,00:04:49.9,00:04:24.3,00:05:28.9,00:04:49.6
10,Mareš  Fil,RC2,Scandinavia,00:04:26.5,00:10:07.7,00:07:35.5,00:04:38.1,00:04:16.9,00:09:48.4,00:07:20.6,00:04:32.1,00:04:58.8,00:04:34.1,00:05:42.2,00:04:56.0,00:04:49.7,00:04:24.1,00:05:27.6,00:04:46.7
