Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,24,Crugnola  Andrea  /  Ometto  P.  Citroën C3 Rally2,RC2,00:17:17.7,100.88 0.00,00:00:00.0 00:00:00.0,10
2,8,Bonato  Yoann  /  Boulloud  B.  Citroën C3 Rally2,RC2,00:17:18.2,100.84 0.02,00:00:00.5 00:00:00.5,10
3,1,Paddon  Hayden  /  Kennard  John  Hyundai i20 N Rally2,RC2,00:17:21.2,100.55 0.12,00:00:03.5 00:00:03.0,10
4,21,Basso  G.  /  Granai  Lorenzo  Škoda Fabia RS Rally2,RC2,00:17:22.9,100.38 0.18,00:00:05.2 00:00:01.7,10
5,23,Andolfi  Fabio  /  Gonella  Nicoló  Škoda Fabia Rally2 Evo,RC2,00:17:25.7,100.11 0.28,00:00:08.0 00:00:02.8,10
6,15,Campedelli  S.  /  Canton  Tania  Škoda Fabia Rally2 Evo,RC2,00:17:29.3,99.77 0.40,00:00:11.6 00:00:03.6,10
7,58,Avbelj  Boštjan  /  Andrejka  D.  Škoda Fabia Rally2 Evo,RC2,00:17:31.5,99.56 0.47,00:00:13.8 00:00:02.2,10
8,3,Mabellini  A.  /  Lenzi  Virginia  Škoda Fabia Rally2 Evo,RC2,00:17:33.6,99.36 0.55,00:00:15.9 00:00:02.1,10
9,16,Csomós  Miklós  /  Bán  Viktor  Škoda Fabia Rally2 Evo,RC2,00:17:34.2,99.31 0.57,00:00:16.5 00:00:00.6,10
10,10,Wagner  Simon  /  Winter  Gerald  Škoda Fabia RS Rally2,RC2,00:17:35.0,99.23 0.59,00:00:17.3 00:00:00.8,10
11,9,Mareš  Filip  /  Bucha  Radovan  Škoda Fabia Rally2 Evo,RC2,00:17:38.4,98.91 0.71,00:00:20.7 00:00:03.4,10
12,14,Grzyb  Grzegorz  /  Wróbel  Jakub  Škoda Fabia Rally2 Evo,RC2,00:17:40.7,98.70 0.79,00:00:23.0 00:00:02.3,10
13,12,Tempestini  S.  /  Itu  Sergiu  Škoda Fabia Rally2 Evo,RC2,00:17:42.1,98.57 0.84,00:00:24.4 00:00:01.4,10
14,2,Llarena  Efrén  /  Fernandez  Sara  Škoda Fabia RS Rally2,RC2,00:17:42.3,98.55 0.85,00:00:24.6 00:00:00.2,10
15,25,Mazzocchi  A.  /  Gallotti  Silvia  Citroën C3 Rally2,RC2,00:17:43.7,98.42 0.89,00:00:26.0 00:00:01.4,10
16,56,Bottarelli  Luca  /  Bosi  M.  Škoda Fabia Rally2 Evo,RC2,00:17:47.3,98.09 1.02,00:00:29.6 00:00:03.6,10
17,18,Battistolli  A.  /  Scattolin  S.  Škoda Fabia RS Rally2,RC2,00:17:49.8,97.86 1.10,00:00:32.1 00:00:02.5,10
18,6,Franceschi  M.  /  Malfoy  Andy  Škoda Fabia RS Rally2,RC2,00:17:52.6,97.60 1.20,00:00:34.9 00:00:02.8,10
19,27,von Thurn und Taxis  A.  /  Hain  Jara  Škoda Fabia Rally2 Evo,RC2,00:17:56.1,97.28 1.32,00:00:38.4 00:00:03.5,10
20,11,Joona  Lauri  /  Hussi  Janni  Škoda Fabia Rally2 Evo,RC2,00:18:04.8,96.50 1.62,00:00:47.1 00:00:08.7,10
21,57,Ferrarotti  Ivan  /  Bizzocchi  M.  Škoda Fabia Rally2 Evo,RC2,00:18:08.1,96.21 1.73,00:00:50.4 00:00:03.3,10
22,19,László  Martin  /  Berendi  Dávid  Škoda Fabia Rally2 Evo,RC2,00:18:09.9,96.05 1.80,00:00:52.2 00:00:01.8,10
23,32,Armstrong  Jon  /  Fair  Cameron  Ford Fiesta Rally3,RC3,00:18:12.3,95.84 1.88,00:00:54.6 00:00:02.4,10
24,59,Aragno  F.  /  Segir  Andrea  Škoda Fabia Rally2 Evo,RC2,00:18:19.6,95.21 2.13,00:01:01.9 00:00:07.3,10
25,26,Rusce  Antonio  /  Musiari  Martina  Škoda Fabia Rally2 Evo,RC2,00:18:23.3,94.89 2.26,00:01:05.6 00:00:03.7,10
26,20,O'Brien  Patrick  /  O'Brien  Stephen  Škoda Fabia R5,RC2,00:18:29.6,94.35 2.47,00:01:11.9 00:00:06.3,10
27,76,Tiramani  C.  /  Grimaldi  Fabio  Volkswagen Polo Gti R5,RC2,00:18:36.6,93.76 2.71,00:01:18.9 00:00:07.0,10
28,72,Angelucci  Fabio  /  Cambria  Massimo  Citroën C3 Rally2,RC2,00:18:40.8,93.40 2.86,00:01:23.1 00:00:04.2,10
29,79,Pisani  G.  /  Brachi  Simone  Peugeot 208 Rally4,RC4,00:18:44.3,93.11 2.98,00:01:26.6 00:00:03.5,10
30,29,Somaschini  R.  /  Arena  Nicola  Citroën C3 Rally2,RC2,00:18:46.5,92.93 3.05,00:01:28.8 00:00:02.2,10
31,33,Andreucci  Paolo  /  Briani  Rudy  Renault Clio Rally3,RC3,00:18:46.9,92.90 3.07,00:01:29.2 00:00:00.4,10
32,30,Cuzma  Bogdan  /  Pulpea  Dorin  Škoda Fabia RS Rally2,RC2,00:18:50.6,92.60 3.19,00:01:32.9 00:00:03.7,10
33,37,Daprà  Roberto  /  Guglielmetti  L.  Peugeot 208 Rally4,RC4,00:18:51.4,92.53 3.22,00:01:33.7 00:00:00.8,10
34,44,Schulz  Timo  /  Wenzel  Michael  Opel Corsa Rally4,RC4,00:18:54.9,92.24 3.34,00:01:37.2 00:00:03.5,10
35,71,Brazzoli  Enrico  /  Fenoli  Manuel  Škoda Fabia Rally2 Evo,RC2,00:18:56.3,92.13 3.39,00:01:38.6 00:00:01.4,10
