0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
No.,Crew,Group,Race,,,,,,,,,,,,,
1,Paddon  Ha,RC2,Roma Capitale,9,4,4,6,7,14,7,4,1,3,3,1,7
2,Llarena  E,RC2,Roma Capitale,20,8,6,12,8,9,12,4,5,14,18,8,14
3,Mabellini ,RC2,Roma Capitale,5,5,7,6,6,6,9,7,7,8,5,55,1
4,Lukyanuk  ,RC2,Roma Capitale,2,7,5,3,86,7,3,23,15,78,16,5,6
5,Sesks  M. ,RC2,Roma Capitale,10,12,10,88,87,84,81,-,-,-,-,-,-
6,Franceschi,RC2,Roma Capitale,18,18,17,19,12,8,15,17,17,18,10,15,-
7,Heikkilä  ,RC2,Roma Capitale,33,22,11,12,13,12,18,16,9,-,-,-,-
8,Bonato  Yo,RC2,Roma Capitale,6,2,2,5,4,3,5,1,2,2,5,33,3
9,Mareš  Fil,RC2,Roma Capitale,11,13,8,3,5,4,4,6,12,11,7,45,4
10,Wagner  Si,RC2,Roma Capitale,16,15,15,15,18,13,16,13,8,10,11,6,15
11,Joona  Lau,RC2,Roma Capitale,17,14,21,11,20,21,13,19,18,20,19,60,11
12,Tempestini,RC2,Roma Capitale,29,16,18,15,17,18,13,21,21,13,17,62,17
14,Grzyb  Grz,RC2,Roma Capitale,26,9,12,10,10,15,10,8,16,12,14,9,8
15,Campedelli,RC2,Roma Capitale,8,5,9,9,3,5,5,8,6,6,1,57,5
16,Csomós  Mi,RC2,Roma Capitale,22,9,13,8,33,11,8,11,20,9,9,3,2
18,Battistoll,RC2,Roma Capitale,14,20,16,15,16,17,17,18,14,17,12,65,10
19,László  Ma,RC2,Roma Capitale,21,25,23,25,21,26,24,27,26,22,26,-,-
20,O'Brien  P,RC2,Roma Capitale,33,28,42,30,26,29,30,31,38,26,28,16,26
21,Basso  G. ,RC2,Roma Capitale,4,3,3,2,2,2,2,3,4,4,2,2,13
22,De Tommaso,RC2,Roma Capitale,91,-,-,-,-,-,-,-,-,-,-,-,-
23,Andolfi  F,RC2,Roma Capitale,6,16,20,55,9,10,11,11,10,5,8,-,-
24,Crugnola  ,RC2,Roma Capitale,1,1,1,1,1,1,1,2,3,1,4,4,11
25,Mazzocchi ,RC2,Roma Capitale,24,19,40,18,14,19,22,20,24,15,21,63,19
26,Rusce  Ant,RC2,Roma Capitale,28,24,25,23,24,80,25,25,25,25,25,14,23
27,von Thurn ,RC2,Roma Capitale,32,29,26,22,23,24,23,24,22,19,20,10,17
28,Scattolon ,RC2,Roma Capitale,12,23,19,14,19,20,19,13,19,-,-,-,-
29,Somaschini,RC2,Roma Capitale,39,32,30,31,29,38,32,30,48,30,45,20,24
30,Cuzma  Bog,RC2,Roma Capitale,48,53,47,35,35,40,39,33,35,32,32,22,27
31,Kołtun  J.,RC2,Roma Capitale,43,30,31,28,77,30,81,-,-,-,-,-,-
32,Armstrong ,RC3,Roma Capitale,18,31,27,29,28,27,29,29,23,23,24,13,25
33,Andreucci ,RC3,Roma Capitale,22,35,38,41,32,31,35,36,30,31,29,18,33
34,Nore  Ola ,RC4,Roma Capitale,46,38,46,51,46,44,49,45,35,37,34,24,39
35,Maior  Nor,RC4,Roma Capitale,52,42,35,35,42,34,36,42,40,40,30,27,47
36,Hansen  Vi,RC4,Roma Capitale,63,62,62,54,53,57,53,58,62,54,56,39,41
37,Daprà  Rob,RC4,Roma Capitale,38,36,36,33,34,33,33,39,33,33,40,21,31
38,McRae  Max,RC4,Roma Capitale,31,53,61,58,45,51,51,50,40,48,46,50,42
39,Johansson ,RC4,Roma Capitale,62,52,58,52,49,48,45,40,44,44,43,66,35
40,Raftery  A,RC4,Roma Capitale,80,75,81,84,72,73,64,68,70,70,66,54,68
41,Zanin  Mat,RC4,Roma Capitale,44,50,49,50,43,42,47,48,50,46,38,31,35
44,Schulz  Ti,RC4,Roma Capitale,84,39,39,43,38,36,38,37,31,34,35,19,34
45,Spitalier ,RC4,Roma Capitale,74,63,76,62,60,75,62,55,58,55,63,43,52
46,Noller  Re,RC4,Roma Capitale,59,85,60,42,48,87,86,-,-,-,-,-,-
47,Zeiringer ,RC4,Roma Capitale,45,58,51,55,55,49,52,52,43,41,41,28,46
48,Škulj  Mar,RC4,Roma Capitale,50,51,53,47,50,46,43,47,46,45,44,30,42
49,Kreuter  N,RC4,Roma Capitale,69,61,63,63,64,60,59,66,61,62,60,46,60
50,Hangodi  B,RC4,Roma Capitale,50,59,56,90,89,87,86,64,59,57,53,51,50
52,Rossi  Ghj,RC4,Roma Capitale,67,68,65,53,54,52,50,56,54,53,51,67,48
53,Tomov  A. ,RC5,Roma Capitale,89,86,85,83,81,78,76,78,79,72,76,61,66
54,Juhász  Cs,RC4,Roma Capitale,75,66,67,73,63,66,67,61,76,66,70,53,53
55,Lupu  Cipr,RC5,Roma Capitale,90,90,89,87,85,83,80,81,81,79,78,71,70
56,Bottarelli,RC2,Roma Capitale,13,21,22,21,15,22,21,15,13,16,12,44,15
57,Ferrarotti,RC2,Roma Capitale,35,26,24,27,24,23,28,26,28,21,22,11,20
58,Avbelj  Bo,RC2,Roma Capitale,14,11,13,20,11,16,20,8,11,7,15,7,9
59,Aragno  F.,RC2,Roma Capitale,3,27,28,25,22,25,27,22,27,24,23,17,22
70,Mauri  Mau,RC2,Roma Capitale,24,33,32,31,31,39,31,32,45,42,33,36,28
71,Brazzoli  ,RC2,Roma Capitale,41,37,45,40,41,37,40,44,56,35,42,29,38
72,Angelucci ,RC2,Roma Capitale,36,34,90,88,87,84,81,34,37,28,36,72,-
73,Caires  Mi,RC2,Roma Capitale,29,43,34,35,61,82,81,45,50,47,50,38,37
74,Manole  Mi,RC2,Roma Capitale,60,60,55,61,58,54,57,54,49,50,54,35,49
75,László  Z.,RC2,Roma Capitale,42,48,48,48,52,50,46,48,52,49,48,26,29
76,Tiramani  ,RC2,Roma Capitale,26,40,29,24,27,28,26,28,29,27,27,12,21
77,Perosino  ,RC2,Roma Capitale,87,83,83,35,73,84,81,76,77,75,-,-,-
78,Ragnoli  I,RC3,Roma Capitale,81,88,84,80,79,71,73,77,72,74,71,64,67
79,Pisani  G.,RC4,Roma Capitale,37,45,37,39,30,32,37,35,32,29,30,23,30
80,Farina  Fa,RC4,Roma Capitale,46,46,41,34,37,35,33,43,34,38,37,25,32
81,Lucchesi  ,RC4,Roma Capitale,54,41,33,63,36,55,86,-,-,-,-,-,-
82,Cambiaghi ,RC4,Roma Capitale,40,44,44,44,40,41,41,38,39,36,39,68,40
83,Cardi  Céd,RC4,Roma Capitale,68,55,59,59,44,53,55,59,55,52,49,34,44
84,Di Pietro ,RC4,Roma Capitale,55,47,52,44,39,45,41,41,42,39,47,-,-
85,Rendina  M,RC4,Roma Capitale,48,56,50,49,47,47,48,51,53,51,52,37,44
86,Cazzaro  N,RC4,Roma Capitale,70,49,43,46,51,43,44,53,47,43,64,32,69
87,Fiore  Ema,RC4,Roma Capitale,85,57,57,60,56,59,56,57,60,58,57,48,51
88,Nember  Gr,RC4,Roma Capitale,64,77,77,72,74,67,66,70,74,71,74,58,64
89,Weigert  T,RC4,Roma Capitale,82,82,80,82,78,76,75,67,71,68,72,-,-
90,Irlacher  ,RC4,Roma Capitale,77,69,72,75,80,68,69,71,73,69,67,52,57
